Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,22,39,17,25.45,0.41,0.32,1.95,100,91,50,32,9
Adam Saad,25,29,11,20.08,0.0,0.0,0.4,84,56,16,0,0
Alex Cincotta,19,24,6,12.32,0.16,0.11,0.47,26,11,0,16,0
Blake Acres,25,36,16,23.04,0.4,0.2,0.6,100,76,32,32,8
Brodie Kemp,17,22,9,15.82,0.06,0.0,0.29,59,12,0,6,0
Caleb Marchbank,8,20,9,13.88,0.0,0.0,0.88,50,12,0,0,0
Charlie Curnow,26,20,8,13.69,3.12,1.69,1.5,54,4,0,100,73
Corey Durdin,11,11,7,8.82,1.0,0.64,0.45,0,0,0,82,18
David Cuningham,12,24,9,13.83,0.5,0.33,0.5,33,8,0,42,8
Elijah Hollands,9,19,7,12.67,0.33,0.22,0.33,44,0,0,22,11
George Hewett,22,33,5,20.23,0.14,0.05,1.0,82,59,32,14,0
Harry McKay,21,20,2,11.76,1.38,1.38,1.52,29,5,0,71,43
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jack Martin,13,15,6,10.92,1.31,0.77,0.92,15,0,0,77,38
Jack Silvagni,16,19,4,13.56,0.88,0.75,1.0,44,0,0,50,19
Jacob Weitering,26,22,8,15.46,0.0,0.0,0.77,73,8,0,0,0
Jesse Motlop,21,17,0,9.95,1.14,0.33,0.71,10,0,0,57,48
Jordan Boyd,9,17,9,12.44,0.0,0.22,0.56,11,0,0,0,0
Lachlan Cowan,7,12,7,9.71,0.0,0.0,0.71,0,0,0,0,0
Lachie Fogarty,12,18,4,12.42,0.33,0.33,0.42,25,0,0,33,0
Lewis Young,15,22,6,13.33,0.0,0.13,0.47,33,13,0,0,0
Marc Pittonet,18,14,1,9.5,0.0,0.06,0.94,0,0,0,0,0
Matthew Cottrell,17,23,8,14.0,0.65,0.65,0.53,41,6,0,47,18
Matthew Owies,18,13,4,8.94,1.5,0.67,0.78,0,0,0,89,50
Matthew Kennedy,16,27,6,18.19,0.31,0.38,0.75,75,50,19,31,0
Mitch McGovern,22,27,8,17.23,0.09,0.09,0.73,73,41,5,9,0
Nic Newman,24,35,6,23.38,0.12,0.12,0.96,92,71,33,12,0
Oliver Hollands,19,22,4,14.0,0.11,0.21,0.68,42,21,0,11,0
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0
Patrick Cripps,24,42,13,24.79,0.38,0.58,1.54,92,75,54,25,8
Sam Docherty,23,39,18,25.48,0.35,0.39,0.74,100,83,65,35,0
Sam Walsh,18,38,14,28.56,0.33,0.22,1.06,94,94,83,28,6
Tom De Koning,19,19,5,12.0,0.47,0.37,1.42,26,0,0,37,11
