Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,15,11,6,8.0,2.0,0.33,0.67,0,0,0,67,67
Beau McCreery,25,13,8,10.33,0.33,1.67,0.33,0,0,0,33,0
Billy Frampton,16,9,2,6.33,0.0,0.33,1.0,0,0,0,0,0
Brayden Maynard,25,18,13,15.67,0.0,0.33,0.67,67,0,0,0,0
Brody Mihocek,24,15,8,11.0,1.0,1.0,1.0,33,0,0,100,0
Daniel McStay,14,7,5,6.33,1.67,0.33,0.67,0,0,0,100,67
Darcy Cameron,19,13,8,11.0,0.33,0.0,1.33,0,0,0,33,0
Darcy Moore,24,16,7,11.67,0.0,0.0,0.0,33,0,0,0,0
Finlay Macrae,1,7,7,7.0,0.0,0.0,1.0,0,0,0,0,0
Harvey Harrison,4,12,2,7.67,0.67,0.0,0.0,0,0,0,67,0
Bobby Hill,24,18,9,13.33,2.67,1.0,1.0,33,0,0,100,67
Isaac Quaynor,26,19,12,16.0,0.0,0.0,0.67,67,0,0,0,0
Jack Crisp,26,25,19,22.33,1.33,0.67,0.33,100,67,33,100,33
Jakob Ryan,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Jamie Elliott,24,14,6,10.0,0.33,1.67,0.0,0,0,0,33,0
Jeremy Howe,14,24,15,18.67,0.0,0.0,0.67,100,33,0,0,0
John Noble,23,21,15,17.67,0.33,0.0,0.0,100,33,0,33,0
Jordan De Goey,21,34,18,23.67,1.0,0.0,1.33,100,33,33,67,33
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Josh Daicos,26,18,14,16.33,0.0,0.0,0.67,67,0,0,0,0
Lachie Schultz,23,27,16,22.33,2.0,1.67,1.0,100,67,33,67,33
Mason Cox,19,9,7,8.33,0.33,0.67,1.0,0,0,0,33,0
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Nathan Murphy,24,14,4,8.0,0.0,0.0,0.67,0,0,0,0,0
Nick Daicos,22,29,5,20.67,0.67,0.67,1.67,67,67,67,67,0
Oleg Markov,23,13,10,11.67,0.0,0.0,0.33,0,0,0,0,0
Patrick Lipinski,14,17,13,15.33,0.0,0.0,0.33,67,0,0,0,0
Reef McInnes,5,7,2,4.33,0.0,0.0,0.0,0,0,0,0,0
Scott Pendlebury,25,25,15,21.33,0.33,0.0,1.0,100,67,33,33,0
Steele Sidebottom,20,24,20,22.0,0.33,0.0,0.0,100,100,0,33,0
Tom Mitchell,26,24,21,23.0,0.0,0.0,1.0,100,100,0,0,0
Will Hoskin-Elliott,23,20,10,14.0,0.0,0.0,0.0,33,33,0,0,0
