Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,9,22,9,14.33,0.11,0.33,0.78,44,11,0,11,0
Alex Sexton,8,14,3,5.38,0.62,0.5,0.25,0,0,0,50,12
Bailey Humphrey,19,16,6,11.2,0.3,0.6,0.4,10,0,0,30,0
Ben Ainsworth,21,27,8,19.3,1.1,0.7,0.7,80,50,20,70,40
Ben King,20,12,1,7.7,1.5,1.3,1.1,0,0,0,60,50
Ben Long,15,14,6,10.6,0.0,0.1,0.3,0,0,0,0,0
Bodhi Uwland,3,20,0,8.33,0.0,0.0,0.67,33,33,0,0,0
Brandon Ellis,16,28,12,18.9,0.5,0.5,0.2,90,40,10,50,0
Brayden Fiorini,17,35,6,18.9,0.1,0.4,0.5,80,50,10,10,0
Charlie Ballard,23,18,7,10.8,0.0,0.0,0.5,20,0,0,0,0
Connor Budarick,2,19,16,17.5,0.0,0.0,2.0,100,0,0,0,0
Darcy Macpherson,23,25,4,16.4,0.3,0.1,0.7,90,30,10,30,0
David Swallow,23,23,10,14.4,0.6,0.8,0.2,50,10,0,30,10
Hewago Oea,8,16,2,8.88,0.38,0.12,0.25,12,0,0,38,0
Jack Lukosius,22,18,10,13.3,1.6,0.6,0.5,30,0,0,80,50
Jack Mahony,2,16,9,12.5,0.0,0.0,0.0,50,0,0,0,0
James Tsitas,4,8,2,4.75,0.75,0.0,0.0,0,0,0,50,25
Jarrod Witts,21,19,11,13.7,0.1,0.0,0.9,30,0,0,10,0
Joel Jeffrey,7,15,5,9.57,0.71,0.57,0.57,14,0,0,71,0
Jy Farrar,9,18,2,8.56,0.11,0.11,1.11,11,0,0,11,0
Lachie Weller,9,30,12,21.56,0.0,0.22,0.44,78,56,33,0,0
Levi Casboult,20,13,3,9.2,1.4,0.6,0.4,0,0,0,70,50
Lloyd Johnston,2,16,8,12.0,0.0,0.0,0.0,50,0,0,0,0
Mac Andrew,17,16,5,11.0,0.0,0.0,0.6,30,0,0,0,0
Malcolm Rosas,19,15,6,10.3,1.1,0.8,0.5,10,0,0,50,30
Matt Rowell,23,33,14,21.0,0.4,0.0,1.4,90,70,20,30,10
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,19,18,6,11.2,0.4,0.4,0.6,30,0,0,30,10
Noah Anderson,23,35,22,26.9,0.5,0.6,0.9,100,100,70,40,10
Rory Atkins,17,32,7,21.6,0.3,0.1,0.5,70,70,50,20,10
Sam Day,3,10,2,6.33,0.33,0.33,0.33,0,0,0,33,0
Sam Flanders,14,36,23,28.9,0.3,0.3,1.0,100,100,80,20,10
Sam Collins,23,17,8,12.0,0.0,0.0,0.6,20,0,0,0,0
Sean Lemmens,11,13,6,9.7,0.0,0.1,0.6,0,0,0,0,0
Thomas Berry,6,10,1,6.67,0.0,0.33,0.67,0,0,0,0,0
Touk Miller,13,32,13,24.4,0.4,0.1,0.7,90,80,60,40,0
Wil Powell,18,28,14,20.6,0.0,0.2,1.3,90,50,30,0,0
