Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,14,11,8,9.33,0.33,0.0,1.0,0,0,0,33,0
Angus Sheldrick,7,29,14,21.33,0.33,1.0,1.33,67,67,33,33,0
Braeden Campbell,23,22,6,15.33,0.33,0.33,0.67,67,33,0,33,0
Brodie Grundy,17,15,9,12.33,0.33,0.0,1.0,33,0,0,33,0
Callum Mills,20,30,11,20.67,0.33,0.33,1.33,67,67,33,33,0
Chad Warner,21,25,22,23.0,0.33,0.67,1.0,100,100,33,33,0
Corey Warner,3,8,1,4.0,0.33,0.0,0.33,0,0,0,33,0
Dane Rampe,15,16,9,13.67,0.0,0.0,0.67,67,0,0,0,0
Errol Gulden,24,42,23,31.67,1.33,1.0,0.33,100,100,67,67,67
Harry Cunningham,24,17,10,12.67,0.0,0.0,0.0,33,0,0,0,0
Hayden McLean,22,17,10,14.0,1.33,0.67,0.67,67,0,0,100,33
Isaac Heeney,23,18,13,15.67,1.0,1.0,1.33,67,0,0,33,33
Jack Buller,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jake Lloyd,23,27,16,21.33,0.0,0.0,0.33,100,67,33,0,0
James Jordon,18,24,10,15.0,0.0,0.0,0.0,33,33,0,0,0
James Rowbottom,24,18,12,15.0,0.0,0.0,0.67,67,0,0,0,0
Joel Amartey,15,8,6,7.0,0.67,1.33,1.0,0,0,0,67,0
Joel Hamling,4,14,8,11.33,0.0,0.0,1.0,0,0,0,0,0
Justin McInerney,19,20,15,17.0,0.33,0.0,1.33,100,33,0,33,0
Lachlan McAndrew,2,9,3,6.0,0.0,0.5,0.5,0,0,0,0,0
Lewis Melican,8,10,5,8.0,0.0,0.0,1.0,0,0,0,0,0
Logan McDonald,20,13,10,11.33,1.33,1.33,0.33,0,0,0,100,33
Luke Parker,23,23,12,18.0,0.67,0.67,0.67,67,33,0,33,33
Matt Roberts,6,14,3,8.67,0.33,0.0,0.67,0,0,0,33,0
Nick Blakey,24,23,17,20.33,0.0,0.0,0.67,100,67,0,0,0
Oliver Florent,24,21,13,16.67,0.0,0.0,0.67,67,33,0,0,0
Peter Ladhams,9,24,6,13.67,1.0,0.33,0.67,33,33,0,67,33
Robbie Fox,20,16,6,10.67,0.0,0.0,0.0,33,0,0,0,0
Sam Wicks,11,14,9,11.0,0.67,1.0,0.33,0,0,0,67,0
Taylor Adams,23,19,15,16.67,0.0,0.67,0.67,100,0,0,0,0
Tom McCartin,15,18,12,15.33,0.0,0.0,1.33,67,0,0,0,0
Tom Papley,23,24,11,17.67,0.67,1.0,1.33,67,33,0,67,0
Will Hayward,23,14,11,12.33,0.67,0.67,0.67,0,0,0,67,0
