Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,14,16,7,10.07,0.07,0.29,1.0,14,0,0,7,0
Angus Sheldrick,7,29,2,15.29,0.43,0.43,0.86,57,29,14,29,14
Braeden Campbell,23,26,6,15.7,0.35,0.39,0.57,52,26,4,30,4
Brodie Grundy,17,22,6,14.29,0.59,0.24,1.71,47,12,0,47,12
Callum Mills,20,31,1,20.15,0.35,0.25,0.65,80,65,25,25,10
Chad Warner,21,33,15,24.67,0.71,0.71,1.05,100,76,57,52,19
Corey Warner,3,8,1,4.0,0.33,0.0,0.33,0,0,0,33,0
Dane Rampe,15,25,9,15.53,0.0,0.0,0.47,73,13,7,0,0
Errol Gulden,24,42,15,26.79,0.92,0.83,1.67,100,83,58,62,25
Harry Cunningham,24,21,3,13.29,0.12,0.08,0.42,33,12,0,8,4
Hayden McLean,22,19,6,12.32,0.95,0.64,0.68,32,0,0,55,27
Isaac Heeney,23,22,7,15.52,1.3,0.83,0.83,65,9,0,65,43
Jack Buller,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jake Lloyd,23,35,11,23.26,0.13,0.04,0.57,96,78,35,13,0
James Jordon,18,24,3,13.06,0.22,0.17,0.67,39,22,0,22,0
James Rowbottom,24,27,12,17.92,0.25,0.25,1.33,75,29,4,25,0
Joel Amartey,15,16,3,7.8,1.33,1.0,0.8,7,0,0,60,33
Joel Hamling,4,14,8,11.25,0.0,0.0,0.75,0,0,0,0,0
Justin McInerney,19,23,8,17.11,0.68,0.26,0.84,68,42,0,47,16
Lachlan McAndrew,2,9,3,6.0,0.0,0.5,0.5,0,0,0,0,0
Lewis Melican,8,15,5,10.0,0.0,0.0,0.75,25,0,0,0,0
Logan McDonald,20,15,3,9.7,1.6,0.75,0.65,5,0,0,80,45
Luke Parker,23,34,12,23.61,0.39,0.22,1.26,91,78,48,30,9
Matt Roberts,6,14,3,6.83,0.17,0.17,0.33,0,0,0,17,0
Nick Blakey,24,30,12,20.54,0.08,0.04,0.88,83,54,12,8,0
Oliver Florent,24,34,10,19.88,0.21,0.04,0.46,83,46,21,17,4
Peter Ladhams,9,24,6,15.22,0.44,0.11,1.44,56,22,0,33,11
Robbie Fox,20,28,6,15.15,0.1,0.15,0.55,55,15,5,10,0
Sam Wicks,11,16,7,10.64,0.91,0.82,0.36,9,0,0,64,18
Taylor Adams,23,27,12,18.43,0.57,0.48,1.09,83,43,9,48,9
Tom McCartin,15,18,5,12.6,0.0,0.0,0.8,33,0,0,0,0
Tom Papley,23,25,8,14.96,1.61,1.04,1.0,52,9,4,91,39
Will Hayward,23,20,7,11.7,1.09,0.83,0.87,17,4,0,65,26
