Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,23,25,16,20.8,0.0,0.0,0.2,100,60,20,0,0
Cam Mackenzie,14,16,3,10.0,0.0,0.4,0.2,20,0,0,0,0
Chad Wingard,14,26,0,17.4,1.0,0.6,1.0,80,40,40,40,40
Changkuoth Jiath,8,21,11,15.8,0.0,0.0,1.0,80,20,0,0,0
Connor Macdonald,21,21,18,19.2,0.4,0.8,0.4,100,40,0,20,20
Conor Nash,23,31,22,25.4,0.0,0.0,1.2,100,100,60,0,0
Denver Grainger-Barras,7,9,0,5.4,0.8,0.2,0.8,0,0,0,80,0
Dylan Moore,23,27,18,22.2,1.2,1.0,2.8,100,80,20,100,20
Finn Maginness,13,13,6,8.8,0.0,0.0,0.0,0,0,0,0,0
Harry Morrison,13,21,4,16.4,0.4,0.0,0.4,80,40,0,20,20
Henry Hustwaite,2,15,13,14.0,1.0,0.0,1.5,50,0,0,50,50
Jack Ginnivan,14,17,4,8.8,0.8,0.4,0.6,20,0,0,40,20
Jack Gunston,17,13,3,8.6,1.0,0.6,0.2,0,0,0,40,40
Jack Scrimshaw,16,20,13,16.6,0.2,0.2,0.6,60,40,0,20,0
Jai Newcombe,22,40,20,28.2,0.8,0.2,1.0,100,100,60,80,0
Jai Serong,2,15,6,10.5,0.0,0.0,0.5,50,0,0,0,0
James Blanck,15,7,5,5.6,0.0,0.0,1.0,0,0,0,0,0
James Sicily,19,37,22,26.6,0.0,0.2,1.8,100,100,60,0,0
James Worpel,23,30,23,26.2,0.4,0.4,0.2,100,100,60,40,0
Jarman Impey,22,31,17,22.6,0.0,0.0,0.6,100,60,20,0,0
Josh Ward,16,23,8,17.2,0.0,0.0,0.2,80,40,0,0,0
Josh Weddle,17,18,16,17.0,0.2,0.0,0.0,100,0,0,20,0
Karl Amon,21,33,23,28.4,0.6,0.0,0.6,100,100,80,60,0
Lloyd Meek,16,10,2,7.0,0.0,0.0,0.8,0,0,0,0,0
Luke Breust,21,16,8,11.6,2.8,1.0,1.2,20,0,0,100,80
Mabior Chol,8,11,3,6.8,1.4,0.6,0.4,0,0,0,80,60
Massimo D'Ambrosio,8,9,1,5.8,0.2,0.2,0.0,0,0,0,20,0
Max Ramsden,2,8,6,7.0,0.0,0.5,0.5,0,0,0,0,0
Mitch Lewis,15,16,8,11.8,2.4,1.4,0.6,20,0,0,100,80
Ned Reeves,21,13,8,9.8,0.2,0.2,0.2,0,0,0,20,0
Sam Butler,8,15,7,10.0,0.8,0.0,0.4,20,0,0,60,20
Sam Frost,18,14,7,10.0,0.0,0.0,0.0,0,0,0,0,0
Seamus Mitchell,14,20,5,13.0,0.0,0.0,0.0,60,20,0,0,0
Will Day,21,30,20,25.0,0.8,0.4,0.8,100,100,40,60,20
