Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,23,18,4,9.5,0.0,0.0,0.7,10,0,0,0,0
Andrew Brayshaw,23,33,26,30.1,0.3,0.2,1.4,100,100,100,30,0
Bailey Banfield,14,20,2,11.2,0.7,0.7,0.3,30,10,0,50,20
Brandon Walker,14,15,2,9.5,0.0,0.0,0.6,10,0,0,0,0
Brennan Cox,20,31,7,16.8,0.1,0.0,0.1,50,30,10,10,0
Caleb Serong,22,38,24,31.1,0.2,0.4,1.6,100,100,90,20,0
Corey Wagner,9,23,12,17.44,0.0,0.0,0.89,78,44,0,0,0
Ethan Hughes,20,17,5,12.6,0.0,0.1,0.4,30,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,22,29,17,22.0,0.0,0.1,1.3,100,70,30,0,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0
Jaeger O'Meara,21,30,6,17.9,0.2,0.2,1.1,70,40,20,20,0
James Aish,20,26,17,19.9,0.2,0.2,0.7,100,40,10,20,0
Jordan Clark,23,28,16,20.5,0.0,0.0,0.7,100,60,20,0,0
Josh Corbett,5,11,4,6.6,0.6,0.6,0.2,0,0,0,40,20
Josh Treacy,17,15,5,9.9,0.7,0.4,1.1,10,0,0,40,20
Jye Amiss,22,12,3,7.3,1.8,1.0,0.6,0,0,0,90,40
Karl Worner,4,17,5,11.0,0.0,0.25,0.25,50,0,0,0,0
Luke Jackson,23,24,8,14.9,0.9,0.7,1.5,60,10,0,60,20
Luke Ryan,23,35,19,25.0,0.0,0.0,1.5,100,90,40,0,0
Matthew Johnson,18,21,5,14.4,0.3,0.2,0.5,60,20,0,30,0
Matt Taberner,4,11,7,9.0,0.75,0.0,0.25,0,0,0,50,25
Michael Walters,20,15,3,9.2,1.5,0.7,0.5,20,0,0,80,50
Michael Frederick,19,19,6,10.7,1.2,0.6,0.5,10,0,0,80,40
Nat Fyfe,9,20,6,13.89,0.33,0.22,0.44,56,11,0,33,0
Nathan O'Driscoll,10,20,5,13.5,0.1,0.2,0.7,40,20,0,10,0
Neil Erasmus,14,26,2,13.0,0.1,0.1,0.9,50,10,10,10,0
Oscar McDonald,2,15,9,12.0,0.0,0.0,1.5,50,0,0,0,0
Sam Sturt,14,14,3,9.4,1.5,0.6,0.4,0,0,0,80,40
Sam Switkowski,22,22,7,15.1,0.7,0.1,0.9,60,10,0,60,10
Sean Darcy,15,18,6,12.8,0.3,0.3,1.0,30,0,0,30,0
Tom Emmett,2,17,13,15.0,2.0,0.0,2.0,50,0,0,100,100
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
