Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,19,27,9,16.2,0.1,0.0,0.4,60,30,10,10,0
Bailey Scott,23,34,12,25.6,0.2,0.2,0.5,90,90,50,20,0
Blake Drury,4,13,3,7.25,0.0,0.5,0.5,0,0,0,0,0
Callum Coleman-Jones,9,16,3,9.11,0.44,0.33,0.56,11,0,0,22,22
Cameron Zurhaar,16,25,10,15.7,1.2,1.1,1.4,50,20,10,60,30
Charlie Comben,7,13,1,7.86,0.57,1.14,1.0,0,0,0,43,14
Charlie Lazzaro,6,26,1,8.83,0.0,0.0,0.17,33,17,17,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,16,18,8,13.3,0.3,0.2,0.9,40,0,0,30,0
Darcy Tucker,18,22,12,16.8,0.3,0.0,0.6,80,20,0,30,0
Dylan Stephens,13,18,3,12.0,0.2,0.2,1.1,40,0,0,20,0
Eddie Ford,14,19,10,13.0,1.0,0.4,0.6,20,0,0,60,20
George Wardlaw,8,22,5,14.62,0.12,0.12,1.62,50,25,0,12,0
Griffin Logue,15,17,1,11.8,0.1,0.1,0.4,30,0,0,10,0
Harry Sheezel,23,37,15,28.0,0.0,0.2,0.3,100,80,80,0,0
Hugh Greenwood,14,25,7,15.1,0.3,0.3,0.5,50,30,10,20,10
Jackson Archer,5,11,4,8.4,0.0,0.0,1.2,0,0,0,0,0
Jaidyn Stephenson,21,13,7,10.4,0.9,0.4,0.3,0,0,0,50,30
Josh Goater,10,22,5,14.0,0.0,0.1,0.7,60,20,0,0,0
Jy Simpkin,18,29,3,18.9,0.5,0.4,0.5,80,60,20,50,0
Kallan Dawson,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Liam Shiels,16,29,11,19.8,0.1,0.2,0.7,80,40,30,10,0
Luke Davies-Uniacke,14,33,20,26.8,0.6,0.4,1.0,100,100,80,50,10
Luke McDonald,22,25,3,15.2,0.0,0.0,0.7,50,30,20,0,0
Miller Bergman,12,18,4,11.5,0.0,0.0,0.5,20,0,0,0,0
Nick Larkey,23,21,5,10.2,3.5,1.1,1.5,10,10,0,100,80
Paul Curtis,21,16,7,10.7,1.1,0.7,0.3,20,0,0,60,30
Tarryn Thomas,12,25,10,19.9,0.7,0.4,0.8,70,70,10,30,30
Tom Powell,14,23,8,15.2,0.5,0.1,0.2,60,20,0,40,10
Tristan Xerri,9,19,5,11.44,0.33,0.0,1.44,11,0,0,22,11
Will Phillips,16,29,16,20.8,0.1,0.1,0.6,100,50,30,10,0
Zac Fisher,12,32,14,22.4,0.2,0.5,0.7,80,70,30,20,0
