Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,18,13,3,8.44,1.06,0.5,0.78,0,0,0,72,33
Ben Paton,12,21,6,13.5,0.0,0.0,0.75,42,8,0,0,0
Brad Crouch,24,34,18,27.12,0.33,0.25,1.04,100,88,75,21,8
Bradley Hill,22,31,4,20.68,0.27,0.23,0.59,91,59,23,18,9
Callum Wilkie,24,28,8,19.75,0.0,0.04,0.75,92,58,4,0,0
Cooper Sharman,16,18,3,9.12,0.94,0.31,0.56,12,0,0,62,25
Dan Butler,24,17,6,10.79,1.38,0.54,1.0,8,0,0,67,46
Dougal Howard,18,18,7,12.83,0.0,0.06,0.44,33,0,0,0,0
Hunter Clark,19,27,1,18.21,0.21,0.11,0.84,74,47,21,21,0
Jack Hayes,1,8,8,8.0,1.0,0.0,2.0,0,0,0,100,0
Jack Higgins,22,22,8,13.32,1.64,1.14,1.14,27,5,0,86,45
Jack Sinclair,24,38,18,28.88,0.25,0.12,0.62,100,96,79,21,4
Jack Steele,21,38,11,23.76,0.19,0.14,1.29,90,81,38,19,0
Jimmy Webster,17,20,11,15.18,0.0,0.0,0.47,53,6,0,0,0
Josh Battle,23,24,1,14.26,0.04,0.0,0.61,57,4,0,4,0
Liam Henry,16,33,10,20.44,0.06,0.31,0.44,81,56,19,6,0
Liam Stocker,23,26,9,17.04,0.0,0.09,0.61,70,30,9,0,0
Marcus Windhager,19,30,4,16.0,0.11,0.26,0.58,53,32,11,11,0
Mason Wood,24,36,14,21.33,0.62,0.46,1.08,96,58,17,54,8
Mattaes Phillipou,24,19,7,12.67,0.54,0.33,0.67,29,0,0,46,4
Max King,11,16,0,9.36,2.55,1.09,1.0,9,0,0,82,73
Mitch Owens,23,27,7,15.04,1.13,0.7,1.7,48,13,4,61,39
Nasiah Wanganeen-Milera,24,33,15,23.46,0.17,0.08,0.46,100,79,33,17,0
Paddy Dow,10,24,7,15.9,0.2,0.1,0.7,60,50,0,20,0
Riley Bonner,11,20,2,12.91,0.18,0.64,0.09,45,9,0,9,9
Rowan Marshall,24,31,10,20.54,0.33,0.33,1.83,88,54,21,33,0
Ryan Byrnes,20,27,7,16.75,0.25,0.2,0.5,70,30,5,25,0
Sebastian Ross,17,30,2,19.24,0.06,0.06,0.76,71,53,29,6,0
Tim Membrey,7,15,8,11.0,0.86,1.14,0.29,14,0,0,57,14
Zaine Cordy,14,14,1,7.29,0.5,0.0,0.36,0,0,0,43,7
Zak Jones,4,21,2,15.0,0.0,0.5,0.5,75,50,0,0,0
