Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Jordan Dawson,21,05/08/2023,Suns,Win 89-61,23,1,1
2023,Jordan Dawson,12,03/06/2023,Suns,Loss 87-112,30,1,1
2022,Jordan Dawson,14,19/06/2022,Suns,Loss 73-116,32,1,0
2021,Jordan Dawson,23,21/08/2021,Suns,Win 136-49,33,1,1
2021,Jordan Dawson,6,24/04/2021,Suns,Loss 60-100,24,0,0
2023,Rory Laird,21,05/08/2023,Suns,Win 89-61,24,0,0
2023,Rory Laird,12,03/06/2023,Suns,Loss 87-112,22,0,0
2022,Rory Laird,14,19/06/2022,Suns,Loss 73-116,42,0,1
2021,Rory Laird,3,02/04/2021,Suns,Win 95-85,28,0,0
2023,Matt Crouch,21,05/08/2023,Suns,Win 89-61,31,1,0
2022,Matt Crouch,14,19/06/2022,Suns,Loss 73-116,31,0,0
2023,Reilly O'Brien,21,05/08/2023,Suns,Win 89-61,6,0,0
2023,Reilly O'Brien,12,03/06/2023,Suns,Loss 87-112,10,1,0
2022,Reilly O'Brien,14,19/06/2022,Suns,Loss 73-116,15,0,0
2021,Reilly O'Brien,3,02/04/2021,Suns,Win 95-85,19,0,0
2023,Brodie Smith,21,05/08/2023,Suns,Win 89-61,26,0,1
2023,Brodie Smith,12,03/06/2023,Suns,Loss 87-112,26,0,0
2022,Brodie Smith,14,19/06/2022,Suns,Loss 73-116,20,0,0
2021,Brodie Smith,3,02/04/2021,Suns,Win 95-85,26,0,0
2023,Taylor Walker,21,05/08/2023,Suns,Win 89-61,13,2,1
2023,Taylor Walker,12,03/06/2023,Suns,Loss 87-112,7,2,0
2022,Taylor Walker,14,19/06/2022,Suns,Loss 73-116,14,1,3
2021,Taylor Walker,3,02/04/2021,Suns,Win 95-85,23,6,3
2023,Ben Keays,21,05/08/2023,Suns,Win 89-61,17,1,1
2023,Ben Keays,12,03/06/2023,Suns,Loss 87-112,25,2,2
2022,Ben Keays,14,19/06/2022,Suns,Loss 73-116,27,0,0
2021,Ben Keays,3,02/04/2021,Suns,Win 95-85,26,1,1
2023,Mitchell Hinge,21,05/08/2023,Suns,Win 89-61,31,0,0
2023,Mitchell Hinge,12,03/06/2023,Suns,Loss 87-112,16,0,0
2023,Rory Sloane,21,05/08/2023,Suns,Win 89-61,12,0,0
2023,Rory Sloane,12,03/06/2023,Suns,Loss 87-112,17,0,0
2021,Rory Sloane,3,02/04/2021,Suns,Win 95-85,34,0,0
2023,Izak Rankine,12,03/06/2023,Suns,Loss 87-112,13,0,2
2023,Josh Rachele,21,05/08/2023,Suns,Win 89-61,7,0,0
2023,Josh Rachele,12,03/06/2023,Suns,Loss 87-112,12,1,1
2022,Josh Rachele,14,19/06/2022,Suns,Loss 73-116,10,1,0
2023,Wayne Milera,21,05/08/2023,Suns,Win 89-61,19,0,0
2023,Wayne Milera,12,03/06/2023,Suns,Loss 87-112,20,1,0
2022,Wayne Milera,14,19/06/2022,Suns,Loss 73-116,19,0,1
2023,Lachlan Sholl,12,03/06/2023,Suns,Loss 87-112,15,0,0
2021,Lachlan Sholl,3,02/04/2021,Suns,Win 95-85,18,0,1
2023,Jake Soligo,21,05/08/2023,Suns,Win 89-61,16,1,0
2023,Jake Soligo,12,03/06/2023,Suns,Loss 87-112,9,0,0
2022,Jake Soligo,14,19/06/2022,Suns,Loss 73-116,20,0,0
2023,Chayce Jones,21,05/08/2023,Suns,Win 89-61,13,0,1
2023,Chayce Jones,12,03/06/2023,Suns,Loss 87-112,17,0,0
2023,Lachlan Murphy,21,05/08/2023,Suns,Win 89-61,17,1,1
2023,Lachlan Murphy,12,03/06/2023,Suns,Loss 87-112,16,1,0
2022,Lachlan Murphy,14,19/06/2022,Suns,Loss 73-116,8,1,0
2021,Lachlan Murphy,3,02/04/2021,Suns,Win 95-85,10,0,1
2023,Luke Nankervis,21,05/08/2023,Suns,Win 89-61,9,0,0
2023,Darcy Fogarty,21,05/08/2023,Suns,Win 89-61,19,3,2
2023,Darcy Fogarty,12,03/06/2023,Suns,Loss 87-112,15,3,1
2022,Darcy Fogarty,14,19/06/2022,Suns,Loss 73-116,11,2,0
2023,Josh Worrell,21,05/08/2023,Suns,Win 89-61,9,0,0
2023,Luke Pedlar,12,03/06/2023,Suns,Loss 87-112,10,1,0
2023,Riley Thilthorpe,21,05/08/2023,Suns,Win 89-61,15,0,3
2023,Riley Thilthorpe,12,03/06/2023,Suns,Loss 87-112,11,0,1
2022,Riley Thilthorpe,14,19/06/2022,Suns,Loss 73-116,5,1,0
2023,Max Michalanney,21,05/08/2023,Suns,Win 89-61,19,0,0
2023,Max Michalanney,12,03/06/2023,Suns,Loss 87-112,10,0,0
2023,Mark Keane,21,05/08/2023,Suns,Win 89-61,15,0,0
2022,Mark Keane,7,01/05/2022,Suns,Loss 55-79,13,0,0
2021,Mark Keane,7,01/05/2021,Suns,Loss 55-79,13,0,0
2023,Harry Schoenberg,21,05/08/2023,Suns,Win 89-61,14,0,0
2021,Harry Schoenberg,3,02/04/2021,Suns,Win 95-85,12,1,0
2022,Sam Berry,14,19/06/2022,Suns,Loss 73-116,25,0,0
2021,Sam Berry,3,02/04/2021,Suns,Win 95-85,10,1,1
2023,Ned McHenry,12,03/06/2023,Suns,Loss 87-112,13,0,0
2022,Ned McHenry,14,19/06/2022,Suns,Loss 73-116,14,0,0
2021,Ned McHenry,3,02/04/2021,Suns,Win 95-85,12,1,0
2022,Patrick Parnell,14,19/06/2022,Suns,Loss 73-116,14,0,1
2023,Nick Murray,12,03/06/2023,Suns,Loss 87-112,9,0,0
2022,Nick Murray,14,19/06/2022,Suns,Loss 73-116,4,0,0
2023,James Borlase,21,05/08/2023,Suns,Win 89-61,18,0,0
2023,Jordon Butts,12,03/06/2023,Suns,Loss 87-112,6,0,0
