Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim English,1,18/03/2023,Demons,Loss 65-115,24,0,0
2022,Tim English,19,23/07/2022,Demons,Win 110-100,20,2,0
2022,Tim English,1,16/03/2022,Demons,Loss 71-97,20,0,1
2021,Tim English,Grand Final,25/09/2021,Demons,Loss 66-140,13,0,1
2021,Tim English,19,24/07/2021,Demons,Win 85-65,17,1,0
2021,Tim English,11,28/05/2021,Demons,Loss 59-87,15,2,0
2023,Marcus Bontempelli,1,18/03/2023,Demons,Loss 65-115,25,1,1
2022,Marcus Bontempelli,19,23/07/2022,Demons,Win 110-100,26,1,2
2022,Marcus Bontempelli,1,16/03/2022,Demons,Loss 71-97,17,1,0
2021,Marcus Bontempelli,Grand Final,25/09/2021,Demons,Loss 66-140,25,3,0
2021,Marcus Bontempelli,19,24/07/2021,Demons,Win 85-65,31,2,0
2021,Marcus Bontempelli,11,28/05/2021,Demons,Loss 59-87,30,0,1
2023,Adam Treloar,1,18/03/2023,Demons,Loss 65-115,32,1,0
2022,Adam Treloar,19,23/07/2022,Demons,Win 110-100,28,1,0
2022,Adam Treloar,1,16/03/2022,Demons,Loss 71-97,26,2,0
2021,Adam Treloar,Grand Final,25/09/2021,Demons,Loss 66-140,27,3,0
2023,Tom Liberatore,1,18/03/2023,Demons,Loss 65-115,32,1,1
2022,Tom Liberatore,19,23/07/2022,Demons,Win 110-100,22,0,1
2022,Tom Liberatore,1,16/03/2022,Demons,Loss 71-97,14,0,0
2021,Tom Liberatore,Grand Final,25/09/2021,Demons,Loss 66-140,23,0,0
2021,Tom Liberatore,19,24/07/2021,Demons,Win 85-65,27,0,1
2021,Tom Liberatore,11,28/05/2021,Demons,Loss 59-87,16,0,0
2023,Jack Macrae,1,18/03/2023,Demons,Loss 65-115,33,1,0
2022,Jack Macrae,19,23/07/2022,Demons,Win 110-100,29,1,0
2022,Jack Macrae,1,16/03/2022,Demons,Loss 71-97,39,0,0
2021,Jack Macrae,Grand Final,25/09/2021,Demons,Loss 66-140,26,0,0
2021,Jack Macrae,19,24/07/2021,Demons,Win 85-65,38,0,0
2021,Jack Macrae,11,28/05/2021,Demons,Loss 59-87,36,0,0
2023,Caleb Daniel,1,18/03/2023,Demons,Loss 65-115,29,0,0
2022,Caleb Daniel,1,16/03/2022,Demons,Loss 71-97,26,0,0
2021,Caleb Daniel,Grand Final,25/09/2021,Demons,Loss 66-140,37,0,0
2021,Caleb Daniel,19,24/07/2021,Demons,Win 85-65,34,1,0
