Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,24,14,8,11.7,0.0,0.0,0.6,0,0,0,0,0
Brandon Zerk-Thatcher,22,18,8,12.5,0.0,0.0,0.7,40,0,0,0,0
Charlie Dixon,14,18,6,11.8,1.4,0.6,0.7,30,0,0,80,40
Connor Rozee,25,33,17,26.8,0.8,1.1,1.2,100,90,80,50,30
Dan Houston,25,41,9,24.3,0.3,0.2,0.5,80,80,60,30,0
Dante Visentini,3,10,4,7.33,0.0,0.0,1.33,0,0,0,0,0
Darcy Byrne-Jones,23,17,7,11.2,0.9,0.7,0.7,30,0,0,70,20
Dylan Williams,21,22,3,13.1,0.0,0.0,0.2,60,20,0,0,0
Esava Ratugolea,16,13,3,8.1,0.0,0.0,0.9,0,0,0,0,0
Francis Evans,10,14,2,7.5,1.0,0.4,0.4,0,0,0,40,30
Ivan Soldo,8,12,5,9.75,0.88,0.62,1.75,0,0,0,75,12
Jackson Mead,7,10,4,7.43,0.29,0.14,0.43,0,0,0,29,0
Jase Burgoyne,5,15,2,8.8,0.0,0.0,0.2,20,0,0,0,0
Jason Horne-Francis,24,27,10,16.6,0.8,0.7,0.7,50,30,10,60,10
Jed McEntee,22,13,6,9.8,0.3,0.1,0.3,0,0,0,30,0
Jeremy Finlayson,22,18,4,11.4,1.0,2.0,0.3,20,0,0,60,30
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,22,25,9,17.5,0.1,0.1,0.3,80,30,10,10,0
Lachie Jones,15,19,1,11.2,0.0,0.1,0.3,20,0,0,0,0
Miles Bergman,24,17,7,12.9,0.3,0.1,0.9,40,0,0,10,10
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,25,29,13,20.3,0.2,0.1,1.4,80,60,30,20,0
Ollie Lord,13,10,3,7.0,1.3,0.8,0.5,0,0,0,80,30
Quinton Narkle,3,13,7,10.67,1.33,0.33,0.33,0,0,0,100,33
Ryan Burton,22,25,9,16.7,0.0,0.3,1.0,60,40,10,0,0
Sam Powell-Pepper,25,19,8,12.9,1.4,1.2,0.9,30,0,0,80,50
Todd Marshall,21,15,6,9.4,1.5,0.6,1.0,10,0,0,70,60
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,21,21,5,14.5,0.3,0.2,0.4,60,30,0,30,0
Trent McKenzie,19,13,2,7.7,0.0,0.0,0.2,0,0,0,0,0
Willem Drew,25,27,12,18.3,0.1,0.4,0.7,80,40,10,10,0
Willie Rioli,19,15,10,11.5,2.1,0.6,1.0,10,0,0,90,60
Zak Butters,25,34,17,28.1,0.3,0.3,1.2,100,90,80,30,0
