Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim Kelly,6,22/04/2023,Power,Loss 69-109,34,0,0
2022,Tim Kelly,6,23/04/2022,Power,Loss 33-117,31,0,1
2021,Tim Kelly,3,03/04/2021,Power,Win 108-71,28,1,1
2023,Liam Duggan,6,22/04/2023,Power,Loss 69-109,20,0,0
2022,Liam Duggan,6,23/04/2022,Power,Loss 33-117,17,0,0
2021,Liam Duggan,3,03/04/2021,Power,Win 108-71,19,0,0
2021,Dom Sheed,3,03/04/2021,Power,Win 108-71,24,1,1
2023,Alex Witherden,6,22/04/2023,Power,Loss 69-109,23,0,0
2022,Alex Witherden,6,23/04/2022,Power,Loss 33-117,34,0,0
2023,Jayden Hunt,6,22/04/2023,Power,Loss 69-109,19,0,0
2022,Jayden Hunt,4,07/04/2022,Power,Win 68-36,7,0,0
2021,Jayden Hunt,17,08/07/2021,Power,Win 86-55,9,0,1
2023,Bailey J. Williams,6,22/04/2023,Power,Loss 69-109,21,0,0
2022,Bailey J. Williams,6,23/04/2022,Power,Loss 33-117,9,0,0
2023,Jake Waterman,6,22/04/2023,Power,Loss 69-109,23,1,1
2022,Jake Waterman,6,23/04/2022,Power,Loss 33-117,12,0,0
2022,Matt Flynn,17,09/07/2022,Power,Loss 29-84,9,0,0
2022,Liam Ryan,6,23/04/2022,Power,Loss 33-117,9,1,1
2021,Liam Ryan,3,03/04/2021,Power,Win 108-71,13,2,1
2023,Andrew Gaff,6,22/04/2023,Power,Loss 69-109,32,0,0
2021,Andrew Gaff,3,03/04/2021,Power,Win 108-71,36,0,0
2021,Jeremy McGovern,3,03/04/2021,Power,Win 108-71,18,0,0
2022,Elliot Yeo,6,23/04/2022,Power,Loss 33-117,4,0,0
2022,Jamie Cripps,6,23/04/2022,Power,Loss 33-117,9,1,0
2021,Jamie Cripps,3,03/04/2021,Power,Win 108-71,14,2,1
2023,Jamaine Jones,6,22/04/2023,Power,Loss 69-109,22,0,0
2021,Jamaine Jones,3,03/04/2021,Power,Win 108-71,4,0,0
2021,Tom Cole,3,03/04/2021,Power,Win 108-71,17,0,0
2023,Oscar Allen,6,22/04/2023,Power,Loss 69-109,9,2,2
2021,Oscar Allen,3,03/04/2021,Power,Win 108-71,12,1,2
2023,Jack Darling,6,22/04/2023,Power,Loss 69-109,8,2,1
2022,Jack Darling,6,23/04/2022,Power,Loss 33-117,14,1,2
2021,Jack Darling,3,03/04/2021,Power,Win 108-71,16,3,0
2023,Reuben Ginbey,6,22/04/2023,Power,Loss 69-109,12,0,0
2023,Tom Barrass,6,22/04/2023,Power,Loss 69-109,17,0,0
2022,Tom Barrass,6,23/04/2022,Power,Loss 33-117,17,0,0
2021,Tom Barrass,3,03/04/2021,Power,Win 108-71,11,0,0
2023,Jack Petruccelle,6,22/04/2023,Power,Loss 69-109,14,1,0
2021,Jack Petruccelle,3,03/04/2021,Power,Win 108-71,8,1,0
2023,Tyler Brockman,12,03/06/2023,Power,Loss 96-151,15,1,0
2023,Luke Edwards,6,22/04/2023,Power,Loss 69-109,17,0,0
2023,Josh Rotham,6,22/04/2023,Power,Loss 69-109,8,0,0
2021,Josh Rotham,3,03/04/2021,Power,Win 108-71,19,0,1
2023,Jai Culley,6,22/04/2023,Power,Loss 69-109,10,4,1
2022,Harry Edwards,6,23/04/2022,Power,Loss 33-117,9,0,0
2023,Zane Trew,6,22/04/2023,Power,Loss 69-109,9,0,0
2023,Rhett Bazzo,6,22/04/2023,Power,Loss 69-109,6,0,0
