Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,9,39,20,29.0,0.6,0.0,1.8,100,100,60,60,0
Adam Saad,8,25,17,22.6,0.0,0.0,0.2,100,80,40,0,0
Alex Cincotta,4,24,9,17.5,0.0,0.25,0.5,75,50,0,0,0
Blake Acres,8,36,17,27.8,0.4,0.0,0.6,100,80,60,40,0
Brodie Kemp,2,22,14,18.0,0.5,0.0,0.0,50,50,0,50,0
Charlie Curnow,9,18,9,13.0,3.4,2.4,1.4,40,0,0,100,80
Corey Durdin,8,10,7,8.6,1.4,0.2,0.2,0,0,0,100,40
Ed Curnow,9,23,2,12.6,0.2,0.2,0.2,60,20,0,20,0
George Hewett,8,32,16,24.6,0.2,0.0,0.8,100,80,60,20,0
Harry McKay,9,17,6,12.2,1.2,1.2,1.6,40,0,0,80,40
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jack Martin,1,6,6,6.0,0.0,1.0,1.0,0,0,0,0,0
Jack Silvagni,9,18,12,14.6,1.0,1.2,1.0,40,0,0,40,40
Jacob Weitering,9,22,11,15.0,0.0,0.0,0.8,40,20,0,0,0
Jesse Motlop,8,13,5,7.8,1.0,0.2,1.2,0,0,0,60,40
Josh Honey,5,10,5,8.0,0.4,0.6,0.2,0,0,0,40,0
Lachie Cowan,6,12,9,10.4,0.0,0.0,0.8,0,0,0,0,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Lewis Young,9,16,11,13.4,0.0,0.0,0.4,40,0,0,0,0
Marc Pittonet,8,13,1,8.8,0.0,0.0,1.2,0,0,0,0,0
Matthew Cottrell,1,16,16,16.0,0.0,0.0,1.0,100,0,0,0,0
Matthew Owies,4,13,4,8.75,2.25,0.25,0.75,0,0,0,100,75
Matthew Kennedy,7,27,7,16.8,0.4,0.2,0.2,60,40,20,40,0
Mitch McGovern,8,27,8,17.0,0.0,0.0,1.0,60,40,20,0,0
Nic Newman,9,34,19,24.8,0.2,0.2,0.8,100,80,40,20,0
Oliver Hollands,9,22,12,16.0,0.4,0.0,1.0,40,40,0,40,0
Patrick Cripps,9,34,17,25.8,0.2,0.8,2.2,100,60,60,20,0
Sam Docherty,7,39,19,27.4,0.4,0.0,1.0,100,80,60,40,0
Sam Walsh,5,38,25,30.0,0.4,0.2,0.2,100,100,100,40,0
Tom De Koning,5,13,9,11.2,0.2,0.4,1.4,0,0,0,20,0
Zac Fisher,7,28,14,20.4,0.0,0.8,0.4,80,60,20,0,0
