Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,7,14,4,8.6,1.2,0.6,0.6,0,0,0,100,20
Beau McCreery,9,15,2,10.6,1.0,0.4,0.2,20,0,0,60,40
Billy Frampton,7,15,8,10.6,0.6,0.4,0.4,20,0,0,60,0
Brayden Maynard,9,21,13,17.6,0.0,0.2,0.6,80,40,0,0,0
Brody Mihocek,9,17,6,9.6,2.4,0.6,0.4,20,0,0,80,80
Daniel McStay,5,16,1,8.6,0.6,0.6,0.8,20,0,0,60,0
Darcy Cameron,3,18,10,13.0,0.0,0.67,2.33,33,0,0,0,0
Darcy Moore,9,23,17,19.2,0.0,0.2,1.2,100,40,0,0,0
Isaac Quaynor,9,22,11,15.0,0.0,0.0,0.8,40,20,0,0,0
Jack Crisp,9,26,15,20.4,0.0,0.4,1.0,100,60,20,0,0
Jack Ginnivan,5,13,6,9.6,1.2,0.8,0.2,0,0,0,80,40
Jamie Elliott,9,15,11,12.2,1.0,0.4,0.4,20,0,0,60,20
Jeremy Howe,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
John Noble,9,24,21,22.8,0.2,0.0,1.6,100,100,0,20,0
Jordan De Goey,8,31,17,24.2,1.0,0.4,1.0,100,80,40,80,20
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Josh Daicos,9,31,23,28.0,0.4,0.8,1.4,100,100,80,40,0
Mason Cox,4,19,6,11.0,1.25,0.5,1.75,25,0,0,75,50
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Nathan Murphy,8,14,9,11.0,0.0,0.0,1.4,0,0,0,0,0
Nick Daicos,9,42,25,35.0,0.4,0.4,0.8,100,100,100,20,20
Reef McInnes,4,4,1,2.75,0.75,0.25,0.25,0,0,0,50,25
Scott Pendlebury,8,31,14,23.0,0.2,0.0,1.0,80,80,40,20,0
Steele Sidebottom,9,30,21,24.8,0.2,0.2,0.4,100,100,40,20,0
Taylor Adams,8,22,16,18.6,0.2,0.8,1.2,100,40,0,20,0
Tom Mitchell,9,36,22,27.6,0.2,0.0,1.8,100,100,60,20,0
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Will Hoskin Elliott,9,17,9,11.8,0.8,0.2,0.2,20,0,0,60,20
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
