Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,9,20,9,14.44,1.33,0.56,0.22,44,22,0,78,44
Brayden Cook,6,15,4,8.83,0.83,0.33,0.33,17,0,0,50,17
Brodie Smith,8,27,2,17.75,0.0,0.12,1.0,75,50,12,0,0
Chayce Jones,9,20,11,14.56,0.22,0.11,0.67,44,11,0,22,0
Chris Burgess,4,10,4,8.0,0.75,1.0,0.5,0,0,0,50,25
Daniel Curtin,2,9,5,7.0,0.0,0.0,0.0,0,0,0,0,0
Darcy Fogarty,9,14,6,10.89,1.33,0.89,1.0,0,0,0,67,44
Ned McHenry,8,13,8,10.62,0.5,0.25,0.5,0,0,0,50,0
Elliott Himmelberg,3,15,10,11.67,1.33,0.67,1.0,33,0,0,67,67
Harry Schoenberg,11,23,5,13.55,0.18,0.36,0.55,45,18,0,18,0
Izak Rankine,9,24,11,17.33,2.11,0.67,0.56,78,22,0,89,67
Jake Soligo,9,31,8,23.11,0.22,0.22,2.33,89,78,56,22,0
James Borlase,4,14,10,12.0,0.0,0.0,1.25,0,0,0,0,0
Jordan Dawson,9,31,12,24.78,0.56,0.33,1.22,89,89,67,44,11
Jordon Butts,6,17,6,11.17,0.0,0.0,0.5,17,0,0,0,0
Josh Rachele,9,22,13,16.67,1.11,0.67,0.78,78,22,0,78,22
Josh Worrell,9,22,12,17.67,0.0,0.0,1.22,78,33,0,0,0
Lachlan Gollant,3,7,3,5.0,0.33,0.0,0.33,0,0,0,33,0
Lachlan Murphy,3,11,4,8.0,0.0,0.0,1.33,0,0,0,0,0
Lachlan Sholl,6,29,9,18.67,0.67,0.33,0.0,83,33,17,67,0
Luke Nankervis,6,18,8,15.17,0.0,0.17,0.33,83,0,0,0,0
Luke Pedlar,4,10,1,5.75,0.25,0.5,0.0,0,0,0,25,0
Mark Keane,8,26,12,16.88,0.0,0.12,1.0,50,25,12,0,0
Matt Crouch,8,37,24,29.38,0.0,0.12,1.38,100,100,88,0,0
Max Michalanney,9,17,8,13.44,0.0,0.0,0.89,56,0,0,0,0
Mitchell Hinge,9,26,16,21.67,0.0,0.0,0.78,100,56,33,0,0
Nick Murray,17,16,2,9.76,0.0,0.06,0.24,18,0,0,0,0
Patrick Parnell,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Reilly O'Brien,9,18,7,12.22,0.11,0.0,0.78,22,0,0,11,0
Riley Thilthorpe,21,18,3,10.62,0.86,0.43,0.76,24,0,0,52,19
Rory Laird,9,34,22,26.89,0.22,0.56,1.56,100,100,67,22,0
Rory Sloane,22,30,9,18.14,0.27,0.09,0.86,73,27,14,23,5
Sam Berry,5,13,7,9.6,0.4,0.0,1.8,0,0,0,40,0
Taylor Walker,8,15,7,11.75,1.75,1.0,0.5,25,0,0,88,62
Wayne Milera,3,19,13,15.33,0.0,0.0,0.33,33,0,0,0,0
Will Hamill,3,10,7,9.0,0.0,0.0,0.67,0,0,0,0,0
