Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Luke Davies-Uniacke,22,12/08/2023,Bombers,Loss 77-86,28,1,0
2022,Luke Davies-Uniacke,22,12/08/2022,Bombers,Loss 77-86,28,1,0
2021,Luke Davies-Uniacke,22,12/08/2021,Bombers,Loss 77-86,28,1,0
2023,Harry Sheezel,22,12/08/2023,Bombers,Loss 77-86,32,0,0
2023,Harry Sheezel,12,04/06/2023,Bombers,Loss 99-105,21,0,1
2022,Harry Sheezel,22,12/08/2022,Bombers,Loss 77-86,32,0,0
2022,Harry Sheezel,12,04/06/2022,Bombers,Loss 99-105,21,0,1
2021,Harry Sheezel,22,12/08/2021,Bombers,Loss 77-86,32,0,0
2021,Harry Sheezel,12,04/06/2021,Bombers,Loss 99-105,21,0,1
2023,Bailey Scott,22,12/08/2023,Bombers,Loss 77-86,26,0,0
2023,Bailey Scott,12,04/06/2023,Bombers,Loss 99-105,19,1,1
2022,Bailey Scott,22,12/08/2022,Bombers,Loss 77-86,26,0,0
2022,Bailey Scott,12,04/06/2022,Bombers,Loss 99-105,19,1,1
2021,Bailey Scott,22,12/08/2021,Bombers,Loss 77-86,26,0,0
2021,Bailey Scott,12,04/06/2021,Bombers,Loss 99-105,19,1,1
2023,Tarryn Thomas,22,12/08/2023,Bombers,Loss 77-86,22,0,0
2023,Tarryn Thomas,12,04/06/2023,Bombers,Loss 99-105,17,1,0
2022,Tarryn Thomas,22,12/08/2022,Bombers,Loss 77-86,22,0,0
2022,Tarryn Thomas,12,04/06/2022,Bombers,Loss 99-105,17,1,0
2021,Tarryn Thomas,22,12/08/2021,Bombers,Loss 77-86,22,0,0
2021,Tarryn Thomas,12,04/06/2021,Bombers,Loss 99-105,17,1,0
2023,Liam Shiels,12,04/06/2023,Bombers,Loss 99-105,19,0,0
2022,Liam Shiels,12,04/06/2022,Bombers,Loss 99-105,19,0,0
2021,Liam Shiels,12,04/06/2021,Bombers,Loss 99-105,19,0,0
2023,Jy Simpkin,22,12/08/2023,Bombers,Loss 77-86,22,1,1
2023,Jy Simpkin,12,04/06/2023,Bombers,Loss 99-105,3,0,0
2022,Jy Simpkin,22,12/08/2022,Bombers,Loss 77-86,22,1,1
2022,Jy Simpkin,12,04/06/2022,Bombers,Loss 99-105,3,0,0
2021,Jy Simpkin,22,12/08/2021,Bombers,Loss 77-86,22,1,1
2021,Jy Simpkin,12,04/06/2021,Bombers,Loss 99-105,3,0,0
2023,Luke McDonald,22,12/08/2023,Bombers,Loss 77-86,13,0,0
2023,Luke McDonald,12,04/06/2023,Bombers,Loss 99-105,18,1,0
2022,Luke McDonald,22,12/08/2022,Bombers,Loss 77-86,13,0,0
2022,Luke McDonald,12,04/06/2022,Bombers,Loss 99-105,18,1,0
2021,Luke McDonald,22,12/08/2021,Bombers,Loss 77-86,13,0,0
2021,Luke McDonald,12,04/06/2021,Bombers,Loss 99-105,18,1,0
2023,Will Phillips,12,04/06/2023,Bombers,Loss 99-105,27,1,0
2022,Will Phillips,12,04/06/2022,Bombers,Loss 99-105,27,1,0
