Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,9,21,6,13.56,0.0,0.0,0.78,56,11,0,0,0
Bailey Scott,9,27,12,20.44,0.11,0.11,0.11,89,67,11,11,0
Bigoa Nyuon,3,19,11,14.33,0.0,0.0,0.67,33,0,0,0,0
Blake Drury,5,17,6,11.0,0.6,0.0,0.4,20,0,0,40,20
Callum Coleman-Jones,3,9,3,6.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,8,19,6,13.0,1.38,1.12,1.5,38,0,0,75,38
Charlie Comben,6,25,8,13.67,0.0,0.0,1.5,17,17,17,0,0
Charlie Lazzaro,7,16,6,12.29,0.29,0.0,0.43,29,0,0,29,0
Colby McKercher,9,32,1,20.67,0.0,0.11,0.11,78,56,33,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,16,18,8,13.81,0.56,0.44,0.75,44,0,0,50,6
Darcy Tucker,9,21,8,14.11,0.33,0.0,0.56,44,11,0,33,0
Dylan Stephens,7,18,5,11.86,0.0,0.0,0.86,29,0,0,0,0
Eddie Ford,6,20,3,9.33,1.33,0.17,0.17,17,17,0,83,33
George Wardlaw,8,23,11,17.75,0.5,0.38,1.38,88,38,0,50,0
Griffin Logue,15,17,1,12.47,0.07,0.07,0.4,33,0,0,7,0
Harry Sheezel,9,38,21,30.22,0.11,0.0,0.67,100,100,78,11,0
Hugh Greenwood,3,12,5,9.33,0.33,0.33,0.33,0,0,0,33,0
Jackson Archer,2,11,4,7.5,0.0,0.0,1.0,0,0,0,0,0
Jaidyn Stephenson,6,16,6,10.33,0.83,0.0,0.17,17,0,0,50,33
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,7,19,14,15.71,0.43,0.43,1.14,57,0,0,43,0
Kallan Dawson,4,15,8,12.0,0.0,0.0,0.5,25,0,0,0,0
Liam Shiels,4,15,4,10.5,0.25,0.5,0.5,25,0,0,25,0
Luke Davies-Uniacke,9,35,21,27.33,0.33,0.11,0.78,100,100,78,33,0
Luke McDonald,8,21,9,13.5,0.0,0.0,0.75,25,12,0,0,0
Miller Bergman,12,18,4,11.5,0.0,0.0,0.58,17,0,0,0,0
Nick Larkey,9,18,6,9.22,2.0,0.89,1.56,11,0,0,100,67
Paul Curtis,9,15,5,10.11,1.67,1.22,1.0,11,0,0,89,56
Riley Hardeman,3,12,7,10.0,0.0,0.0,0.33,0,0,0,0,0
Tarryn Thomas,12,25,10,19.58,0.92,0.33,0.92,75,58,8,42,33
Toby Pink,4,10,3,7.0,0.0,0.0,0.5,0,0,0,0,0
Tom Powell,9,29,10,21.67,0.56,0.22,0.22,78,67,56,44,11
Tristan Xerri,9,19,9,15.11,0.22,0.0,2.11,56,0,0,22,0
Will Phillips,3,19,8,13.67,0.0,0.0,1.0,33,0,0,0,0
Zac Fisher,9,34,10,22.0,0.0,0.11,0.67,78,78,33,0,0
Zane Duursma,8,15,7,9.88,0.62,0.88,0.88,12,0,0,38,25
