Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey,7,12,3,8.43,0.43,0.29,0.43,0,0,0,43,0
Andrew McGrath,9,25,18,21.67,0.0,0.0,0.78,100,78,22,0,0
Anthony McDonald Tipungwuti,4,13,4,7.75,1.0,0.5,0.25,0,0,0,100,0
Archie Perkins,9,20,8,14.0,1.33,0.89,0.44,33,11,0,89,33
Ben Hobbs,4,22,6,15.0,0.5,0.0,0.75,75,25,0,50,0
Brandon Zerk Thatcher,8,19,6,11.38,0.0,0.0,0.5,25,0,0,0,0
Darcy Parish,8,38,27,33.5,0.12,0.0,1.25,100,100,100,12,0
Dylan Shiel,9,28,18,22.89,0.67,0.11,0.56,100,67,33,33,33
Dyson Heppell,8,21,14,17.12,0.12,0.0,0.38,88,12,0,12,0
Jake Kelly,8,29,8,14.62,0.0,0.0,0.62,38,12,12,0,0
Jake Stringer,7,26,8,14.29,2.0,1.57,1.0,43,14,14,100,43
Jayden Laverde,6,22,8,15.17,0.0,0.0,0.17,50,33,0,0,0
Jordan Ridley,8,23,4,17.75,0.12,0.0,0.62,88,50,0,12,0
Jye Caldwell,9,20,10,15.78,0.56,0.89,0.56,78,11,0,44,11
Jye Menzie,8,17,3,9.0,1.0,0.62,0.38,12,0,0,75,25
Kaine Baldwin,1,13,13,13.0,0.0,0.0,1.0,0,0,0,0,0
Kyle Langford,9,22,9,15.22,1.78,0.89,0.56,56,11,0,78,56
Mason Redman,9,30,16,22.0,0.44,0.22,0.78,100,67,22,33,11
Matt Guelfi,1,6,6,6.0,2.0,0.0,0.0,0,0,0,100,100
Nic Martin,9,28,13,20.11,0.78,0.33,0.56,89,44,11,56,22
Nick Hind,5,20,7,13.2,0.4,0.2,0.0,40,20,0,20,20
Sam Draper,9,16,7,11.44,0.89,0.89,1.22,33,0,0,56,22
Sam Durham,8,24,9,16.12,0.12,0.25,1.0,62,25,0,12,0
Sam Weideman,7,14,3,9.57,1.57,1.0,1.14,0,0,0,57,57
Will Setterfield,9,28,16,21.56,0.22,0.33,0.78,100,67,22,22,0
Will Snelling,3,13,5,9.67,0.33,0.67,1.0,0,0,0,33,0
Zach Merrett,8,35,19,27.25,0.25,0.62,1.5,100,88,75,25,0
