Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,6,15,2,8.5,0.17,0.17,0.67,17,0,0,17,0
Daniel Rioli,9,29,21,23.67,0.11,0.11,0.89,100,100,33,11,0
Dion Prestia,8,23,19,21.0,0.5,0.12,0.62,100,88,0,25,12
Dustin Martin,8,27,14,20.88,1.12,0.75,0.62,88,50,25,75,12
Dylan Grimes,9,12,6,8.44,0.0,0.0,1.56,0,0,0,0,0
Hugo Ralphsmith,6,19,4,13.5,0.17,0.33,0.0,50,0,0,17,0
Ivan Soldo,1,11,11,11.0,1.0,1.0,2.0,0,0,0,100,0
Jack Graham,6,20,10,14.67,0.5,0.5,1.17,50,17,0,50,0
Jack Riewoldt,8,12,4,9.25,2.0,1.0,0.88,0,0,0,88,62
Jack Ross,5,23,4,15.8,0.2,0.0,0.6,60,40,0,20,0
Jacob Hopper,8,32,10,22.88,0.5,0.38,1.62,88,75,25,50,0
Jayden Short,6,32,17,23.83,0.17,0.17,1.17,100,67,50,17,0
Judson Clarke,7,20,2,10.43,0.71,0.0,0.57,29,14,0,71,0
Kamdyn McIntosh,9,19,9,15.22,0.0,0.33,0.33,67,0,0,0,0
Liam Baker,9,35,14,23.33,0.22,0.44,1.11,89,78,44,22,0
Marlion Pickett,9,23,7,16.11,0.22,0.22,0.89,67,22,0,22,0
Maurice Rioli,5,11,3,6.8,0.4,0.2,0.8,0,0,0,20,20
Nathan Broad,5,20,13,16.8,0.2,0.0,1.0,80,20,0,20,0
Nick Vlastuin,9,21,11,18.11,0.0,0.11,1.0,89,56,0,0,0
Noah Balta,9,20,8,13.11,0.0,0.0,0.67,33,11,0,0,0
Noah Cumberland,6,21,2,8.33,1.0,0.83,1.33,17,17,0,50,33
Rhyan Mansell,8,12,3,7.38,0.75,0.38,0.88,0,0,0,62,12
Samson Ryan,8,11,2,7.62,1.12,0.25,0.5,0,0,0,75,25
Shai Bolton,9,31,16,20.44,1.22,0.78,0.89,100,56,11,78,22
Tom J. Lynch,4,11,6,8.5,2.25,1.5,0.5,0,0,0,100,75
Tim Taranto,9,34,27,30.33,0.44,0.78,0.78,100,100,100,33,11
Toby Nankervis,4,20,14,16.75,0.0,0.0,1.75,75,25,0,0,0
Trent Cotchin,8,23,7,14.5,0.5,0.12,0.62,50,12,0,25,12
Tylar Young,6,14,5,9.5,0.0,0.0,0.33,0,0,0,0,0
Tyler Sonsie,3,15,4,11.33,0.0,0.0,0.33,67,0,0,0,0
