Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tom Stewart,3,02/04/2023,Suns,Loss 54-73,29,0,0
2022,Tom Stewart,22,13/08/2022,Suns,Win 119-59,21,0,0
2021,Tom Stewart,10,22/05/2021,Suns,Win 91-57,25,0,0
2021,Mitch Duncan,10,22/05/2021,Suns,Win 91-57,15,2,0
2023,Cameron Guthrie,3,02/04/2023,Suns,Loss 54-73,28,0,0
2022,Cameron Guthrie,22,13/08/2022,Suns,Win 119-59,30,1,0
2021,Cameron Guthrie,10,22/05/2021,Suns,Win 91-57,29,0,1
2023,Jeremy Cameron,3,02/04/2023,Suns,Loss 54-73,15,3,3
2022,Jeremy Cameron,22,13/08/2022,Suns,Win 119-59,21,3,3
2021,Jeremy Cameron,10,22/05/2021,Suns,Win 91-57,11,3,0
2023,Mark Blicavs,3,02/04/2023,Suns,Loss 54-73,17,0,2
2022,Mark Blicavs,22,13/08/2022,Suns,Win 119-59,27,2,0
2021,Mark Blicavs,10,22/05/2021,Suns,Win 91-57,18,1,0
2023,Patrick Dangerfield,3,02/04/2023,Suns,Loss 54-73,19,1,0
2022,Patrick Dangerfield,22,13/08/2022,Suns,Win 119-59,24,0,1
2023,Tom Atkins,3,02/04/2023,Suns,Loss 54-73,21,0,1
2022,Tom Atkins,22,13/08/2022,Suns,Win 119-59,15,0,1
2021,Tom Atkins,10,22/05/2021,Suns,Win 91-57,14,0,0
2023,Max Holmes,3,02/04/2023,Suns,Loss 54-73,15,0,1
2022,Max Holmes,22,13/08/2022,Suns,Win 119-59,20,2,1
2023,Gryan Miers,3,02/04/2023,Suns,Loss 54-73,16,0,0
2022,Gryan Miers,22,13/08/2022,Suns,Win 119-59,21,2,0
2022,Rhys Stanley,22,13/08/2022,Suns,Win 119-59,4,0,0
2023,Tanner Bruhn,3,02/04/2023,Suns,Loss 54-73,12,0,0
2022,Tanner Bruhn,3,02/04/2022,Suns,Win 83-57,17,0,0
2023,Zach Guthrie,3,02/04/2023,Suns,Loss 54-73,13,0,0
2022,Zach Guthrie,22,13/08/2022,Suns,Win 119-59,18,0,0
2021,Zach Guthrie,10,22/05/2021,Suns,Win 91-57,12,0,0
2023,Zach Tuohy,3,02/04/2023,Suns,Loss 54-73,21,0,0
2022,Zach Tuohy,22,13/08/2022,Suns,Win 119-59,18,1,0
2021,Zach Tuohy,10,22/05/2021,Suns,Win 91-57,25,1,0
2023,Tom Hawkins,3,02/04/2023,Suns,Loss 54-73,5,0,1
2022,Tom Hawkins,22,13/08/2022,Suns,Win 119-59,13,1,0
2021,Tom Hawkins,10,22/05/2021,Suns,Win 91-57,13,2,1
2023,Mark O'Connor,3,02/04/2023,Suns,Loss 54-73,15,0,0
2022,Mark O'Connor,22,13/08/2022,Suns,Win 119-59,8,0,0
2023,Jack Bowes,3,02/04/2023,Suns,Loss 54-73,13,1,0
2023,Brad Close,3,02/04/2023,Suns,Loss 54-73,12,0,1
2022,Brad Close,22,13/08/2022,Suns,Win 119-59,18,0,0
2021,Brad Close,10,22/05/2021,Suns,Win 91-57,12,1,0
2023,Oliver Henry,3,02/04/2023,Suns,Loss 54-73,13,0,0
2022,Oliver Henry,16,02/07/2022,Suns,Win 67-62,8,1,2
2022,Brandan Parfitt,22,13/08/2022,Suns,Win 119-59,28,2,0
2021,Brandan Parfitt,10,22/05/2021,Suns,Win 91-57,21,0,0
2023,Tyson Stengle,3,02/04/2023,Suns,Loss 54-73,9,0,0
2022,Tyson Stengle,22,13/08/2022,Suns,Win 119-59,15,3,1
2023,Gary Rohan,3,02/04/2023,Suns,Loss 54-73,6,2,0
2022,Gary Rohan,22,13/08/2022,Suns,Win 119-59,8,0,0
2021,Gary Rohan,10,22/05/2021,Suns,Win 91-57,13,2,0
2022,Jack Henry,22,13/08/2022,Suns,Win 119-59,12,0,0
2021,Jack Henry,10,22/05/2021,Suns,Win 91-57,19,0,0
2022,Jake Kolodjashnij,22,13/08/2022,Suns,Win 119-59,13,0,0
2021,Jake Kolodjashnij,10,22/05/2021,Suns,Win 91-57,10,0,0
2023,Sam De Koning,3,02/04/2023,Suns,Loss 54-73,7,0,0
2022,Sam De Koning,22,13/08/2022,Suns,Win 119-59,11,0,0
2023,Jed Bews,3,02/04/2023,Suns,Loss 54-73,13,0,0
2022,Jed Bews,22,13/08/2022,Suns,Win 119-59,11,0,0
2021,Jed Bews,10,22/05/2021,Suns,Win 91-57,17,1,0
2022,Emerson Jeka,21,06/08/2022,Suns,Win 70-63,16,0,0
