Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,9,22,14,17.33,0.33,0.67,1.0,67,33,0,33,0
Calsher Dear,2,8,6,7.0,1.0,0.5,0.5,0,0,0,50,50
Cam Mackenzie,9,21,8,15.0,0.0,0.33,0.0,67,33,0,0,0
Chad Wingard,14,26,0,17.33,0.67,0.0,1.0,67,67,67,33,33
Changkuoth Jiath,8,21,15,17.33,0.0,0.0,1.33,100,33,0,0,0
Connor Macdonald,9,15,14,14.33,1.33,1.0,0.0,33,0,0,67,33
Conor Nash,9,18,15,17.0,0.0,0.0,1.67,100,0,0,0,0
Denver Grainger-Barras,7,9,0,5.67,0.67,0.33,0.67,0,0,0,67,0
Dylan Moore,9,25,14,21.0,1.33,0.33,1.33,67,67,33,100,33
Finn Maginness,8,20,10,14.67,0.0,0.67,0.33,33,33,0,0,0
Harry Morrison,4,26,11,17.0,0.33,0.0,0.33,33,33,33,33,0
Henry Hustwaite,4,12,2,6.0,0.0,0.0,0.67,0,0,0,0,0
Jack Ginnivan,9,20,11,14.67,0.67,2.33,0.67,33,33,0,67,0
Jack Gunston,6,12,5,8.0,0.67,2.33,0.0,0,0,0,33,33
Jack Scrimshaw,9,21,16,18.0,0.0,0.0,0.67,100,33,0,0,0
Jai Newcombe,9,31,21,25.33,0.67,0.67,1.0,100,100,33,67,0
Jai Serong,3,14,2,9.0,0.0,0.0,0.67,0,0,0,0,0
James Blanck,15,7,5,5.67,0.0,0.0,1.0,0,0,0,0,0
James Sicily,8,24,19,21.0,0.33,0.0,2.0,100,67,0,33,0
James Worpel,9,21,14,17.67,0.0,0.33,1.0,67,33,0,0,0
Jarman Impey,9,27,13,20.67,0.0,0.0,0.33,67,67,33,0,0
Josh Ward,6,17,7,11.0,0.33,0.0,0.33,33,0,0,33,0
Josh Weddle,9,15,12,13.67,0.33,0.0,0.33,33,0,0,33,0
Karl Amon,9,31,15,22.33,0.0,0.0,0.0,100,67,33,0,0
Lloyd Meek,7,16,12,14.33,1.0,0.0,1.67,67,0,0,100,0
Luke Breust,4,11,5,8.0,0.67,0.33,0.67,0,0,0,67,0
Mabior Chol,7,11,8,9.67,1.33,1.0,1.0,0,0,0,100,33
Massimo D'Ambrosio,8,17,9,14.33,0.0,0.0,0.67,67,0,0,0,0
Max Ramsden,3,9,2,5.67,0.33,0.0,1.0,0,0,0,33,0
Mitch Lewis,3,10,7,8.33,1.0,0.67,0.0,0,0,0,100,0
Ned Reeves,2,10,8,9.0,0.0,0.0,1.0,0,0,0,0,0
Nick Watson,5,16,3,9.67,1.0,1.33,0.0,33,0,0,67,33
Sam Butler,2,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0
Sam Frost,9,13,9,10.33,0.0,0.0,0.67,0,0,0,0,0
Seamus Mitchell,5,11,10,10.33,0.0,0.0,0.33,0,0,0,0,0
Will Day,3,22,11,15.0,0.0,0.33,1.33,33,33,0,0,0
