Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,8,15,6,11.8,0.0,0.0,0.6,40,0,0,0,0
Brandon Zerk-Thatcher,9,15,7,9.4,0.0,0.0,1.0,20,0,0,0,0
Charlie Dixon,8,15,7,10.4,1.4,0.6,1.0,20,0,0,60,40
Connor Rozee,8,36,15,23.2,0.8,1.0,1.4,100,60,40,40,20
Dan Houston,9,28,20,25.0,0.0,0.0,1.0,100,100,60,0,0
Dante Visentini,1,10,10,10.0,0.0,0.0,2.0,0,0,0,0,0
Darcy Byrne-Jones,9,17,8,11.6,0.6,1.2,0.2,40,0,0,40,20
Dylan Williams,3,10,6,8.67,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,9,14,7,10.4,0.0,0.0,1.2,0,0,0,0,0
Francis Evans,4,10,1,4.25,0.5,0.0,0.25,0,0,0,50,0
Ivan Soldo,6,16,8,10.2,0.4,0.4,1.4,20,0,0,40,0
Jackson Mead,9,22,4,10.8,0.2,0.2,0.2,20,20,0,20,0
Jase Burgoyne,7,27,10,18.4,0.0,0.8,0.6,60,60,20,0,0
Jason Horne-Francis,7,26,15,20.6,1.0,0.6,1.8,100,60,20,80,20
Jed McEntee,7,9,2,6.2,0.2,0.4,0.2,0,0,0,20,0
Jeremy Finlayson,5,19,11,14.2,1.8,1.6,0.6,40,0,0,80,60
Jordon Sweet,3,13,5,9.67,0.0,0.0,1.0,0,0,0,0,0
Josh Sinn,1,16,16,16.0,0.0,0.0,0.0,100,0,0,0,0
Kane Farrell,9,26,14,18.0,0.4,0.0,1.0,60,40,20,20,20
Lachie Jones,8,17,6,11.8,0.0,0.0,1.2,40,0,0,0,0
Miles Bergman,9,20,13,16.6,0.4,0.6,0.8,80,20,0,40,0
Mitch Georgiades,6,13,8,10.6,1.6,1.4,0.6,0,0,0,80,60
Ollie Wines,8,33,20,24.8,0.4,0.2,1.4,100,100,40,40,0
Ollie Lord,13,7,3,5.4,1.8,0.4,0.6,0,0,0,100,40
Quinton Narkle,3,13,7,10.67,1.33,0.33,0.33,0,0,0,100,33
Ryan Burton,8,23,15,19.4,0.2,0.2,0.2,100,40,0,20,0
Sam Powell-Pepper,3,11,7,9.33,1.0,1.33,0.67,0,0,0,67,33
Todd Marshall,9,11,6,8.0,1.0,1.0,0.6,0,0,0,80,20
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,7,24,7,16.2,0.0,1.2,1.0,80,20,0,0,0
Trent McKenzie,19,9,3,6.6,0.0,0.0,0.0,0,0,0,0,0
Willem Drew,9,27,16,20.2,0.0,0.0,1.2,100,40,20,0,0
Willie Rioli,9,13,6,10.0,1.6,1.2,0.6,0,0,0,80,40
Zak Butters,9,34,24,29.8,0.6,0.4,1.4,100,100,80,60,0
