Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,8,15,6,12.12,0.0,0.0,0.75,25,0,0,0,0
Brandon Zerk-Thatcher,9,15,7,10.67,0.0,0.0,1.11,22,0,0,0,0
Charlie Dixon,8,15,7,11.5,1.62,1.38,1.12,25,0,0,75,50
Connor Rozee,8,36,15,24.62,0.88,1.0,1.75,100,75,62,50,25
Dan Houston,9,28,18,23.11,0.22,0.22,0.78,100,78,44,22,0
Dante Visentini,1,10,10,10.0,0.0,0.0,2.0,0,0,0,0,0
Darcy Byrne-Jones,9,17,8,11.89,1.33,0.89,0.44,22,0,0,67,44
Dylan Williams,3,10,6,8.67,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,9,17,6,10.56,0.0,0.11,0.89,11,0,0,0,0
Francis Evans,4,10,1,4.25,0.5,0.0,0.25,0,0,0,50,0
Ivan Soldo,6,16,8,10.83,0.67,0.33,1.17,17,0,0,50,17
Jackson Mead,9,22,4,12.22,0.22,0.22,0.22,22,11,0,22,0
Jase Burgoyne,7,27,6,15.86,0.0,0.57,0.57,43,43,14,0,0
Jason Horne-Francis,7,31,15,22.0,1.0,0.43,1.71,100,71,29,71,29
Jed McEntee,7,9,1,5.86,0.29,0.29,0.14,0,0,0,29,0
Jeremy Finlayson,5,19,11,14.2,1.8,1.6,0.6,40,0,0,80,60
Jordon Sweet,3,13,5,9.67,0.0,0.0,1.0,0,0,0,0,0
Josh Sinn,1,16,16,16.0,0.0,0.0,0.0,100,0,0,0,0
Kane Farrell,9,27,11,17.89,0.44,0.22,0.56,67,33,22,22,22
Lachie Jones,8,17,6,11.38,0.0,0.0,0.88,25,0,0,0,0
Miles Bergman,9,21,13,16.44,0.33,0.67,0.67,67,22,0,33,0
Mitch Georgiades,6,15,8,11.33,1.67,1.5,0.5,17,0,0,83,67
Ollie Wines,8,33,20,24.75,0.25,0.5,1.25,100,100,50,25,0
Ollie Lord,13,10,3,7.31,1.15,0.77,0.77,0,0,0,77,23
Quinton Narkle,3,13,7,10.67,1.33,0.33,0.33,0,0,0,100,33
Ryan Burton,8,23,15,20.12,0.12,0.25,0.38,100,50,0,12,0
Sam Powell-Pepper,3,11,7,9.33,1.0,1.33,0.67,0,0,0,67,33
Todd Marshall,9,15,6,9.89,1.22,1.11,0.89,22,0,0,78,22
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,7,24,7,16.0,0.0,1.14,0.86,86,14,0,0,0
Trent McKenzie,19,16,2,9.21,0.0,0.0,0.26,5,0,0,0,0
Willem Drew,9,27,16,20.78,0.33,0.11,1.11,100,44,33,22,11
Willie Rioli,9,13,6,10.33,1.56,1.22,0.78,0,0,0,78,44
Zak Butters,9,34,24,29.11,0.56,0.33,1.56,100,100,89,56,0
