Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,5,9,0,5.0,0.2,0.0,0.2,0,0,0,20,0
Anthony Caminiti,5,11,6,8.2,1.4,1.0,0.2,0,0,0,100,40
Ben Paton,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,9,33,14,23.8,0.8,0.6,0.2,80,60,40,60,20
Callum Wilkie,9,21,13,16.4,0.0,0.0,0.6,60,40,0,0,0
Cooper Sharman,7,17,4,9.0,0.4,0.8,0.6,20,0,0,40,0
Dan Butler,4,10,1,5.25,0.25,0.0,0.75,0,0,0,25,0
Darcy Wilson,9,21,15,19.4,1.0,1.0,1.0,100,60,0,60,20
Dougal Howard,3,19,10,13.0,0.0,0.0,0.33,33,0,0,0,0
Hugo Garcia,5,14,6,9.8,0.2,0.2,0.2,0,0,0,20,0
Hunter Clark,19,20,5,15.0,0.0,0.0,0.4,60,20,0,0,0
Jack Hayes,2,17,2,9.5,1.0,0.5,2.5,50,0,0,50,50
Jack Higgins,7,15,11,13.0,1.8,1.2,0.8,20,0,0,80,80
Jack Sinclair,8,33,18,24.0,0.8,0.6,0.8,100,60,40,60,20
Jack Steele,9,30,15,24.8,0.2,0.0,0.6,100,80,60,20,0
Jimmy Webster,2,18,17,17.5,0.0,0.0,1.5,100,0,0,0,0
Josh Battle,9,22,11,16.2,0.4,0.2,0.2,60,40,0,20,20
Lance Collard,1,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0
Liam Henry,3,19,4,12.33,0.67,1.33,0.33,33,0,0,33,33
Liam Stocker,9,12,10,11.4,0.0,0.0,0.8,0,0,0,0,0
Marcus Windhager,8,29,18,22.8,0.0,0.4,1.6,100,80,40,0,0
Mason Wood,4,21,3,14.75,0.25,0.25,0.25,75,50,0,25,0
Mattaes Phillipou,8,16,5,10.2,0.2,0.2,0.2,20,0,0,20,0
Max King,6,15,4,9.6,1.4,0.8,1.8,20,0,0,80,40
Mitch Owens,9,14,8,10.8,1.4,0.4,1.6,0,0,0,80,60
Nasiah Wanganeen-Milera,9,29,18,24.2,0.0,0.0,0.6,100,60,60,0,0
Paddy Dow,10,24,12,19.8,0.2,0.2,1.2,80,80,0,20,0
Riley Bonner,9,30,20,23.6,0.0,0.2,0.0,100,100,20,0,0
Rowan Marshall,9,28,11,19.4,0.2,0.2,1.4,60,40,40,20,0
Ryan Byrnes,8,20,4,14.2,0.0,0.0,0.8,40,20,0,0,0
Sebastian Ross,9,23,14,18.0,0.2,0.2,0.0,60,40,0,20,0
Tim Membrey,9,12,9,10.6,1.6,0.6,0.2,0,0,0,100,40
Zaine Cordy,7,15,4,9.4,0.2,0.0,0.4,20,0,0,20,0
Zak Jones,4,16,7,12.25,0.25,0.0,0.25,50,0,0,25,0
