Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Alex Neal-Bullen,9,23,16,19.0,0.0,0.33,1.33,100,33,0,0,0
Bailey Laurie,3,8,1,4.67,0.67,0.0,0.33,0,0,0,33,33
Bayley Fritsch,9,12,7,10.0,2.0,1.0,0.67,0,0,0,100,67
Ben Brown,5,9,4,6.0,1.33,0.0,0.33,0,0,0,67,33
Blake Howes,9,17,9,13.33,0.0,0.0,1.33,33,0,0,0,0
Caleb Windsor,9,19,14,17.0,1.0,0.67,1.33,67,0,0,100,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,9,23,21,21.67,2.0,1.33,0.67,100,100,0,67,33
Christian Salem,6,16,2,9.67,0.0,0.0,0.33,33,0,0,0,0
Clayton Oliver,9,31,22,26.33,0.0,0.0,1.67,100,100,67,0,0
Daniel Turner,3,13,5,7.67,1.33,0.33,0.33,0,0,0,67,33
Ed Langdon,9,24,21,23.0,0.33,0.67,0.33,100,100,0,33,0
Harrison Petty,7,13,6,9.0,0.33,0.67,0.33,0,0,0,33,0
Jack Billings,9,20,12,16.67,0.0,0.0,0.33,67,33,0,0,0
Jack Viney,9,21,14,18.0,0.0,0.0,1.67,67,33,0,0,0
Jacob van Rooyen,9,13,7,10.33,0.67,0.67,2.0,0,0,0,67,0
Jake Bowey,2,14,14,14.0,0.0,0.0,0.5,0,0,0,0,0
Jake Lever,9,26,13,21.0,0.0,0.0,0.67,67,67,33,0,0
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,9,21,13,16.0,0.0,0.33,0.0,33,33,0,0,0
Kade Chandler,9,13,6,9.33,0.33,0.33,0.33,0,0,0,33,0
Koltyn Tholstrup,1,7,7,7.0,0.0,1.0,0.0,0,0,0,0,0
Kysaiah Pickett,7,20,9,14.33,1.67,1.33,0.33,33,33,0,100,67
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,9,23,16,18.67,1.0,0.33,1.67,100,33,0,100,0
Steven May,8,25,18,22.0,0.0,0.0,0.67,100,67,33,0,0
Taj Woewodin,7,13,9,11.33,0.0,0.0,0.67,0,0,0,0,0
Tom McDonald,8,14,12,13.0,0.0,0.0,0.67,0,0,0,0,0
Tom Sparrow,9,22,16,18.0,0.0,0.0,1.33,100,33,0,0,0
Trent Rivers,9,24,14,19.33,0.0,0.0,0.33,67,67,0,0,0
