Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Starcevich,10,13,11,12.33,0.0,0.0,0.33,0,0,0,0,0
Callum Ah Chee,1,5,5,5.0,0.0,0.0,1.0,0,0,0,0,0
Cam Rayner,10,20,9,14.33,0.33,0.67,0.67,33,33,0,33,0
Charlie Cameron,10,12,7,9.33,2.0,1.0,1.0,0,0,0,67,67
Conor McKenna,10,15,14,14.33,0.0,0.33,0.33,33,0,0,0,0
Daniel Rich,5,27,13,20.0,0.0,0.0,0.67,67,67,33,0,0
Darcy Fort,3,13,9,11.33,0.33,0.67,0.67,0,0,0,33,0
Darcy Wilmot,10,22,8,15.33,0.0,0.33,1.67,67,33,0,0,0
Dayne Zorko,8,25,13,19.0,0.0,1.0,1.0,67,33,33,0,0
Deven Robertson,3,6,1,2.67,0.0,0.0,0.33,0,0,0,0,0
Eric Hipwood,10,14,9,12.33,1.33,1.0,1.33,0,0,0,100,33
Harris Andrews,10,19,13,15.33,0.0,0.0,0.67,33,0,0,0,0
Harry Sharp,3,17,10,13.33,0.67,0.0,0.67,33,0,0,67,0
Hugh McCluggage,10,30,26,27.67,0.33,1.0,1.0,100,100,100,33,0
Jack Gunston,9,17,7,13.0,1.0,0.33,0.33,67,0,0,67,33
Jack Payne,10,15,9,12.33,0.0,0.0,1.0,33,0,0,0,0
James Tunstill,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,10,29,10,19.67,0.33,0.33,0.0,67,67,33,33,0
Jarryd Lyons,3,7,2,5.33,0.0,0.0,0.67,0,0,0,0,0
Jaxon Prior,2,12,2,7.0,0.5,0.0,0.5,0,0,0,50,0
Joe Daniher,10,16,15,15.67,4.0,1.0,0.33,100,0,0,100,100
Josh Dunkley,10,33,22,28.0,0.0,0.33,1.67,100,100,67,0,0
Keidean Coleman,9,20,13,15.67,0.0,0.0,0.33,33,33,0,0,0
Lachie Neale,10,35,20,29.67,0.0,0.33,1.67,100,100,67,0,0
Lincoln McCarthy,10,11,8,9.0,1.33,0.33,0.33,0,0,0,100,33
Noah Answerth,4,16,4,9.0,0.0,0.0,0.67,33,0,0,0,0
Oscar McInerney,10,16,12,13.67,0.33,1.0,2.33,33,0,0,33,0
Ryan Lester,4,19,9,13.0,0.0,0.33,0.67,33,0,0,0,0
Will Ashcroft,10,30,13,23.67,0.33,0.0,2.33,67,67,67,33,0
Zac Bailey,10,13,12,12.33,2.33,0.33,0.33,0,0,0,100,67
