Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,10,16,13,14.67,0.33,1.33,0.0,67,0,0,33,0
Brayden Cook,7,14,4,9.67,0.67,0.0,0.0,0,0,0,67,0
Brodie Smith,9,18,2,12.0,0.0,0.0,0.0,67,0,0,0,0
Chayce Jones,10,19,12,15.0,0.0,0.67,0.0,33,0,0,0,0
Chris Burgess,4,10,4,7.67,1.0,1.33,0.67,0,0,0,67,33
Daniel Curtin,2,9,5,7.0,0.0,0.0,0.0,0,0,0,0,0
Darcy Fogarty,10,14,9,12.33,2.67,0.67,1.33,0,0,0,100,100
Ned McHenry,9,13,5,9.67,0.33,0.33,0.0,0,0,0,33,0
Elliott Himmelberg,4,11,10,10.33,1.0,0.67,0.33,0,0,0,67,33
Harry Schoenberg,11,21,13,16.33,0.67,0.33,0.33,67,33,0,67,0
Izak Rankine,10,30,11,21.67,2.33,0.33,1.0,67,67,33,100,67
Jake Soligo,10,28,24,26.67,0.0,0.0,2.67,100,100,67,0,0
James Borlase,4,14,10,12.0,0.0,0.0,1.0,0,0,0,0,0
Jordan Dawson,10,29,24,26.67,0.0,0.33,1.67,100,100,67,0,0
Jordon Butts,7,16,10,13.0,0.0,0.0,0.67,33,0,0,0,0
Josh Rachele,10,17,13,15.0,1.33,0.67,0.67,67,0,0,100,33
Josh Worrell,9,22,12,17.33,0.0,0.0,1.33,67,33,0,0,0
Lachlan Gollant,3,7,3,5.0,0.33,0.0,0.33,0,0,0,33,0
Lachlan Murphy,4,14,4,9.0,0.33,0.0,0.0,0,0,0,33,0
Lachlan Sholl,7,19,11,15.33,1.0,0.33,0.0,67,0,0,100,0
Luke Nankervis,7,20,8,14.67,0.0,0.0,0.67,67,33,0,0,0
Luke Pedlar,4,10,1,5.0,0.33,0.33,0.0,0,0,0,33,0
Mark Keane,9,20,12,16.33,0.0,0.0,1.33,67,33,0,0,0
Matt Crouch,9,34,28,30.0,0.0,0.0,1.0,100,100,100,0,0
Max Michalanney,10,15,8,12.67,0.0,0.0,0.67,67,0,0,0,0
Mitchell Hinge,10,26,18,23.0,0.33,0.0,1.0,100,67,67,33,0
Nick Murray,17,16,9,12.33,0.0,0.33,0.33,33,0,0,0,0
Patrick Parnell,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Reilly O'Brien,10,15,14,14.33,0.0,0.0,0.67,33,0,0,0,0
Riley Thilthorpe,21,9,3,6.33,0.33,0.33,0.0,0,0,0,33,0
Rory Laird,10,28,22,25.67,0.0,0.33,2.0,100,100,67,0,0
Rory Sloane,22,13,9,11.33,0.0,0.33,1.33,0,0,0,0,0
Sam Berry,5,9,7,8.33,0.33,0.0,1.0,0,0,0,33,0
Taylor Walker,9,15,7,10.67,1.67,1.33,0.33,33,0,0,100,67
Wayne Milera,3,19,13,15.33,0.0,0.0,0.33,33,0,0,0,0
Will Hamill,4,14,7,10.33,0.0,0.0,0.33,0,0,0,0,0
