Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,7,31,13,21.33,0.0,0.0,1.0,67,67,33,0,0
Andrew Gaff,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Bailey J. Williams,10,17,8,12.0,0.33,0.0,0.67,33,0,0,33,0
Brady Hough,10,25,9,16.33,0.0,0.0,0.0,67,33,33,0,0
Callum Jamieson,4,12,11,11.33,0.0,0.0,1.67,0,0,0,0,0
Campbell Chesser,10,14,12,12.67,0.33,0.67,0.67,0,0,0,33,0
Dom Sheed,5,17,14,15.67,0.0,0.0,1.0,67,0,0,0,0
Elijah Hewett,14,20,12,17.0,0.0,0.33,0.33,67,33,0,0,0
Elliot Yeo,8,26,13,19.33,1.0,0.67,1.33,67,33,33,100,0
Harley Reid,9,21,14,17.33,0.67,0.33,1.67,67,33,0,33,33
Harry Barnett,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Harry Edwards,1,9,9,9.0,0.0,0.0,1.0,0,0,0,0,0
Harvey Johnston,2,8,4,6.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,10,13,7,10.33,1.67,0.33,0.67,0,0,0,67,67
Jack Petruccelle,9,14,2,9.33,0.33,0.33,1.0,0,0,0,33,0
Jack Williams,8,15,8,10.67,1.33,0.33,0.33,33,0,0,67,33
Jai Culley,5,10,1,5.33,1.67,0.33,1.0,0,0,0,67,33
Jake Waterman,9,17,11,14.33,4.0,0.67,0.0,67,0,0,100,100
Jamaine Jones,3,14,11,12.67,0.0,0.0,0.0,0,0,0,0,0
Jamie Cripps,10,22,17,19.67,0.33,1.33,0.0,100,67,0,33,0
Jayden Hunt,9,12,10,11.0,0.33,0.0,0.33,0,0,0,33,0
Jeremy McGovern,10,23,16,18.33,0.0,0.0,0.67,100,33,0,0,0
Josh Rotham,7,11,8,9.67,0.0,0.0,1.0,0,0,0,0,0
Liam Duggan,10,29,26,27.33,0.0,0.0,0.67,100,100,100,0,0
Liam Ryan,4,12,7,10.0,1.0,0.67,0.33,0,0,0,67,33
Loch Rawlinson,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Luke Edwards,9,17,6,11.33,0.33,0.33,0.0,33,0,0,33,0
Matt Flynn,9,16,8,13.33,0.0,0.33,1.67,67,0,0,0,0
Noah Long,7,13,8,10.0,0.33,0.33,0.67,0,0,0,33,0
Oscar Allen,1,9,9,9.0,0.0,3.0,1.0,0,0,0,0,0
Reuben Ginbey,10,21,16,18.67,0.33,0.0,0.0,100,33,0,33,0
Rhett Bazzo,11,13,4,8.33,0.0,0.0,0.67,0,0,0,0,0
Ryan Maric,8,12,8,10.0,1.0,0.33,0.67,0,0,0,100,0
Tim Kelly,10,30,19,26.0,0.0,0.67,1.67,100,67,67,0,0
Tom Barrass,9,22,15,18.33,0.0,0.0,1.0,100,33,0,0,0
Tom Cole,10,21,12,15.33,0.0,0.0,2.33,33,33,0,0,0
Tyler Brockman,6,12,4,8.67,0.0,0.33,0.33,0,0,0,0,0
Tyrell Dewar,2,9,2,5.5,0.5,0.5,0.0,0,0,0,50,0
Zane Trew,4,11,7,9.0,0.33,0.0,0.0,0,0,0,33,0
