Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,6,24,21,22.0,0.33,0.67,0.67,100,100,0,33,0
Adam Saad,5,25,6,16.33,0.0,0.0,1.0,67,33,33,0,0
Alex Cincotta,3,10,4,8.0,0.0,0.0,0.0,0,0,0,0,0
Blake Acres,10,32,18,24.33,0.0,0.33,1.33,100,67,33,0,0
Brodie Kemp,8,19,14,15.67,0.0,0.0,1.0,33,0,0,0,0
Caleb Marchbank,2,11,8,9.5,0.0,0.0,1.0,0,0,0,0,0
Charlie Curnow,10,16,11,13.67,2.0,1.0,0.67,33,0,0,100,100
Corey Durdin,9,7,3,5.67,0.0,0.0,0.33,0,0,0,0,0
David Cuningham,3,14,12,12.67,0.33,0.67,0.67,0,0,0,33,0
Elijah Hollands,8,22,12,16.67,0.0,0.0,0.67,67,33,0,0,0
George Hewett,10,30,8,19.33,0.67,0.0,0.67,67,67,33,67,0
Harry McKay,10,14,9,12.0,2.0,1.0,1.67,0,0,0,100,33
Jack Carroll,8,9,7,8.33,0.33,0.33,0.0,0,0,0,33,0
Jack Martin,1,6,6,6.0,1.0,0.0,1.0,0,0,0,100,0
Jacob Weitering,8,17,5,10.67,0.0,0.0,0.0,33,0,0,0,0
Jaxon Binns,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jordan Boyd,10,19,13,15.67,0.0,0.0,1.33,67,0,0,0,0
Lachlan Cowan,4,12,4,9.0,0.0,0.0,0.33,0,0,0,0,0
Lachie Fogarty,4,17,11,13.33,0.0,0.0,0.67,33,0,0,0,0
Lewis Young,5,13,7,10.67,0.0,0.0,0.67,0,0,0,0,0
Marc Pittonet,6,20,14,16.33,0.33,0.67,1.67,67,33,0,33,0
Matthew Cottrell,9,16,9,11.33,0.67,0.0,0.33,33,0,0,67,0
Matthew Owies,10,11,10,10.67,2.33,0.0,0.67,0,0,0,100,67
Matthew Kennedy,10,21,4,13.67,0.33,0.0,1.0,67,33,0,33,0
Mitch McGovern,7,19,15,17.0,0.33,0.0,1.0,100,0,0,33,0
Nic Newman,10,32,19,27.67,0.0,0.0,1.33,100,67,67,0,0
Oliver Hollands,9,21,7,13.33,0.0,0.0,0.33,33,33,0,0,0
Orazio Fantasia,8,8,5,6.33,0.0,0.67,0.67,0,0,0,0,0
Patrick Cripps,10,35,22,27.0,0.33,0.33,2.0,100,100,33,33,0
Sam Docherty,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Walsh,6,34,20,29.0,0.67,0.67,1.0,100,100,67,67,0
Tom De Koning,10,18,6,11.67,1.0,0.33,0.0,33,0,0,67,33
Zac Williams,9,17,11,14.0,0.33,0.33,0.67,33,0,0,33,0
