Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,6,25,15,21.33,0.5,0.33,0.67,100,83,17,50,0
Adam Saad,5,25,6,17.6,0.0,0.0,0.8,80,40,20,0,0
Alex Cincotta,3,10,4,8.0,0.0,0.0,0.0,0,0,0,0,0
Blake Acres,10,32,17,22.9,0.4,0.6,0.7,100,80,30,30,10
Brodie Kemp,8,21,11,16.12,0.0,0.12,0.75,62,12,0,0,0
Caleb Marchbank,2,11,8,9.5,0.0,0.0,1.0,0,0,0,0,0
Charlie Curnow,10,16,11,13.3,2.9,1.8,1.0,20,0,0,100,100
Corey Durdin,9,11,2,6.22,0.56,0.44,0.22,0,0,0,33,22
David Cuningham,3,14,12,12.67,0.33,0.67,0.67,0,0,0,33,0
Elijah Hollands,8,22,8,15.5,0.75,0.12,1.0,50,25,0,50,25
George Hewett,10,31,8,22.6,0.3,0.0,0.9,90,80,40,30,0
Harry McKay,10,19,9,14.0,2.4,1.2,1.6,20,0,0,90,70
Jack Carroll,8,20,4,11.88,0.38,0.25,0.38,38,25,0,38,0
Jack Martin,1,6,6,6.0,1.0,0.0,1.0,0,0,0,100,0
Jacob Weitering,8,21,5,14.25,0.0,0.12,0.62,62,12,0,0,0
Jaxon Binns,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jordan Boyd,10,19,12,15.2,0.1,0.1,0.7,60,0,0,10,0
Lachlan Cowan,4,14,4,10.25,0.0,0.25,0.25,0,0,0,0,0
Lachie Fogarty,4,17,11,13.25,0.25,0.0,1.0,25,0,0,25,0
Lewis Young,5,17,7,12.8,0.0,0.0,0.8,40,0,0,0,0
Marc Pittonet,6,20,8,15.5,0.33,0.33,2.0,67,17,0,33,0
Matthew Cottrell,9,16,8,11.33,0.89,0.33,0.56,11,0,0,78,11
Matthew Owies,10,12,3,8.4,1.5,0.5,0.7,0,0,0,80,40
Matthew Kennedy,10,27,4,16.7,0.7,0.2,0.9,60,50,10,60,10
Mitch McGovern,7,26,15,17.86,0.14,0.14,0.86,100,14,14,14,0
Nic Newman,10,32,16,22.4,0.0,0.0,1.1,100,60,30,0,0
Oliver Hollands,9,21,7,12.22,0.22,0.11,1.0,22,11,0,22,0
Orazio Fantasia,8,11,5,7.38,0.25,0.5,0.5,0,0,0,25,0
Patrick Cripps,10,39,20,27.3,0.7,0.2,2.3,100,100,50,60,10
Sam Docherty,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Walsh,6,35,20,31.17,0.33,0.67,1.17,100,100,83,33,0
Tom De Koning,10,18,6,13.1,0.7,0.8,1.0,40,0,0,40,20
Zac Williams,9,23,9,15.33,0.11,0.22,0.67,67,11,0,11,0
