Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,2,17,12,14.5,0.0,0.5,1.5,50,0,0,0,0
Alex Sexton,5,32,14,22.33,0.33,0.0,0.67,67,67,33,33,0
Bailey Humphrey,8,16,10,12.67,2.0,2.0,1.0,33,0,0,67,33
Ben Ainsworth,10,19,17,18.33,1.33,0.33,1.33,100,0,0,100,33
Ben King,10,11,7,9.0,3.33,0.67,1.67,0,0,0,100,100
Ben Long,4,14,3,10.0,1.67,0.33,0.67,0,0,0,100,67
Bodhi Uwland,8,20,6,14.67,0.0,0.0,0.0,67,33,0,0,0
Brandon Ellis,3,15,8,11.67,0.0,0.67,0.33,33,0,0,0,0
Brayden Fiorini,9,23,14,17.0,0.33,0.0,0.67,33,33,0,33,0
Charlie Ballard,10,12,10,11.33,0.0,0.0,0.67,0,0,0,0,0
Connor Budarick,3,21,7,15.33,0.0,0.0,0.67,67,33,0,0,0
Darcy Macpherson,2,2,1,1.5,0.0,0.0,0.0,0,0,0,0,0
David Swallow,9,19,2,10.33,0.67,0.0,0.0,33,0,0,33,33
Ethan Read ,4,5,4,4.33,0.67,0.0,0.67,0,0,0,33,33
Jack Lukosius,10,16,13,14.0,1.67,1.33,0.67,33,0,0,33,33
Jake Rogers,4,22,6,14.0,0.67,0.0,0.33,33,33,0,67,0
Jarrod Witts,8,18,6,11.33,0.67,0.0,3.0,33,0,0,67,0
Jed Walter,7,11,5,8.0,1.67,2.0,0.67,0,0,0,100,67
Joel Jeffrey,2,21,20,20.5,0.5,0.0,0.0,100,100,0,50,0
Levi Casboult,3,10,8,9.0,0.0,0.33,1.0,0,0,0,0,0
Lloyd Johnston,2,14,8,11.0,0.5,0.5,1.0,0,0,0,50,0
Mac Andrew,7,22,8,13.33,0.0,0.0,1.67,33,33,0,0,0
Malcolm Rosas,4,11,3,6.33,1.67,0.67,1.0,0,0,0,100,67
Matt Rowell,10,35,16,23.33,0.33,0.0,1.33,100,33,33,33,0
Ned Moyle,2,16,14,15.0,0.5,0.0,1.0,50,0,0,50,0
Nick Holman,9,11,6,8.0,0.0,0.67,0.0,0,0,0,0,0
Noah Anderson,10,42,22,29.0,1.0,0.33,1.0,100,100,33,67,33
Rory Atkins,3,20,8,12.33,0.0,0.33,0.0,33,33,0,0,0
Sam Clohesy,7,23,15,18.33,0.67,0.0,0.0,100,33,0,33,33
Sam Day,2,7,7,7.0,2.0,1.0,0.5,0,0,0,100,50
Sam Flanders,10,37,29,32.0,0.0,0.33,3.0,100,100,100,0,0
Sam Collins,10,14,9,12.0,0.0,0.0,1.0,0,0,0,0,0
Thomas Berry,10,20,10,13.67,0.0,0.67,1.33,33,33,0,0,0
Touk Miller,10,32,25,28.67,0.33,1.0,2.33,100,100,100,33,0
Wil Powell,8,21,17,18.33,0.0,0.33,1.33,100,33,0,0,0
Will Graham,5,12,9,10.67,0.33,0.0,1.33,0,0,0,33,0
