Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,2,17,12,14.5,0.0,0.5,1.5,50,0,0,0,0
Alex Sexton,5,32,14,21.0,0.2,0.2,0.6,80,60,20,20,0
Bailey Humphrey,8,16,7,12.25,1.0,1.38,1.0,38,0,0,50,12
Ben Ainsworth,10,22,8,16.3,1.0,0.4,0.6,70,20,0,70,30
Ben King,10,11,3,7.8,2.9,1.0,1.3,0,0,0,90,90
Ben Long,4,14,3,8.5,1.25,0.75,0.5,0,0,0,75,50
Bodhi Uwland,8,20,6,12.12,0.0,0.0,0.38,38,12,0,0,0
Brandon Ellis,3,15,8,11.67,0.0,0.67,0.33,33,0,0,0,0
Brayden Fiorini,9,27,14,19.89,0.56,0.33,0.33,78,56,11,44,11
Charlie Ballard,10,19,10,12.1,0.0,0.0,0.7,10,0,0,0,0
Connor Budarick,3,21,7,15.33,0.0,0.0,0.67,67,33,0,0,0
Darcy Macpherson,2,2,1,1.5,0.0,0.0,0.0,0,0,0,0,0
David Swallow,9,19,2,9.78,0.67,0.0,0.33,22,0,0,33,22
Ethan Read ,4,5,4,4.5,0.75,0.25,0.5,0,0,0,50,25
Jack Lukosius,10,22,9,15.1,0.9,0.7,0.6,50,20,0,30,20
Jake Rogers,4,22,6,12.25,0.5,0.0,0.25,25,25,0,50,0
Jarrod Witts,8,19,6,13.38,0.25,0.25,2.25,38,0,0,25,0
Jed Walter,7,11,4,6.86,1.29,1.29,1.29,0,0,0,86,43
Joel Jeffrey,2,21,20,20.5,0.5,0.0,0.0,100,100,0,50,0
Levi Casboult,3,10,8,9.0,0.0,0.33,1.0,0,0,0,0,0
Lloyd Johnston,2,14,8,11.0,0.5,0.5,1.0,0,0,0,50,0
Mac Andrew,7,24,8,16.29,0.0,0.14,1.29,57,29,0,0,0
Malcolm Rosas,4,13,3,8.0,2.0,1.0,1.0,0,0,0,100,75
Matt Rowell,10,35,16,24.7,0.6,0.1,3.0,100,80,50,50,10
Ned Moyle,2,16,14,15.0,0.5,0.0,1.0,50,0,0,50,0
Nick Holman,9,13,6,8.89,0.44,0.78,0.11,0,0,0,33,11
Noah Anderson,10,42,18,29.2,0.9,0.5,1.3,100,90,70,70,20
Rory Atkins,3,20,8,12.33,0.0,0.33,0.0,33,33,0,0,0
Sam Clohesy,7,23,14,17.86,0.86,0.0,0.14,86,29,0,57,29
Sam Day,2,7,7,7.0,2.0,1.0,0.5,0,0,0,100,50
Sam Flanders,10,37,22,30.2,0.1,0.1,1.2,100,100,90,10,0
Sam Collins,10,16,9,12.9,0.0,0.0,0.7,20,0,0,0,0
Thomas Berry,10,22,6,12.9,0.2,0.5,1.6,40,20,0,20,0
Touk Miller,10,32,23,27.4,0.2,0.4,1.5,100,100,80,20,0
Wil Powell,8,28,13,18.88,0.0,0.12,1.0,75,50,12,0,0
Will Graham,5,17,9,12.6,0.2,0.0,2.0,20,0,0,20,0
