Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Hall,3,30,21,24.33,0.0,0.0,0.33,100,100,33,0,0
Aidan Corr,8,18,14,16.33,0.0,0.0,1.0,67,0,0,0,0
Aiden Bonar,2,15,9,12.0,0.0,0.0,0.0,50,0,0,0,0
Bailey Scott,10,33,16,23.0,0.33,0.0,0.0,100,67,33,33,0
Ben Cunnington,8,27,7,20.33,0.33,0.0,0.67,67,67,67,33,0
Ben McKay,6,15,10,11.67,0.0,0.0,0.67,33,0,0,0,0
Blake Drury,3,13,6,8.67,0.0,0.33,0.67,0,0,0,0,0
Callum Coleman Jones,2,16,3,9.5,1.0,0.0,1.0,50,0,0,50,50
Cameron Zurhaar,9,20,15,17.67,1.67,1.67,2.0,100,33,0,67,67
Charlie Comben,7,10,1,6.67,0.67,1.67,0.67,0,0,0,33,33
Charlie Lazzaro,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Curtis Taylor,9,15,11,12.33,0.0,0.33,1.33,33,0,0,0,0
Daniel Howe,7,13,9,11.0,0.0,0.0,0.33,0,0,0,0,0
Darcy Tucker,7,18,3,12.67,0.0,0.67,0.33,67,0,0,0,0
Eddie Ford,1,21,21,21.0,1.0,0.0,1.0,100,100,0,100,0
Flynn Perez,2,16,7,11.5,0.0,0.0,0.5,50,0,0,0,0
George Wardlaw,1,16,16,16.0,0.0,0.0,2.0,100,0,0,0,0
Griffin Logue,9,12,9,10.67,0.33,0.33,0.67,0,0,0,33,0
Harry Sheezel,10,30,22,25.67,0.67,0.67,0.0,100,100,67,33,33
Hugh Greenwood,7,23,10,16.67,0.0,0.0,0.33,67,33,0,0,0
Jack Mahony,2,16,9,12.5,0.0,0.0,0.0,50,0,0,0,0
Jack Ziebell,10,36,21,28.0,0.0,0.0,1.0,100,100,67,0,0
Jaidyn Stephenson,10,14,5,10.33,1.33,0.33,0.0,0,0,0,100,33
Josh Goater,3,15,9,13.0,0.0,0.33,0.67,67,0,0,0,0
Jy Simpkin,8,28,14,22.67,0.67,0.0,2.67,67,67,67,33,33
Kayne Turner,7,10,5,6.67,0.0,0.33,0.0,0,0,0,0,0
Liam Shiels,10,28,12,19.0,0.0,0.0,1.33,67,33,33,0,0
Luke Davies Uniacke,7,29,20,24.67,0.0,0.33,1.0,100,100,67,0,0
Luke McDonald,10,20,17,18.67,0.0,0.0,0.33,100,33,0,0,0
Miller Bergman,6,16,10,12.33,0.0,0.0,0.33,33,0,0,0,0
Nick Larkey,10,14,7,10.0,3.0,1.0,0.67,0,0,0,100,100
Paul Curtis,9,17,5,10.0,0.67,0.33,0.0,33,0,0,67,0
Phoenix Spicer,2,10,7,8.5,0.0,0.5,0.0,0,0,0,0,0
Todd Goldstein,9,24,16,19.0,0.33,0.0,2.33,100,33,0,33,0
Tom Powell,8,15,12,13.0,0.33,0.0,0.0,33,0,0,33,0
Tristan Xerri,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Will Phillips,6,19,8,14.33,0.33,0.0,0.33,67,0,0,33,0
