Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,2,3,2,2.5,0.0,0.5,1.0,0,0,0,0,0
Beau McCreery,8,13,7,9.25,0.75,1.0,0.88,0,0,0,62,12
Billy Frampton,8,15,7,11.38,0.0,0.12,0.88,38,0,0,0,0
Brayden Maynard,10,24,12,18.3,0.2,0.1,1.0,90,50,0,20,0
Brody Mihocek,8,15,7,10.62,1.75,1.25,1.38,12,0,0,62,62
Charlie Dean,2,12,9,10.5,0.0,0.0,1.0,0,0,0,0,0
Darcy Cameron,10,24,4,15.8,0.4,0.2,1.3,70,20,0,30,10
Darcy Moore,10,23,6,13.9,0.0,0.0,0.4,50,10,0,0,0
Finlay Macrae,5,17,3,9.2,0.6,0.0,0.8,20,0,0,20,20
Harvey Harrison,4,13,1,7.25,0.5,0.25,0.0,0,0,0,50,0
Bobby Hill,10,15,8,10.3,1.3,1.2,0.5,10,0,0,80,40
Isaac Quaynor,10,18,8,13.5,0.0,0.0,0.6,50,0,0,0,0
Jack Crisp,10,32,11,19.5,0.4,0.3,0.6,80,40,20,40,0
Jamie Elliott,8,16,11,13.5,1.75,0.88,0.75,25,0,0,88,50
Jeremy Howe,8,18,1,13.0,0.12,0.12,0.62,38,0,0,12,0
Joe Richards,2,18,12,15.0,1.0,1.0,0.5,50,0,0,100,0
John Noble,8,29,8,21.0,0.12,0.12,0.75,88,62,25,12,0
Jordan De Goey,8,31,13,22.38,0.5,0.75,1.12,88,75,38,38,12
Josh Daicos,10,30,16,24.1,0.3,0.2,1.3,100,80,50,30,0
Lachie Schultz,9,16,9,11.33,1.11,1.0,0.67,11,0,0,78,33
Mason Cox,10,12,5,7.9,0.3,0.5,2.0,0,0,0,20,10
Nick Daicos,10,41,22,31.5,0.7,0.4,0.8,100,100,90,60,10
Oleg Markov,6,16,6,9.67,0.0,0.0,0.17,17,0,0,0,0
Patrick Lipinski,10,26,12,18.5,0.9,0.3,0.5,80,30,10,50,20
Reef McInnes,6,12,2,6.67,1.83,0.33,0.5,0,0,0,100,50
Scott Pendlebury,10,30,6,21.2,0.4,0.1,1.4,90,70,30,30,10
Steele Sidebottom,9,21,7,15.22,0.0,0.22,0.67,67,22,0,0,0
Tom Mitchell,6,30,9,20.0,0.17,0.17,1.83,83,50,17,17,0
Will Hoskin-Elliott,9,21,3,13.0,0.67,0.78,0.56,33,11,0,56,11
