Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,9,17,8,12.56,1.11,0.56,0.89,44,0,0,56,33
Brandan Parfitt,4,13,5,10.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,10,14,5,10.4,0.0,0.0,0.8,0,0,0,0,0
Gary Rohan,6,11,5,7.67,1.33,0.67,0.5,0,0,0,100,33
Gryan Miers,10,25,10,17.9,0.1,0.7,0.9,80,30,10,10,0
Isaac Smith,10,27,18,21.7,0.6,0.6,0.4,100,70,10,50,10
Jack Bowes,6,22,3,15.17,0.33,0.5,0.5,50,33,0,33,0
Jack Henry,1,10,10,10.0,2.0,0.0,0.0,0,0,0,100,100
Jake Kolodjashnij,7,17,7,12.43,0.0,0.29,0.43,43,0,0,0,0
Jed Bews,8,14,2,10.0,0.0,0.0,0.0,0,0,0,0,0
Jeremy Cameron,10,25,10,17.9,3.4,1.4,1.0,90,40,10,90,80
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,4,14,12,13.0,0.0,0.0,1.0,0,0,0,0,0
Mark Blicavs,10,18,9,15.4,0.7,0.4,1.2,80,0,0,60,10
Max Holmes,10,26,13,19.4,0.5,0.1,1.0,90,50,10,50,0
Mitch Duncan,6,31,14,20.33,0.17,0.17,0.67,83,50,33,17,0
Mitchell Knevitt,5,16,3,12.4,0.2,0.4,0.4,60,0,0,20,0
Oliver Henry,9,17,7,11.78,1.67,1.11,1.11,33,0,0,89,78
Oliver Dempsey,3,11,3,6.67,0.0,1.0,0.33,0,0,0,0,0
Patrick Dangerfield,8,31,16,23.5,0.5,0.5,1.5,100,75,38,50,0
Rhys Stanley,4,16,9,12.75,0.0,0.0,1.75,50,0,0,0,0
Sam De Koning,6,14,7,10.67,0.0,0.0,0.33,0,0,0,0,0
Sam Simpson,5,14,6,10.6,1.4,0.6,0.4,0,0,0,80,60
Tanner Bruhn,7,19,10,14.43,0.71,0.0,0.43,43,0,0,57,14
Tom Stewart,9,29,3,21.11,0.0,0.0,0.78,89,78,22,0,0
Tom Atkins,10,24,12,17.0,0.2,0.1,1.5,70,30,0,20,0
Tom Hawkins,10,16,5,11.4,2.9,1.2,0.5,20,0,0,90,70
Tyson Stengle,6,17,6,10.83,1.17,0.17,0.33,17,0,0,67,50
Zach Guthrie,10,19,11,14.0,0.0,0.0,0.7,30,0,0,0,0
Zach Tuohy,9,21,11,16.22,0.44,0.33,0.67,67,11,0,33,11
