Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,10,15,11,12.6,2.4,2.2,1.0,20,0,0,100,60
Adam Treloar,7,35,23,28.4,0.4,0.2,0.6,100,100,60,20,20
Alex Keath,8,18,2,9.6,0.0,0.0,0.2,20,0,0,0,0
Anthony Scott,10,13,8,10.4,1.6,0.6,0.8,0,0,0,100,40
Arthur Jones,8,14,6,10.6,0.8,1.0,0.8,0,0,0,60,20
Bailey Dale,10,36,15,24.0,0.0,0.0,0.4,100,60,60,0,0
Bailey Smith,8,37,24,29.4,0.2,0.4,0.2,100,100,60,20,0
Bailey Williams,10,24,16,21.4,1.0,0.6,1.0,100,80,0,60,20
Caleb Daniel,10,30,20,24.4,0.6,0.2,1.0,100,100,40,60,0
Cody Weightman,6,14,3,8.8,0.6,1.0,1.0,0,0,0,60,0
Ed Richards,10,25,16,19.4,0.0,0.2,0.0,100,40,20,0,0
Hayden Crozier,3,22,5,12.33,0.0,0.33,1.33,33,33,0,0,0
Jack Macrae,10,29,23,26.6,0.4,0.0,1.0,100,100,80,20,20
Jamarra Ugle Hagan,10,16,9,11.4,0.8,1.4,1.2,20,0,0,60,20
Jason Johannisen,9,26,12,20.4,0.6,0.2,0.0,80,60,20,60,0
Josh Bruce,5,17,8,12.8,0.0,0.0,0.8,20,0,0,0,0
Lachlan McNeil,5,10,0,4.8,0.2,0.4,0.4,0,0,0,20,0
Liam Jones,10,10,8,9.6,0.0,0.0,0.2,0,0,0,0,0
Marcus Bontempelli,10,32,19,27.4,0.8,0.6,1.0,100,80,80,60,20
Mitch Hannan,3,8,5,6.33,0.67,0.67,1.0,0,0,0,67,0
Oskar Baker,10,20,15,17.0,0.0,0.6,0.4,100,40,0,0,0
Rhylee West,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Riley Garcia,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0
Robbie McComb,3,8,2,4.33,0.33,0.0,0.33,0,0,0,33,0
Rory Lobb,9,12,7,8.6,1.6,0.6,1.4,0,0,0,100,60
Ryan Gardner,3,12,4,8.33,0.33,0.0,0.33,0,0,0,33,0
Sam Darcy,2,6,2,4.0,0.0,0.5,0.0,0,0,0,0,0
Taylor Duryea,8,14,10,12.2,0.0,0.2,1.2,0,0,0,0,0
Tom Liberatore,9,33,25,28.0,0.6,0.6,0.6,100,100,100,60,0
Tim English,10,23,11,18.2,0.4,0.2,1.8,80,60,0,40,0
