Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,10,23,16,20.33,1.67,0.67,2.0,100,67,0,33,33
Calsher Dear,3,9,6,7.67,1.0,0.67,1.33,0,0,0,67,33
Cam Mackenzie,10,16,8,12.0,0.67,0.0,0.67,33,0,0,33,33
Chad Wingard,14,26,0,17.33,0.67,0.0,1.0,67,67,67,33,33
Changkuoth Jiath,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Connor Macdonald,10,15,14,14.33,1.33,1.0,0.67,33,0,0,67,33
Conor Nash,10,18,15,16.67,0.0,0.0,1.67,100,0,0,0,0
Denver Grainger-Barras,7,9,0,5.67,0.67,0.33,0.67,0,0,0,67,0
Dylan Moore,10,24,14,18.0,1.0,0.33,1.33,67,33,0,67,33
Finn Maginness,8,20,10,14.67,0.0,0.67,0.33,33,33,0,0,0
Harry Morrison,4,26,11,17.0,0.33,0.0,0.33,33,33,33,33,0
Henry Hustwaite,4,12,2,6.0,0.0,0.0,0.67,0,0,0,0,0
Jack Ginnivan,10,20,13,16.0,1.0,1.0,0.67,67,33,0,100,0
Jack Gunston,6,12,5,8.0,0.67,2.33,0.0,0,0,0,33,33
Jack Scrimshaw,9,21,16,18.0,0.0,0.0,0.67,100,33,0,0,0
Jai Newcombe,10,31,21,25.0,0.33,0.67,0.67,100,100,33,33,0
Jai Serong,4,14,2,7.67,0.0,0.0,0.33,0,0,0,0,0
James Blanck,15,7,5,5.67,0.0,0.0,1.0,0,0,0,0,0
James Sicily,8,24,19,21.0,0.33,0.0,2.0,100,67,0,33,0
James Worpel,10,19,14,17.0,0.0,0.0,0.67,67,0,0,0,0
Jarman Impey,10,27,12,20.33,0.0,0.33,0.33,67,67,33,0,0
Josh Ward,6,17,7,11.0,0.33,0.0,0.33,33,0,0,33,0
Josh Weddle,10,15,8,12.33,0.33,0.0,0.33,33,0,0,33,0
Karl Amon,10,31,15,24.0,0.0,0.0,0.33,100,67,67,0,0
Lloyd Meek,8,18,12,15.33,0.67,0.0,1.67,67,0,0,67,0
Luke Breust,5,11,5,7.33,0.33,0.33,0.67,0,0,0,33,0
Mabior Chol,8,11,9,10.0,1.67,1.33,1.0,0,0,0,100,67
Massimo D'Ambrosio,9,28,17,20.67,0.0,0.0,0.67,100,33,33,0,0
Max Ramsden,3,9,2,5.67,0.33,0.0,1.0,0,0,0,33,0
Mitch Lewis,3,10,7,8.33,1.0,0.67,0.0,0,0,0,100,0
Ned Reeves,2,10,8,9.0,0.0,0.0,1.0,0,0,0,0,0
Nick Watson,6,11,3,8.0,0.67,1.33,0.0,0,0,0,33,33
Sam Butler,2,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0
Sam Frost,10,13,9,10.67,0.0,0.0,0.67,0,0,0,0,0
Seamus Mitchell,6,11,6,9.0,0.0,0.0,0.0,0,0,0,0,0
Will Day,4,27,12,20.33,0.33,0.0,1.67,67,67,33,33,0
