Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,10,12,7,9.0,0.0,0.0,1.2,0,0,0,0,0
Andrew Brayshaw,10,34,23,30.2,1.0,0.0,1.2,100,100,80,60,40
Bailey Banfield,9,20,8,13.8,0.8,1.2,0.4,40,20,0,60,20
Brandon Walker,7,14,8,10.6,0.0,0.0,0.6,0,0,0,0,0
Brennan Cox,10,23,14,16.8,0.0,0.0,0.0,60,20,0,0,0
Caleb Serong,10,35,24,29.4,0.2,0.6,2.4,100,100,80,20,0
Corey Wagner,2,18,12,15.0,0.0,0.0,0.0,50,0,0,0,0
Ethan Hughes,10,17,9,13.6,0.2,0.0,0.2,60,0,0,20,0
Hayden Young,10,33,22,25.4,0.0,0.2,1.6,100,100,40,0,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0
James Aish,10,23,11,17.2,0.2,0.2,0.8,60,40,0,20,0
Jordan Clark,10,20,15,18.0,0.2,0.0,0.0,100,40,0,20,0
Josh Corbett,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Josh Treacy,4,14,3,6.75,1.25,0.25,1.0,0,0,0,100,25
Jye Amiss,9,10,2,7.4,2.0,0.4,0.2,0,0,0,100,60
Lachie Schultz,10,20,10,14.0,1.4,0.8,1.0,40,20,0,80,20
Liam Henry,4,21,11,15.75,0.25,0.5,0.5,50,25,0,25,0
Luke Jackson,10,24,9,15.4,1.4,1.2,0.8,60,20,0,80,40
Luke Ryan,10,30,18,23.2,0.0,0.0,0.0,100,60,40,0,0
Matt Taberner,4,11,7,9.0,0.75,0.0,0.25,0,0,0,50,25
Michael Walters,9,14,11,12.4,1.2,0.2,0.6,0,0,0,80,20
Nat Fyfe,4,17,6,10.5,0.25,0.5,0.75,25,0,0,25,0
Nathan Wilson,4,21,10,15.25,0.0,0.0,0.5,50,25,0,0,0
Neil Erasmus,3,16,4,11.67,0.0,0.0,0.67,67,0,0,0,0
Sam Sturt,3,7,6,6.67,0.67,1.0,0.33,0,0,0,33,33
Sam Switkowski,9,14,1,10.0,1.0,0.4,1.6,0,0,0,80,20
Sean Darcy,10,18,8,13.4,0.4,0.2,1.4,40,0,0,40,0
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
