Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Alex Neal-Bullen,10,23,16,20.67,0.33,0.33,2.33,100,67,0,33,0
Bailey Laurie,3,8,1,4.67,0.67,0.0,0.33,0,0,0,33,33
Bayley Fritsch,10,12,7,9.33,2.33,0.67,0.67,0,0,0,100,67
Ben Brown,6,5,3,4.0,0.67,0.33,0.0,0,0,0,67,0
Blake Howes,10,14,9,12.0,0.0,0.0,0.67,0,0,0,0,0
Caleb Windsor,10,19,13,16.67,1.0,0.67,1.33,67,0,0,100,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,10,21,20,20.67,2.0,1.33,0.33,100,100,0,67,33
Christian Salem,7,25,2,14.33,0.0,0.0,0.0,67,33,33,0,0
Clayton Oliver,10,31,26,27.67,0.0,0.0,2.67,100,100,100,0,0
Daniel Turner,3,13,5,7.67,1.33,0.33,0.33,0,0,0,67,33
Ed Langdon,9,24,21,23.0,0.33,0.67,0.33,100,100,0,33,0
Harrison Petty,8,13,5,8.67,0.33,1.0,0.67,0,0,0,33,0
Jack Billings,10,20,12,15.67,0.0,0.33,1.0,67,33,0,0,0
Jack Viney,10,21,19,19.67,0.0,0.0,1.33,100,33,0,0,0
Jacob van Rooyen,9,13,7,10.33,0.67,0.67,2.0,0,0,0,67,0
Jake Bowey,3,15,14,14.33,0.0,0.0,0.67,33,0,0,0,0
Jake Lever,10,24,1,12.67,0.0,0.0,0.33,33,33,0,0,0
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,10,21,13,16.0,0.0,0.33,0.33,33,33,0,0,0
Kade Chandler,10,13,6,9.33,0.67,0.33,0.33,0,0,0,67,0
Koltyn Tholstrup,1,7,7,7.0,0.0,1.0,0.0,0,0,0,0,0
Kysaiah Pickett,8,19,9,14.0,1.33,1.0,0.33,33,0,0,100,33
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,10,20,16,17.67,0.67,0.67,1.67,100,33,0,67,0
Shane McAdam,1,11,11,11.0,1.0,1.0,1.0,0,0,0,100,0
Steven May,9,25,8,17.0,0.0,0.0,0.0,67,33,33,0,0
Taj Woewodin,8,12,9,10.33,0.0,0.0,0.33,0,0,0,0,0
Tom McDonald,9,15,12,13.33,0.0,0.0,0.33,33,0,0,0,0
Tom Sparrow,10,22,12,16.67,0.0,0.33,1.33,67,33,0,0,0
Trent Rivers,10,20,14,17.33,0.0,0.0,0.0,67,33,0,0,0
