Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,5,9,0,5.0,0.2,0.0,0.2,0,0,0,20,0
Anthony Caminiti,6,10,6,8.0,1.4,0.8,0.2,0,0,0,100,40
Ben Paton,2,14,4,9.0,0.0,0.0,1.0,0,0,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,10,31,14,22.2,0.6,0.2,0.4,80,60,40,40,20
Callum Wilkie,10,21,13,16.6,0.0,0.0,0.8,60,40,0,0,0
Cooper Sharman,8,17,3,8.0,0.4,0.6,0.6,20,0,0,40,0
Dan Butler,4,10,1,5.25,0.25,0.0,0.75,0,0,0,25,0
Darcy Wilson,10,21,15,19.2,0.8,1.0,1.2,100,60,0,40,20
Dougal Howard,4,19,10,13.25,0.0,0.0,0.25,25,0,0,0,0
Hugo Garcia,5,14,6,9.8,0.2,0.2,0.2,0,0,0,20,0
Hunter Clark,19,20,5,15.0,0.0,0.0,0.4,60,20,0,0,0
Jack Hayes,2,17,2,9.5,1.0,0.5,2.5,50,0,0,50,50
Jack Higgins,7,15,11,13.0,1.8,1.2,0.8,20,0,0,80,80
Jack Sinclair,9,33,18,25.4,0.6,0.6,0.6,100,60,60,40,20
Jack Steele,10,30,15,22.6,0.0,0.0,0.4,100,60,40,0,0
Jimmy Webster,3,18,12,15.67,0.0,0.0,1.33,67,0,0,0,0
Josh Battle,10,22,11,16.4,0.4,0.2,0.2,60,40,0,20,20
Lance Collard,2,4,0,2.0,0.0,0.0,0.5,0,0,0,0,0
Liam Henry,4,19,4,11.75,0.75,1.0,0.5,25,0,0,50,25
Liam Stocker,9,12,10,11.4,0.0,0.0,0.8,0,0,0,0,0
Marcus Windhager,9,29,17,22.0,0.0,0.4,1.4,100,60,40,0,0
Mason Wood,5,22,3,16.2,0.2,0.2,0.2,80,60,0,20,0
Mattaes Phillipou,9,11,4,7.8,0.4,0.4,0.4,0,0,0,40,0
Max King,7,14,4,8.6,0.8,1.0,1.8,0,0,0,60,20
Mitch Owens,10,11,8,9.6,1.6,0.6,1.0,0,0,0,80,60
Nasiah Wanganeen-Milera,10,30,18,26.4,0.0,0.0,0.6,100,80,80,0,0
Paddy Dow,1,15,15,15.0,1.0,0.0,3.0,100,0,0,100,0
Riley Bonner,10,30,22,24.8,0.0,0.2,0.0,100,100,40,0,0
Rowan Marshall,10,31,11,20.0,0.2,0.2,1.4,60,40,40,20,0
Ryan Byrnes,8,20,4,14.2,0.0,0.0,0.8,40,20,0,0,0
Sebastian Ross,9,23,14,18.0,0.2,0.2,0.0,60,40,0,20,0
Tim Membrey,9,12,9,10.6,1.6,0.6,0.2,0,0,0,100,40
Zaine Cordy,7,15,4,9.4,0.2,0.0,0.4,20,0,0,20,0
Zak Jones,5,16,6,11.0,0.2,0.0,0.2,40,0,0,20,0
