Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Blake Hardwick,10,27,10,19.2,0.2,0.0,0.5,80,50,10,10,10
Cam Mackenzie,8,22,5,15.25,0.38,0.5,0.25,62,25,0,25,12
Chad Wingard,7,17,3,11.0,0.29,0.71,1.0,29,0,0,29,0
Changkuoth Jiath,8,21,11,17.0,0.12,0.0,0.75,88,25,0,12,0
Connor Macdonald,8,20,12,15.12,0.38,0.88,0.75,62,12,0,38,0
Conor Nash,10,31,10,23.3,0.1,0.3,0.5,80,70,60,10,0
Denver Grainger Barras,2,9,3,6.0,0.0,0.0,0.5,0,0,0,0,0
Dylan Moore,10,26,15,20.3,0.5,0.8,1.1,100,50,10,40,10
Fergus Greene,8,10,4,7.88,1.38,0.75,0.5,0,0,0,62,50
Finn Maginness,4,12,10,10.75,0.0,0.25,0.25,0,0,0,0,0
Harry Morrison,7,24,16,19.29,0.0,0.29,0.43,100,29,0,0,0
Jack Scrimshaw,5,25,7,13.2,0.6,0.0,0.4,40,20,20,60,0
Jacob Koschitzke,4,11,4,7.5,0.5,1.0,1.25,0,0,0,25,25
Jaeger O'Meara,10,27,17,20.8,0.5,0.1,0.9,100,40,30,30,20
Jai Newcombe,10,31,15,23.2,0.7,0.5,1.5,100,80,40,60,10
James Blanck,4,10,1,6.0,0.0,0.0,0.5,0,0,0,0,0
James Sicily,10,30,14,24.8,0.2,0.2,0.5,90,90,70,20,0
James Worpel,10,35,15,24.3,0.5,0.3,1.3,100,80,60,50,0
Jarman Impey,10,24,14,18.6,0.0,0.1,0.8,80,40,0,0,0
Josh Ward,7,27,15,21.43,0.0,0.43,0.71,100,71,29,0,0
Josh Weddle,4,28,8,15.75,0.75,0.0,0.0,50,25,25,50,25
Karl Amon,10,25,18,21.2,0.5,0.1,0.3,100,70,10,40,10
Lachlan Bramble,6,24,7,15.67,0.17,0.0,0.5,50,33,0,17,0
Lloyd Meek,8,18,8,11.25,0.25,0.25,1.0,12,0,0,25,0
Luke Breust,9,16,7,10.67,1.67,1.11,1.11,11,0,0,78,44
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Mitch Lewis,4,24,6,14.25,2.5,1.75,0.75,50,25,0,100,50
Ned Long,2,10,9,9.5,0.5,0.5,0.0,0,0,0,50,0
Ned Reeves,9,15,3,7.33,0.11,0.11,0.67,11,0,0,11,0
Sam Frost,10,20,6,14.8,0.0,0.0,0.3,50,10,0,0,0
Seamus Mitchell,6,27,11,17.17,0.0,0.17,0.33,67,17,17,0,0
Tyler Brockman,7,16,5,11.0,1.14,0.43,0.29,29,0,0,57,43
Will Day,8,30,22,26.0,0.25,0.12,1.12,100,100,62,25,0
