Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,10,39,18,27.0,0.3,0.4,2.0,100,90,60,30,0
Adam Saad,9,29,16,22.11,0.0,0.0,0.33,100,67,33,0,0
Alex Cincotta,4,24,9,17.5,0.0,0.25,0.5,75,50,0,0,0
Blake Acres,9,36,16,25.22,0.22,0.11,0.67,100,78,56,22,0
Brodie Kemp,2,22,14,18.0,0.5,0.0,0.0,50,50,0,50,0
Charlie Curnow,10,18,9,13.5,3.6,2.1,1.7,50,0,0,100,90
Corey Durdin,9,11,7,8.78,1.11,0.67,0.44,0,0,0,89,22
Ed Curnow,10,26,2,15.4,0.2,0.4,0.2,60,30,10,20,0
George Hewett,9,32,11,21.89,0.11,0.0,0.78,89,67,44,11,0
Harry McKay,10,17,6,11.5,1.4,1.3,1.4,30,0,0,80,40
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jack Martin,1,6,6,6.0,0.0,1.0,1.0,0,0,0,0,0
Jack Silvagni,10,19,5,13.8,0.8,0.9,0.9,40,0,0,50,20
Jacob Weitering,10,22,8,14.7,0.0,0.0,0.9,50,20,0,0,0
Jesse Motlop,9,17,5,9.67,0.89,0.11,1.22,11,0,0,56,33
Jordan Boyd,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Josh Honey,5,10,5,8.0,0.4,0.6,0.2,0,0,0,40,0
Lachie Cowan,6,12,7,9.83,0.0,0.0,0.83,0,0,0,0,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Lewis Young,10,22,11,14.9,0.0,0.0,0.7,50,20,0,0,0
Marc Pittonet,9,13,1,10.0,0.0,0.0,1.22,0,0,0,0,0
Matthew Cottrell,2,16,11,13.5,0.0,0.5,1.5,50,0,0,0,0
Matthew Owies,5,13,4,8.6,2.2,0.4,0.8,0,0,0,100,80
Matthew Kennedy,8,27,7,19.25,0.25,0.38,0.38,75,62,25,25,0
Mitch McGovern,9,27,8,15.44,0.0,0.0,0.56,56,33,11,0,0
Nic Newman,10,34,14,22.3,0.1,0.1,1.0,90,60,20,10,0
Oliver Hollands,10,22,10,14.9,0.2,0.2,1.1,40,30,0,20,0
Patrick Cripps,10,42,17,27.8,0.1,0.8,1.6,100,80,80,10,0
Sam Docherty,8,39,19,27.12,0.38,0.0,1.0,100,88,62,38,0
Sam Walsh,6,38,25,29.83,0.33,0.17,0.5,100,100,100,33,0
Tom De Koning,5,13,9,11.2,0.2,0.4,1.4,0,0,0,20,0
Zac Fisher,7,28,7,18.29,0.29,0.57,0.29,71,43,14,29,0
