Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,5,15,7,9.0,0.0,0.6,0.8,20,0,0,0,0
Angus Sheldrick,2,3,2,2.5,0.0,0.0,0.0,0,0,0,0,0
Braeden Campbell,10,20,8,14.5,0.3,0.0,0.7,50,10,0,30,0
Callum Mills,9,31,1,20.33,0.44,0.0,0.44,78,67,33,33,11
Chad Warner,10,31,15,25.2,0.5,0.9,1.0,100,70,70,40,10
Corey Warner,1,8,8,8.0,1.0,0.0,0.0,0,0,0,100,0
Dane Rampe,4,25,15,19.0,0.0,0.0,0.25,100,25,25,0,0
Dylan Stephens,8,27,7,14.38,0.38,0.25,0.88,38,12,12,38,0
Errol Gulden,10,39,15,25.5,0.6,0.8,2.1,100,80,50,50,10
Harry Cunningham,10,16,3,10.8,0.2,0.1,0.6,10,0,0,10,10
Hayden McLean,8,19,6,11.62,0.75,0.5,0.5,12,0,0,62,12
Isaac Heeney,10,20,10,15.2,1.0,0.8,0.8,60,10,0,70,30
Jake Lloyd,10,28,19,23.3,0.2,0.1,0.4,100,80,30,20,0
James Rowbottom,10,23,12,15.9,0.3,0.2,1.4,60,10,0,30,0
Joel Amartey,4,16,4,9.0,1.5,1.5,1.0,25,0,0,50,50
Justin McInerney,9,23,8,15.56,0.44,0.22,0.44,56,22,0,44,0
Lachlan McAndrew,1,9,9,9.0,0.0,1.0,1.0,0,0,0,0,0
Lance Franklin,7,13,4,9.57,1.43,1.14,1.43,0,0,0,57,57
Logan McDonald,9,13,3,9.22,1.78,0.56,0.89,0,0,0,89,44
Luke Parker,10,34,15,24.9,0.3,0.2,1.5,100,80,60,30,0
Marc Sheather,3,5,2,3.67,0.33,0.0,0.33,0,0,0,33,0
Matt Roberts,5,14,3,6.4,0.0,0.2,0.4,0,0,0,0,0
Nick Blakey,10,30,12,20.3,0.2,0.1,1.0,90,40,10,20,0
Oliver Florent,10,33,10,20.7,0.2,0.0,0.6,80,50,30,20,0
Peter Ladhams,9,24,6,15.22,0.44,0.11,1.44,56,22,0,33,11
Robbie Fox,6,28,15,19.5,0.17,0.0,1.5,100,33,17,17,0
Ryan Clarke,5,14,8,11.4,0.4,0.2,0.4,0,0,0,40,0
Tom Hickey,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Tom McCartin,6,16,5,11.67,0.0,0.0,0.33,17,0,0,0,0
Tom Papley,10,25,8,13.4,1.9,1.4,1.2,30,10,10,90,50
Will Gould,4,9,3,6.5,0.0,0.0,0.5,0,0,0,0,0
Will Hayward,10,19,8,11.7,1.1,1.1,0.5,20,0,0,70,30
