Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,9,28,20,24.67,0.0,0.0,0.33,100,100,67,0,0
Andrew Gaff,10,17,10,13.67,0.0,0.0,0.0,33,0,0,0,0
Bailey J. Williams,10,13,6,10.33,0.33,0.0,0.67,0,0,0,33,0
Brady Hough,4,13,6,10.0,0.0,0.0,1.0,0,0,0,0,0
Callum Jamieson,3,14,3,7.33,0.0,0.0,0.67,0,0,0,0,0
Campbell Chesser,4,12,6,9.33,0.0,0.67,0.0,0,0,0,0,0
Connor West,7,14,10,12.0,0.67,0.33,1.67,0,0,0,67,0
Dom Sheed,6,30,21,26.67,0.67,0.33,2.0,100,100,67,33,33
Elijah Hewett,3,14,3,8.33,0.0,0.67,0.0,0,0,0,0,0
Elliot Yeo,2,12,12,12.0,0.0,0.0,1.0,0,0,0,0,0
Greg Clark,7,13,9,11.67,0.33,0.0,0.33,0,0,0,33,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,9,8,4,6.33,0.33,1.0,0.67,0,0,0,33,0
Jack Petruccelle,7,13,11,11.67,0.67,0.33,1.67,0,0,0,67,0
Jai Culley,5,10,1,5.33,1.67,0.33,1.0,0,0,0,67,33
Jake Waterman,9,19,6,12.67,0.0,0.67,1.0,33,0,0,0,0
Jamaine Jones,10,30,4,15.33,0.33,0.67,1.0,33,33,33,33,0
Jamie Cripps,3,17,6,11.67,1.33,1.67,0.33,33,0,0,67,33
Jayden Hunt,10,19,14,16.33,0.0,0.33,0.0,67,0,0,0,0
Jeremy McGovern,3,22,10,17.67,0.0,0.0,1.0,67,67,0,0,0
Josh Rotham,7,13,13,13.0,0.0,0.0,1.33,0,0,0,0,0
Liam Duggan,10,32,14,24.33,0.0,0.0,0.67,67,67,67,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,6,15,10,12.0,0.0,0.0,0.67,33,0,0,0,0
Luke Foley,5,15,11,13.33,0.0,0.0,0.67,33,0,0,0,0
Luke Shuey,4,20,9,15.33,0.0,0.33,2.67,67,33,0,0,0
Noah Long,6,13,7,10.33,0.33,0.33,0.0,0,0,0,33,0
Oscar Allen,10,15,6,9.67,2.33,0.0,0.33,33,0,0,100,67
Reuben Ginbey,10,16,10,12.67,0.0,0.0,0.67,33,0,0,0,0
Rhett Bazzo,3,6,3,4.67,0.0,0.0,0.67,0,0,0,0,0
Sam Petrevski Seton,6,11,4,8.0,0.33,0.0,0.33,0,0,0,33,0
Shannon Hurn,6,22,12,17.67,0.0,0.0,0.33,67,33,0,0,0
Tim Kelly,10,29,26,27.0,0.33,0.33,1.0,100,100,100,33,0
Tom Barrass,9,11,4,8.0,0.0,0.0,0.67,0,0,0,0,0
Tom Cole,4,19,11,14.67,0.0,0.0,0.33,33,0,0,0,0
Zane Trew,2,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
