Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,2,3,2,2.5,0.0,0.5,1.0,0,0,0,0,0
Beau McCreery,9,14,7,9.4,0.4,0.8,0.6,0,0,0,40,0
Billy Frampton,9,15,7,10.2,0.0,0.4,0.6,20,0,0,0,0
Brayden Maynard,11,21,12,17.4,0.2,0.2,0.8,80,40,0,20,0
Brody Mihocek,9,15,8,10.6,2.0,1.4,1.2,20,0,0,80,80
Charlie Dean,3,12,8,9.67,0.0,0.0,1.33,0,0,0,0,0
Darcy Cameron,11,24,12,17.6,0.0,0.2,1.0,80,40,0,0,0
Darcy Moore,11,23,13,16.4,0.0,0.0,0.0,60,20,0,0,0
Edward Allan,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Finlay Macrae,5,17,3,9.2,0.6,0.0,0.8,20,0,0,20,20
Harvey Harrison,5,13,1,8.4,1.0,0.2,0.4,0,0,0,60,20
Bobby Hill,11,11,8,9.6,1.0,1.4,0.8,0,0,0,80,20
Isaac Quaynor,11,16,8,12.4,0.0,0.0,0.2,40,0,0,0,0
Jack Crisp,11,32,11,21.8,0.6,0.6,1.0,80,60,40,60,0
Jamie Elliott,8,16,11,13.4,1.8,0.6,0.8,20,0,0,100,40
Jeremy Howe,8,18,1,12.2,0.2,0.0,0.8,40,0,0,20,0
Joe Richards,3,22,12,17.33,1.0,0.67,0.67,67,33,0,100,0
John Noble,9,29,19,23.2,0.2,0.2,0.6,100,80,40,20,0
Jordan De Goey,8,31,18,25.0,0.6,1.2,1.4,100,80,60,40,20
Josh Daicos,11,30,16,24.4,0.6,0.4,1.6,100,80,60,60,0
Lachie Schultz,10,15,10,11.6,1.0,1.0,0.8,20,0,0,80,20
Mason Cox,11,7,4,5.6,0.2,0.6,2.4,0,0,0,20,0
Nick Daicos,11,41,27,34.2,0.8,0.6,1.2,100,100,100,60,20
Oleg Markov,6,12,6,8.4,0.0,0.0,0.2,0,0,0,0,0
Patrick Lipinski,11,24,13,19.0,0.8,0.2,0.4,80,40,0,80,0
Reef McInnes,6,9,2,5.6,1.6,0.4,0.4,0,0,0,100,40
Scott Pendlebury,11,30,22,25.2,0.6,0.2,1.2,100,100,40,40,20
Steele Sidebottom,10,21,7,14.4,0.0,0.0,0.2,60,20,0,0,0
Tom Mitchell,6,30,17,22.2,0.0,0.2,2.2,100,60,20,0,0
Will Hoskin-Elliott,9,21,3,11.6,1.0,1.0,0.8,40,20,0,80,20
