Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim English,17,07/07/2023,Magpies,Loss 77-89,17,0,0
2021,Tim English,1,19/03/2021,Magpies,Win 69-53,14,1,1
2023,Marcus Bontempelli,17,07/07/2023,Magpies,Loss 77-89,29,0,1
2022,Marcus Bontempelli,9,13/05/2022,Magpies,Win 99-51,26,1,2
2021,Marcus Bontempelli,1,19/03/2021,Magpies,Win 69-53,28,0,1
2023,Adam Treloar,17,07/07/2023,Magpies,Loss 77-89,26,0,0
2022,Adam Treloar,9,13/05/2022,Magpies,Win 99-51,35,3,1
2021,Adam Treloar,1,19/03/2021,Magpies,Win 69-53,18,0,0
2023,Tom Liberatore,17,07/07/2023,Magpies,Loss 77-89,28,0,0
2022,Tom Liberatore,9,13/05/2022,Magpies,Win 99-51,31,0,0
2021,Tom Liberatore,1,19/03/2021,Magpies,Win 69-53,28,0,1
2023,Jack Macrae,17,07/07/2023,Magpies,Loss 77-89,25,0,0
2022,Jack Macrae,9,13/05/2022,Magpies,Win 99-51,37,0,1
2021,Jack Macrae,1,19/03/2021,Magpies,Win 69-53,35,0,0
2023,Caleb Daniel,17,07/07/2023,Magpies,Loss 77-89,32,0,1
2022,Caleb Daniel,9,13/05/2022,Magpies,Win 99-51,34,0,0
2021,Caleb Daniel,1,19/03/2021,Magpies,Win 69-53,28,0,0
2023,Bailey Dale,17,07/07/2023,Magpies,Loss 77-89,25,0,0
2022,Bailey Dale,9,13/05/2022,Magpies,Win 99-51,29,0,0
2021,Bailey Dale,1,19/03/2021,Magpies,Win 69-53,16,0,0
2023,Bailey Smith,17,07/07/2023,Magpies,Loss 77-89,11,0,0
2022,Bailey Smith,9,13/05/2022,Magpies,Win 99-51,41,0,2
2021,Bailey Smith,1,19/03/2021,Magpies,Win 69-53,36,2,0
2023,Ed Richards,17,07/07/2023,Magpies,Loss 77-89,19,0,0
2022,Ed Richards,9,13/05/2022,Magpies,Win 99-51,20,0,0
2023,Bailey Williams,17,07/07/2023,Magpies,Loss 77-89,14,0,0
2022,Bailey Williams,9,13/05/2022,Magpies,Win 99-51,16,0,2
2021,Bailey Williams,1,19/03/2021,Magpies,Win 69-53,27,0,0
2023,Aaron Naughton,17,07/07/2023,Magpies,Loss 77-89,12,4,2
2022,Aaron Naughton,9,13/05/2022,Magpies,Win 99-51,16,3,2
2021,Aaron Naughton,1,19/03/2021,Magpies,Win 69-53,15,2,0
2022,Lachlan Bramble,12,05/06/2022,Magpies,Loss 68-72,24,0,0
2021,Lachlan Bramble,21,08/08/2021,Magpies,Win 97-78,25,0,0
2023,Jamarra Ugle-Hagan,17,07/07/2023,Magpies,Loss 77-89,16,2,3
2023,Rory Lobb,17,07/07/2023,Magpies,Loss 77-89,9,0,0
2022,Rory Lobb,Semi Final,10/09/2022,Magpies,Loss 59-79,12,0,2
2022,Rory Lobb,10,22/05/2022,Magpies,Loss 44-80,10,1,1
2021,Rory Lobb,15,26/06/2021,Magpies,Win 91-79,17,3,2
2023,Cody Weightman,17,07/07/2023,Magpies,Loss 77-89,17,4,2
2023,Caleb Poulter,17,07/07/2023,Magpies,Loss 77-89,16,1,0
2023,Laitham Vandermeer,17,07/07/2023,Magpies,Loss 77-89,14,0,0
2021,Laitham Vandermeer,1,19/03/2021,Magpies,Win 69-53,14,2,0
2023,Rhylee West,17,07/07/2023,Magpies,Loss 77-89,16,0,0
2022,Rhylee West,9,13/05/2022,Magpies,Win 99-51,16,0,0
2023,Alex Keath,17,07/07/2023,Magpies,Loss 77-89,13,0,0
2022,Alex Keath,9,13/05/2022,Magpies,Win 99-51,12,0,0
2021,Alex Keath,1,19/03/2021,Magpies,Win 69-53,18,0,0
2023,Taylor Duryea,17,07/07/2023,Magpies,Loss 77-89,14,0,0
2022,Taylor Duryea,9,13/05/2022,Magpies,Win 99-51,11,0,0
2021,Taylor Duryea,1,19/03/2021,Magpies,Win 69-53,22,0,0
2023,Anthony Scott,17,07/07/2023,Magpies,Loss 77-89,4,0,0
2022,Anthony Scott,9,13/05/2022,Magpies,Win 99-51,11,1,0
2021,Anthony Scott,1,19/03/2021,Magpies,Win 69-53,16,0,1
2022,James Harmes,13,13/06/2022,Magpies,Loss 56-82,16,0,0
2021,James Harmes,13,14/06/2021,Magpies,Loss 63-80,23,1,0
2022,Liam Jones,18,18/07/2022,Magpies,Win 91-62,9,0,0
2022,Liam Jones,2,25/03/2022,Magpies,Loss 85-106,7,0,0
2021,Liam Jones,18,18/07/2021,Magpies,Win 91-62,9,0,0
2021,Liam Jones,2,25/03/2021,Magpies,Loss 85-106,7,0,0
2023,Ryan Gardner,17,07/07/2023,Magpies,Loss 77-89,7,0,0
2022,Ryan Gardner,9,13/05/2022,Magpies,Win 99-51,10,0,0
2021,Ryan Gardner,1,19/03/2021,Magpies,Win 69-53,11,0,0
2023,James O'Donnell,17,07/07/2023,Magpies,Loss 77-89 ,5,0,0
2022,Luke Cleary,9,13/05/2022,Magpies,Win 99-51,13,0,0
2023,Lachlan McNeil,17,07/07/2023,Magpies,Loss 77-89,10,0,1
2022,Lachlan McNeil,9,13/05/2022,Magpies,Win 99-51,8,0,0
2021,Lachlan McNeil,1,19/03/2021,Magpies,Win 69-53,9,1,0
2022,Buku Khamis,9,13/05/2022,Magpies,Win 99-51,10,3,1
