Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,7,7,4,5.33,0.33,1.0,0.0,0,0,0,33,0
Adam Kennedy,5,6,3,5.0,0.0,0.0,0.33,0,0,0,0,0
Brent Daniels,10,24,16,19.67,1.67,0.33,1.33,100,33,0,67,67
Callan Ward,10,19,5,12.33,0.0,0.33,0.67,33,0,0,0,0
Cameron Fleeton,2,11,6,8.5,0.0,0.0,0.5,0,0,0,0,0
Connor Idun,11,19,16,17.67,0.0,0.0,1.0,100,0,0,0,0
Conor Stone,3,5,2,3.67,0.0,0.0,0.33,0,0,0,0,0
Cooper Hamilton,4,16,10,12.67,0.0,0.33,0.33,33,0,0,0,0
Daniel Lloyd,8,16,12,14.0,0.33,0.67,0.0,33,0,0,33,0
Finn Callaghan,11,22,18,20.0,0.33,0.33,0.0,100,67,0,33,0
Harry Himmelberg,10,17,8,14.0,0.33,0.0,0.33,67,0,0,33,0
Harry Perryman,7,19,16,18.0,0.0,0.33,0.33,100,0,0,0,0
Harry Rowston,6,7,6,6.33,0.0,0.33,0.0,0,0,0,0,0
Isaac Cumming,8,17,16,16.67,0.0,0.0,0.33,100,0,0,0,0
Jack Buckley,11,12,8,10.0,0.0,0.0,0.33,0,0,0,0,0
Jacob Wehr,2,12,3,7.5,0.0,0.0,0.5,0,0,0,0,0
Jake Riccardi,6,12,6,8.67,1.0,0.33,0.0,0,0,0,33,33
James Peatling,10,20,9,13.33,0.0,0.67,0.67,33,33,0,0,0
Jesse Hogan,11,19,11,14.67,1.67,1.33,1.67,33,0,0,67,67
Josh Fahey,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Josh Kelly,9,34,24,28.33,0.67,0.33,1.67,100,100,67,67,0
Kieren Briggs,2,17,16,16.5,1.0,0.5,0.5,100,0,0,100,0
Lachie Whitfield,10,32,29,30.67,0.0,0.0,0.67,100,100,100,0,0
Lachie Ash,11,32,20,26.0,0.33,0.0,0.67,100,100,67,33,0
Lachlan Keeffe,1,7,7,7.0,0.0,0.0,1.0,0,0,0,0,0
Matt Flynn,9,16,8,13.33,0.0,0.33,1.67,67,0,0,0,0
Nick Haynes,10,29,2,18.33,0.0,0.0,0.33,67,67,33,0,0
Ryan Angwin,6,12,8,10.33,0.0,0.0,0.0,0,0,0,0,0
Sam Taylor,6,20,7,14.0,0.0,0.0,1.0,67,33,0,0,0
Stephen Coniglio,11,33,26,28.33,0.33,1.0,0.33,100,100,100,33,0
Toby Bedford,5,14,9,10.67,0.67,0.0,1.0,0,0,0,67,0
Toby Greene,9,22,16,19.0,3.33,1.0,1.33,100,33,0,100,100
Tom Green,10,30,28,29.0,0.0,0.0,0.33,100,100,100,0,0
