Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,11,14,11,13.0,1.33,1.0,1.33,0,0,0,100,33
Brandan Parfitt,8,20,13,16.67,0.0,0.33,0.33,67,33,0,0,0
Cameron Guthrie,4,16,9,13.33,0.0,0.0,0.33,67,0,0,0,0
Connor O'Sullivan,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
Gary Rohan,3,12,4,7.67,1.0,0.0,0.0,0,0,0,67,33
Gryan Miers,11,29,16,22.0,1.0,0.33,0.67,100,67,33,67,33
Jack Bowes,8,21,5,15.33,0.0,0.33,0.33,67,67,0,0,0
Jack Henry,11,13,7,9.33,0.0,0.0,0.67,0,0,0,0,0
Jake Kolodjashnij,10,17,15,16.0,0.33,0.33,0.33,100,0,0,33,0
Jed Bews,15,15,6,10.33,0.0,0.0,0.33,33,0,0,0,0
Jeremy Cameron,10,18,15,16.67,0.67,1.67,0.33,100,0,0,67,0
Jhye Clark,10,15,5,10.33,0.33,0.33,0.33,33,0,0,33,0
Mark Blicavs,11,22,9,15.0,0.0,0.33,1.0,33,33,0,0,0
Mark O'Connor,9,14,6,10.67,0.0,0.0,0.33,0,0,0,0,0
Max Holmes,11,32,21,28.33,0.67,0.33,0.0,100,100,67,67,0
Mitch Duncan,9,22,16,19.67,0.0,0.67,0.0,100,67,0,0,0
Mitchell Knevitt,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Oisin Mullin,5,13,8,10.33,0.0,0.0,0.33,0,0,0,0,0
Oliver Henry,11,8,7,7.33,1.0,0.33,1.0,0,0,0,67,33
Oliver Dempsey,11,25,10,16.0,0.33,0.0,0.67,33,33,33,33,0
Patrick Dangerfield,4,23,16,19.67,0.33,0.33,0.33,100,67,0,33,0
Rhys Stanley,7,8,3,5.67,0.0,0.0,1.33,0,0,0,0,0
Sam De Koning,10,17,15,16.33,0.0,0.0,1.33,100,0,0,0,0
Shannon Neale,3,11,7,8.67,2.0,0.67,0.33,0,0,0,100,67
Shaun Mannagh,2,13,5,9.0,0.5,1.0,0.0,0,0,0,50,0
Tanner Bruhn,9,21,9,13.67,0.67,0.67,1.33,33,33,0,67,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,10,21,18,19.67,0.0,0.0,0.33,100,67,0,0,0
Toby Conway,4,21,9,14.33,0.0,0.0,2.0,33,33,0,0,0
Tom Atkins,10,20,16,18.0,0.0,0.67,1.33,100,33,0,0,0
Tom Hawkins,9,12,7,10.0,1.0,0.67,0.67,0,0,0,67,33
Tyson Stengle,11,16,10,13.0,3.0,1.0,0.67,33,0,0,100,100
Zach Guthrie,11,24,15,19.33,0.33,0.0,0.0,100,33,0,33,0
Zach Tuohy,8,24,13,17.0,0.67,1.0,0.0,33,33,0,67,0
