Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,6,19,10,13.5,0.0,0.33,0.83,33,0,0,0,0
Alex Sexton,5,8,3,4.4,0.6,0.6,0.2,0,0,0,60,0
Bailey Humphrey,8,26,1,13.38,0.75,0.75,0.75,50,25,12,62,12
Ben Ainsworth,9,24,10,15.78,0.89,0.78,0.67,56,11,0,67,22
Ben King,11,15,4,8.0,2.45,0.91,1.27,9,0,0,100,73
Ben Long,9,19,9,12.89,0.0,0.0,0.22,22,0,0,0,0
Bodhi Uwland,2,20,5,12.5,0.0,0.0,1.0,50,50,0,0,0
Brandon Ellis,6,25,11,16.5,0.33,0.5,0.33,50,33,17,33,0
Brayden Fiorini,9,24,8,16.0,0.33,0.44,0.78,56,44,0,33,0
Charlie Ballard,11,24,6,14.45,0.09,0.0,0.64,45,9,0,9,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0
Darcy Macpherson,11,31,14,22.09,0.0,0.09,0.64,91,64,27,0,0
David Swallow,11,25,14,18.55,0.64,0.27,0.73,91,45,9,36,18
Elijah Hollands,4,15,10,13.0,0.25,0.25,0.25,50,0,0,25,0
Hewago Paul Oea,3,13,10,11.33,0.0,0.33,0.67,0,0,0,0,0
Jack Lukosius,11,20,8,13.45,1.64,1.36,0.91,36,9,0,73,36
James Tsitas,2,4,2,3.0,1.0,0.0,0.0,0,0,0,50,50
Jarrod Witts,9,25,7,15.22,0.33,0.11,2.0,56,11,11,33,0
Joel Jeffrey,5,15,5,9.4,0.8,0.8,0.6,20,0,0,80,0
Jy Farrar,3,18,4,12.0,0.0,0.33,2.0,33,0,0,0,0
Lachie Weller,6,30,18,24.83,0.0,0.17,0.17,100,83,50,0,0
Levi Casboult,8,18,4,10.12,0.75,0.38,0.38,12,0,0,50,25
Mabior Chol,6,13,3,7.0,1.17,1.0,0.5,0,0,0,67,50
Mac Andrew,6,16,7,11.5,0.0,0.0,0.33,33,0,0,0,0
Malcolm Rosas,10,13,3,8.3,0.8,1.0,0.5,0,0,0,50,10
Matt Rowell,11,29,12,21.91,0.18,0.18,1.91,91,55,36,18,0
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,9,19,8,13.44,1.0,0.44,0.78,33,0,0,78,22
Noah Anderson,11,38,17,26.82,0.64,0.73,0.45,100,82,73,55,9
Rory Atkins,5,25,6,18.2,0.0,0.2,0.2,80,60,20,0,0
Sam Day,2,10,2,6.0,0.5,0.5,0.5,0,0,0,50,0
Sam Flanders,4,19,7,12.5,0.5,0.0,0.25,25,0,0,25,25
Sam Collins,11,17,8,12.64,0.0,0.0,0.64,27,0,0,0,0
Sean Lemmens,6,13,7,10.17,0.0,0.17,0.67,0,0,0,0,0
Thomas Berry,4,10,2,7.5,0.0,0.25,1.0,0,0,0,0,0
Touk Miller,6,32,13,25.17,0.0,0.0,1.5,83,83,67,0,0
Wil Powell,9,28,13,19.44,0.0,0.11,0.78,89,44,22,0,0
