Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,8,10,1,6.38,0.62,0.0,0.38,0,0,0,62,0
Andrew McGrath,11,33,16,24.27,0.09,0.0,0.91,100,82,36,9,0
Archie Perkins,8,24,12,19.0,0.62,0.25,1.12,88,62,0,50,12
Ben Hobbs,9,21,4,13.67,0.11,0.11,0.89,44,11,0,11,0
Ben McKay,11,18,8,12.91,0.0,0.0,0.55,36,0,0,0,0
Darcy Parish,7,36,16,24.14,0.29,0.43,0.29,100,86,43,29,0
Dylan Shiel,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Dyson Heppell,11,30,13,21.0,0.0,0.0,0.55,82,55,36,0,0
Elijah Tsatas,5,16,4,12.4,0.2,0.2,0.0,40,0,0,20,0
Harrison Jones,9,13,4,9.22,1.0,0.67,0.44,0,0,0,67,33
Jade Gresham,11,26,8,15.27,0.91,0.64,0.73,55,27,9,55,18
Jake Kelly,10,21,9,16.0,0.0,0.0,0.4,80,20,0,0,0
Jake Stringer,11,19,9,12.18,2.09,1.27,0.73,18,0,0,100,55
Jayden Laverde,10,21,10,14.3,0.0,0.0,0.7,40,10,0,0,0
Jordan Ridley,1,31,31,31.0,1.0,0.0,0.0,100,100,100,100,0
Jye Caldwell,11,26,13,20.36,0.18,0.27,1.09,91,64,18,18,0
Jye Menzie,5,10,4,6.2,0.2,0.6,0.4,0,0,0,20,0
Kaine Baldwin,4,14,0,8.75,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,11,16,7,11.82,2.55,1.27,0.91,9,0,0,91,82
Mason Redman,10,26,15,21.2,0.1,0.3,0.8,100,80,20,10,0
Matt Guelfi,5,14,9,11.0,1.6,1.2,0.8,0,0,0,60,60
Nate Caddy,1,10,10,10.0,0.0,2.0,3.0,0,0,0,0,0
Nic Martin,11,44,25,30.64,0.27,0.45,0.36,100,100,100,27,0
Nick Bryan,8,15,4,9.0,0.12,0.25,0.62,12,0,0,12,0
Nick Hind,9,25,5,11.22,0.33,0.33,0.67,22,22,11,22,11
Nik Cox,10,18,5,13.8,0.1,0.1,0.7,50,0,0,10,0
Peter Wright,7,19,8,11.0,1.71,0.57,1.14,29,0,0,71,71
Sam Draper,6,12,5,9.17,0.33,0.67,1.0,0,0,0,33,0
Sam Durham,10,25,11,19.9,0.3,0.3,1.2,80,60,30,30,0
Sam Weideman,16,14,3,9.12,0.94,0.94,0.81,0,0,0,38,38
Todd Goldstein,11,13,7,9.64,0.18,0.09,1.64,0,0,0,18,0
Will Setterfield,3,29,19,24.0,0.0,0.33,1.0,100,67,33,0,0
Xavier Duursma,8,26,12,18.88,0.5,0.0,0.88,75,62,12,38,12
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,11,36,21,29.09,0.73,0.45,1.45,100,100,82,45,18
