Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,11,20,7,12.82,0.09,0.0,1.0,36,9,0,9,0
Andrew Brayshaw,11,38,18,27.82,0.27,0.64,1.27,100,91,82,27,0
Bailey Banfield,11,22,12,14.91,1.27,0.64,1.0,36,9,0,82,27
Brandon Walker,10,19,9,13.1,0.1,0.0,1.1,30,0,0,10,0
Brennan Cox,1,4,4,4.0,1.0,0.0,0.0,0,0,0,100,0
Caleb Serong,11,46,25,32.27,0.0,0.36,1.45,100,100,100,0,0
Cooper Simpson,2,6,5,5.5,0.0,0.0,0.0,0,0,0,0,0
Corey Wagner,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Ethan Hughes,6,18,10,13.0,0.0,0.0,0.67,17,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,11,32,21,25.09,0.36,0.27,0.91,100,100,45,27,9
Heath Chapman,5,21,11,15.8,0.0,0.0,0.4,60,20,0,0,0
Jaeger O'Meara,10,20,4,13.2,0.3,0.6,0.3,50,10,0,20,10
James Aish,11,29,9,21.45,0.0,0.27,0.64,91,55,36,0,0
Jeremy Sharp,11,29,9,19.27,0.73,0.73,0.73,82,36,27,64,9
Jordan Clark,11,35,16,25.55,0.0,0.18,1.18,100,91,55,0,0
Josh Corbett,5,11,4,6.6,0.6,0.6,0.2,0,0,0,40,20
Joshua Draper,10,14,3,7.7,0.0,0.0,0.2,0,0,0,0,0
Josh Treacy,11,16,6,11.36,1.91,0.36,1.0,9,0,0,100,45
Jye Amiss,10,13,0,7.0,1.4,1.5,1.2,0,0,0,70,50
Karl Worner,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Luke Jackson,11,25,11,18.64,0.73,0.55,0.91,82,55,9,36,36
Luke Ryan,11,39,16,26.09,0.0,0.09,1.0,100,82,55,0,0
Matthew Johnson,11,25,11,17.0,0.27,0.45,0.64,55,45,9,27,0
Matt Taberner,4,10,3,6.75,1.5,0.5,0.5,0,0,0,100,50
Michael Walters,11,21,2,9.45,0.73,0.91,0.64,18,9,0,64,9
Michael Frederick,8,15,3,9.75,0.88,0.88,0.12,25,0,0,62,25
Nat Fyfe,11,37,8,21.64,0.18,0.36,0.73,91,64,27,18,0
Nathan O'Driscoll,10,20,5,13.5,0.1,0.2,0.7,40,20,0,10,0
Neil Erasmus,3,9,2,5.33,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,1,6,6,6.0,2.0,0.0,0.0,0,0,0,100,100
Sam Switkowski,8,16,8,12.0,0.5,0.62,1.12,12,0,0,50,0
Sean Darcy,4,13,10,11.75,0.75,0.0,2.25,0,0,0,50,25
Tom Emmett,11,11,5,8.18,0.36,0.27,0.82,0,0,0,27,9
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
