Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,6,24,21,22.0,0.33,0.67,0.67,100,100,0,33,0
Adam Saad,6,25,6,15.67,0.0,0.0,0.67,67,33,33,0,0
Alex Cincotta,4,10,4,7.0,0.0,0.0,0.0,0,0,0,0,0
Blake Acres,11,26,18,22.33,0.33,0.0,0.67,100,67,33,33,0
Brodie Kemp,9,19,14,17.33,0.0,0.0,0.67,67,0,0,0,0
Caleb Marchbank,2,11,8,9.5,0.0,0.0,1.0,0,0,0,0,0
Charlie Curnow,11,16,13,14.33,2.67,2.33,1.0,33,0,0,100,100
Corey Durdin,9,7,3,5.67,0.0,0.0,0.33,0,0,0,0,0
David Cuningham,3,14,12,12.67,0.33,0.67,0.67,0,0,0,33,0
Elijah Hollands,9,22,12,17.0,0.33,0.33,0.67,67,33,0,33,0
George Hewett,11,20,8,16.0,1.0,0.0,0.0,67,67,0,100,0
Harry McKay,11,15,9,12.67,1.0,1.0,1.0,33,0,0,100,0
Jack Carroll,9,9,2,6.0,0.33,0.33,0.0,0,0,0,33,0
Jack Martin,1,6,6,6.0,1.0,0.0,1.0,0,0,0,100,0
Jacob Weitering,9,18,5,13.33,0.0,0.0,0.33,67,0,0,0,0
Jaxon Binns,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jordan Boyd,11,19,13,15.33,0.0,0.33,0.67,33,0,0,0,0
Lachlan Cowan,5,19,4,11.67,0.0,0.0,0.0,33,0,0,0,0
Lachie Fogarty,5,17,12,15.0,0.0,0.33,0.0,67,0,0,0,0
Lewis Young,5,13,7,10.67,0.0,0.0,0.67,0,0,0,0,0
Marc Pittonet,6,20,14,16.33,0.33,0.67,1.67,67,33,0,33,0
Matthew Cottrell,9,16,9,11.33,0.67,0.0,0.33,33,0,0,67,0
Matthew Owies,11,11,11,11.0,1.67,0.0,0.33,0,0,0,100,33
Matthew Kennedy,11,22,16,19.67,0.67,0.33,1.0,100,67,0,67,0
Mitch McGovern,8,20,17,18.67,0.33,0.0,2.0,100,33,0,33,0
Nic Newman,11,32,19,24.33,0.0,0.0,0.33,100,67,33,0,0
Oliver Hollands,10,21,12,17.0,0.0,0.33,0.33,67,33,0,0,0
Orazio Fantasia,9,10,5,7.67,0.0,1.0,1.0,0,0,0,0,0
Patrick Cripps,11,35,24,30.0,0.67,0.33,2.33,100,100,67,67,0
Sam Docherty,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Walsh,7,34,20,28.67,0.67,0.33,0.67,100,100,67,67,0
Tom De Koning,11,25,6,14.0,0.33,0.0,0.33,33,33,33,33,0
Zac Williams,10,15,11,13.33,1.67,0.33,0.67,33,0,0,67,33
