Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Blake Hardwick,11,27,10,19.0,0.18,0.0,0.45,82,45,9,9,9
Cam Mackenzie,9,22,5,15.11,0.33,0.44,0.22,56,22,0,22,11
Chad Wingard,7,17,3,11.0,0.29,0.71,1.0,29,0,0,29,0
Changkuoth Jiath,8,21,11,17.0,0.12,0.0,0.75,88,25,0,12,0
Connor Macdonald,9,20,5,14.0,0.44,0.78,0.67,56,11,0,44,0
Conor Nash,11,31,10,23.64,0.09,0.36,0.55,82,73,64,9,0
Denver Grainger Barras,2,9,3,6.0,0.0,0.0,0.5,0,0,0,0,0
Dylan Moore,11,31,15,21.27,0.55,1.0,1.09,100,55,18,45,9
Fergus Greene,8,10,4,7.88,1.38,0.75,0.5,0,0,0,62,50
Finn Maginness,4,12,10,10.75,0.0,0.25,0.25,0,0,0,0,0
Harry Morrison,7,24,16,19.29,0.0,0.29,0.43,100,29,0,0,0
Jack Scrimshaw,5,25,7,13.2,0.6,0.0,0.4,40,20,20,60,0
Jacob Koschitzke,5,11,4,8.0,0.6,1.2,1.0,0,0,0,40,20
Jai Newcombe,11,31,15,23.91,0.64,0.55,1.64,100,82,45,55,9
James Blanck,5,10,1,5.6,0.0,0.0,0.4,0,0,0,0,0
James Sicily,11,43,14,26.45,0.18,0.27,0.64,91,91,73,18,0
James Worpel,11,35,15,24.27,0.45,0.27,1.27,100,82,55,45,0
Jarman Impey,11,26,14,19.27,0.09,0.18,0.82,82,45,9,9,0
Josh Ward,7,27,15,21.43,0.0,0.43,0.71,100,71,29,0,0
Josh Weddle,5,28,8,16.4,0.6,0.0,0.0,60,20,20,40,20
Karl Amon,11,25,18,21.36,0.45,0.18,0.27,100,73,9,36,9
Lachlan Bramble,7,24,7,16.71,0.14,0.0,0.43,57,43,0,14,0
Lloyd Meek,9,18,8,11.22,0.22,0.22,1.0,11,0,0,22,0
Luke Breust,10,16,7,10.7,1.8,1.2,1.0,10,0,0,80,50
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Mitch Lewis,5,24,6,13.4,2.6,1.8,0.6,40,20,0,100,60
Ned Long,2,10,9,9.5,0.5,0.5,0.0,0,0,0,50,0
Ned Reeves,10,15,3,7.3,0.1,0.1,0.8,10,0,0,10,0
Sam Frost,11,20,6,14.82,0.0,0.0,0.27,55,9,0,0,0
Seamus Mitchell,7,27,11,17.57,0.0,0.14,0.71,71,29,14,0,0
Tyler Brockman,8,16,5,10.62,1.12,0.38,0.25,25,0,0,62,38
Will Day,9,30,22,26.44,0.22,0.11,1.11,100,100,67,22,0
