Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,10,28,15,21.2,0.2,0.0,0.6,100,60,40,20,0
Andrew Gaff,11,17,10,14.8,0.0,0.2,0.2,60,0,0,0,0
Bailey J. Williams,11,13,6,11.2,0.2,0.2,1.4,0,0,0,20,0
Brady Hough,5,21,6,11.6,0.0,0.0,0.8,20,20,0,0,0
Callum Jamieson,3,14,3,7.33,0.0,0.0,0.67,0,0,0,0,0
Campbell Chesser,4,12,5,8.25,0.0,0.5,0.25,0,0,0,0,0
Connor West,8,14,10,12.4,0.4,0.6,1.8,0,0,0,40,0
Dom Sheed,7,30,17,23.8,0.6,0.4,1.4,100,80,40,40,20
Elijah Hewett,3,14,3,8.33,0.0,0.67,0.0,0,0,0,0,0
Elliot Yeo,3,24,12,16.0,0.0,0.0,0.67,33,33,0,0,0
Greg Clark,8,13,7,10.8,0.2,0.0,0.2,0,0,0,20,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,9,12,4,7.8,1.0,0.8,0.6,0,0,0,60,40
Jack Petruccelle,8,13,8,10.6,0.6,0.4,1.4,0,0,0,60,0
Jai Culley,5,14,1,8.4,1.0,0.4,0.6,0,0,0,40,20
Jake Waterman,10,19,6,12.2,0.2,0.8,1.0,20,0,0,20,0
Jamaine Jones,10,30,4,16.6,0.2,0.4,1.2,60,40,20,20,0
Jamie Cripps,3,17,6,11.67,1.33,1.67,0.33,33,0,0,67,33
Jayden Hunt,11,34,14,21.2,0.0,0.4,0.6,80,40,20,0,0
Jeremy McGovern,3,22,10,17.67,0.0,0.0,1.0,67,67,0,0,0
Josh Rotham,8,13,2,9.2,0.0,0.0,1.0,0,0,0,0,0
Liam Duggan,11,35,14,26.2,0.0,0.0,0.6,80,80,60,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,7,17,3,11.2,0.0,0.0,0.8,40,0,0,0,0
Luke Foley,6,15,9,12.2,0.0,0.0,0.8,20,0,0,0,0
Luke Shuey,4,27,9,18.25,0.25,0.5,2.25,75,50,25,25,0
Noah Long,7,18,7,11.2,0.2,0.4,0.2,20,0,0,20,0
Oscar Allen,11,15,6,10.0,2.6,0.2,0.6,20,0,0,100,80
Reuben Ginbey,11,19,10,13.4,0.0,0.0,0.6,40,0,0,0,0
Rhett Bazzo,4,13,3,6.75,0.0,0.0,0.5,0,0,0,0,0
Sam Petrevski Seton,6,22,4,11.2,0.4,0.0,0.8,20,20,0,40,0
Shannon Hurn,7,27,12,21.4,0.0,0.0,0.2,80,60,40,0,0
Tim Kelly,11,29,26,27.4,0.2,0.2,0.6,100,100,100,20,0
Tom Barrass,10,17,4,10.4,0.0,0.0,0.4,20,0,0,0,0
Tom Cole,4,20,11,16.0,0.0,0.0,0.25,50,25,0,0,0
Zane Trew,2,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
