Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,7,15,2,8.0,0.14,0.14,0.57,14,0,0,14,0
Daniel Rioli,12,29,17,23.0,0.08,0.25,0.83,100,92,33,8,0
Dion Prestia,11,29,11,21.0,0.45,0.18,0.64,91,82,9,27,9
Dustin Martin,11,27,13,20.27,1.18,1.0,0.55,82,45,18,73,27
Dylan Grimes,12,14,6,9.5,0.0,0.0,1.42,0,0,0,0,0
Hugo Ralphsmith,9,19,4,14.22,0.11,0.22,0.0,56,0,0,11,0
Ivan Soldo,1,11,11,11.0,1.0,1.0,2.0,0,0,0,100,0
Jack Graham,9,20,9,13.89,0.56,0.33,0.78,44,11,0,56,0
Jack Riewoldt,11,15,4,9.55,1.91,1.18,0.73,9,0,0,73,55
Jack Ross,8,26,4,17.38,0.12,0.0,0.5,75,38,12,12,0
Jacob Hopper,8,32,10,22.88,0.5,0.38,1.62,88,75,25,50,0
Jayden Short,9,32,17,23.56,0.11,0.33,0.89,100,78,33,11,0
Judson Clarke,10,20,2,9.0,0.9,0.1,0.5,20,10,0,80,10
Kamdyn McIntosh,12,19,9,15.08,0.08,0.33,0.42,58,0,0,8,0
Liam Baker,12,35,14,22.08,0.17,0.42,0.92,92,67,33,17,0
Marlion Pickett,12,23,7,15.08,0.33,0.25,0.92,58,17,0,25,8
Maurice Rioli,5,11,3,6.8,0.4,0.2,0.8,0,0,0,20,20
Nathan Broad,8,24,13,17.38,0.12,0.0,0.88,75,25,0,12,0
Nick Vlastuin,10,22,11,18.5,0.0,0.1,0.9,90,60,0,0,0
Noah Balta,12,20,8,14.33,0.0,0.0,0.58,50,8,0,0,0
Noah Cumberland,7,21,2,7.43,0.86,0.86,1.43,14,14,0,43,29
Rhyan Mansell,11,13,3,7.91,0.82,0.36,1.0,0,0,0,64,18
Samson Ryan,11,11,2,7.64,1.09,0.36,0.36,0,0,0,82,18
Shai Bolton,12,31,16,21.5,1.25,1.0,0.75,100,67,17,83,25
Tom J. Lynch,4,11,6,8.5,2.25,1.5,0.5,0,0,0,100,75
Thomson Dow,1,6,6,6.0,0.0,1.0,1.0,0,0,0,0,0
Tim Taranto,12,36,27,31.25,0.83,0.75,0.75,100,100,100,50,17
Toby Nankervis,7,22,14,17.71,0.0,0.0,1.29,86,29,0,0,0
Trent Cotchin,11,23,7,14.45,0.36,0.18,0.45,45,9,0,18,9
Tylar Young,8,14,5,9.25,0.0,0.0,0.38,0,0,0,0,0
Tyler Sonsie,3,15,4,11.33,0.0,0.0,0.33,67,0,0,0,0
