Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Starcevich,11,13,10,11.33,0.0,0.0,1.0,0,0,0,0,0
Callum Ah Chee,1,5,5,5.0,0.0,0.0,1.0,0,0,0,0,0
Cam Rayner,11,20,14,16.33,0.67,1.0,0.67,67,33,0,67,0
Charlie Cameron,11,9,7,8.0,2.0,0.67,0.67,0,0,0,67,67
Conor McKenna,11,15,14,14.33,0.0,0.33,0.33,33,0,0,0,0
Daniel Rich,6,27,20,23.67,0.33,0.0,0.33,100,100,33,33,0
Darcy Fort,3,13,9,11.33,0.33,0.67,0.67,0,0,0,33,0
Darcy Gardiner,1,8,8,8.0,0.0,0.0,2.0,0,0,0,0,0
Darcy Wilmot,11,22,12,16.67,0.0,0.33,2.0,67,33,0,0,0
Dayne Zorko,9,25,13,20.0,0.33,1.0,0.67,67,67,33,33,0
Deven Robertson,3,6,1,2.67,0.0,0.0,0.33,0,0,0,0,0
Eric Hipwood,11,14,3,8.67,1.0,1.33,0.33,0,0,0,67,33
Harris Andrews,11,19,5,12.67,0.0,0.0,1.0,33,0,0,0,0
Harry Sharp,3,17,10,13.33,0.67,0.0,0.67,33,0,0,67,0
Hugh McCluggage,11,30,16,24.0,0.67,1.33,0.67,100,67,67,67,0
Jack Gunston,10,17,5,9.67,0.33,0.67,0.67,33,0,0,33,0
Jack Payne,10,15,9,12.33,0.0,0.0,1.0,33,0,0,0,0
James Madden,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
James Tunstill,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,11,20,10,13.67,0.33,0.33,0.33,33,33,0,33,0
Jarryd Lyons,3,7,2,5.33,0.0,0.0,0.67,0,0,0,0,0
Jaxon Prior,2,12,2,7.0,0.5,0.0,0.5,0,0,0,50,0
Joe Daniher,11,16,8,13.33,4.0,1.33,0.33,67,0,0,100,100
Josh Dunkley,11,29,22,26.67,0.0,0.0,1.33,100,100,67,0,0
Keidean Coleman,10,20,13,17.0,0.0,0.0,0.0,67,33,0,0,0
Lachie Neale,11,35,26,31.67,0.0,0.0,2.33,100,100,100,0,0
Lincoln McCarthy,11,18,8,12.33,1.0,0.67,0.67,33,0,0,67,33
Noah Answerth,4,16,4,9.0,0.0,0.0,0.67,33,0,0,0,0
Oscar McInerney,11,13,12,12.67,0.33,1.0,0.67,0,0,0,33,0
Ryan Lester,5,19,10,13.33,0.0,0.0,1.0,33,0,0,0,0
Will Ashcroft,11,30,17,25.0,0.33,0.33,2.33,100,67,67,33,0
Zac Bailey,11,25,12,16.67,1.0,1.0,0.67,33,33,33,67,33
