Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Hall,5,30,15,23.0,0.0,0.0,0.4,100,80,40,0,0
Aidan Corr,8,18,6,13.2,0.0,0.0,0.6,40,0,0,0,0
Aiden Bonar,2,15,9,12.0,0.0,0.0,0.0,50,0,0,0,0
Bailey Scott,12,33,16,23.6,0.6,0.2,0.2,100,60,40,60,0
Ben Cunnington,8,27,7,18.6,0.2,0.0,0.4,60,60,40,20,0
Ben McKay,8,18,5,11.6,0.0,0.0,0.6,40,0,0,0,0
Blake Drury,3,13,6,8.67,0.0,0.33,0.67,0,0,0,0,0
Callum Coleman Jones,4,16,3,10.0,1.0,0.25,0.5,25,0,0,50,50
Cameron Zurhaar,11,20,12,16.0,2.0,1.6,2.0,80,20,0,80,60
Charlie Comben,7,11,1,7.2,0.6,1.2,0.6,0,0,0,40,20
Charlie Lazzaro,2,5,1,3.0,0.0,0.0,0.0,0,0,0,0,0
Curtis Taylor,9,17,11,13.0,0.4,0.4,1.2,40,0,0,40,0
Daniel Howe,8,23,9,15.0,0.2,0.2,0.4,40,20,0,20,0
Darcy Tucker,8,24,3,15.8,0.4,0.4,0.8,80,20,0,40,0
Eddie Ford,3,21,9,15.33,0.33,0.0,0.33,67,33,0,33,0
Flynn Perez,2,16,7,11.5,0.0,0.0,0.5,50,0,0,0,0
George Wardlaw,3,17,12,15.0,0.0,0.33,1.67,67,0,0,0,0
Griffin Logue,11,16,9,12.2,0.2,0.2,0.6,20,0,0,20,0
Harry Sheezel,12,30,21,23.8,0.4,0.6,0.2,100,100,40,20,20
Hugh Greenwood,9,25,10,17.0,0.0,0.0,0.4,60,40,20,0,0
Jack Mahony,2,16,9,12.5,0.0,0.0,0.0,50,0,0,0,0
Jack Ziebell,12,36,18,25.0,0.0,0.0,0.8,100,80,40,0,0
Jaidyn Stephenson,12,14,5,11.4,1.4,0.8,0.0,0,0,0,100,40
Josh Goater,3,15,9,13.0,0.0,0.33,0.67,67,0,0,0,0
Jy Simpkin,10,28,3,18.6,0.4,0.0,2.0,60,60,40,20,20
Kayne Turner,7,10,5,7.0,0.2,0.4,0.0,0,0,0,20,0
Liam Shiels,11,28,12,20.6,0.2,0.0,1.0,80,40,40,20,0
Luke Davies Uniacke,7,30,20,25.4,0.0,0.2,1.6,100,100,60,0,0
Luke McDonald,12,20,17,18.6,0.2,0.0,1.0,100,20,0,20,0
Miller Bergman,8,18,10,13.2,0.0,0.0,0.6,40,0,0,0,0
Nick Larkey,12,14,7,11.0,3.2,1.6,0.4,0,0,0,100,100
Paul Curtis,10,17,2,7.4,0.4,0.2,0.2,20,0,0,40,0
Phoenix Spicer,4,10,2,6.75,0.0,0.25,0.25,0,0,0,0,0
Tarryn Thomas,1,17,17,17.0,1.0,0.0,3.0,100,0,0,100,0
Todd Goldstein,11,24,11,16.6,0.4,0.0,1.8,80,20,0,40,0
Tom Powell,10,16,8,12.6,0.2,0.0,0.0,40,0,0,20,0
Tristan Xerri,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Will Phillips,8,29,8,19.8,0.4,0.0,0.2,80,40,40,40,0
