Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Noah Anderson,18,15/07/2023,Saints,Win 77-51,25,1,1
2023,Noah Anderson,4,08/04/2023,Saints,Loss 60-113,38,1,1
2022,Noah Anderson,5,16/04/2022,Saints,Loss 61-87,25,0,0
2021,Noah Anderson,8,08/05/2021,Saints,Loss 54-63,21,0,0
2023,Touk Miller,18,15/07/2023,Saints,Win 77-51,25,0,1
2023,Touk Miller,4,08/04/2023,Saints,Loss 60-113,32,0,0
2022,Touk Miller,5,16/04/2022,Saints,Loss 61-87,32,0,0
2021,Touk Miller,8,08/05/2021,Saints,Loss 54-63,33,0,0
2023,Matt Rowell,18,15/07/2023,Saints,Win 77-51,22,0,0
2023,Matt Rowell,4,08/04/2023,Saints,Loss 60-113,12,0,0
2022,Matt Rowell,5,16/04/2022,Saints,Loss 61-87,18,0,0
2023,Jarrod Witts,18,15/07/2023,Saints,Win 77-51,15,0,0
2022,Jarrod Witts,5,16/04/2022,Saints,Loss 61-87,9,0,0
2023,Sam Flanders,18,15/07/2023,Saints,Win 77-51,33,0,1
2021,Sam Flanders,8,08/05/2021,Saints,Loss 54-63,14,0,0
2023,Lachie Weller,4,08/04/2023,Saints,Loss 60-113,30,0,0
2022,Lachie Weller,5,16/04/2022,Saints,Loss 61-87,23,0,0
2021,Lachie Weller,8,08/05/2021,Saints,Loss 54-63,15,1,1
2023,Wil Powell,18,15/07/2023,Saints,Win 77-51,26,0,0
2023,Wil Powell,4,08/04/2023,Saints,Loss 60-113,19,0,1
2022,Wil Powell,5,16/04/2022,Saints,Loss 61-87,16,0,0
2021,Wil Powell,8,08/05/2021,Saints,Loss 54-63,24,0,0
2023,Darcy Macpherson,18,15/07/2023,Saints,Win 77-51,16,1,0
2023,Darcy Macpherson,4,08/04/2023,Saints,Loss 60-113,25,0,0
2023,Brandon Ellis,18,15/07/2023,Saints,Win 77-51,23,0,1
2022,Brandon Ellis,5,16/04/2022,Saints,Loss 61-87,22,1,0
2021,Brandon Ellis,8,08/05/2021,Saints,Loss 54-63,19,0,1
2023,Rory Atkins,18,15/07/2023,Saints,Win 77-51,32,2,0
2022,Rory Atkins,5,16/04/2022,Saints,Loss 61-87,2,0,0
2023,Ben Ainsworth,18,15/07/2023,Saints,Win 77-51,21,1,2
2023,Ben Ainsworth,4,08/04/2023,Saints,Loss 60-113,18,1,1
2022,Ben Ainsworth,5,16/04/2022,Saints,Loss 61-87,16,2,0
2021,Ben Ainsworth,8,08/05/2021,Saints,Loss 54-63,16,0,1
2023,David Swallow,18,15/07/2023,Saints,Win 77-51,12,0,0
2023,David Swallow,4,08/04/2023,Saints,Loss 60-113,17,0,1
2022,David Swallow,5,16/04/2022,Saints,Loss 61-87,13,0,0
2021,David Swallow,8,08/05/2021,Saints,Loss 54-63,28,0,1
2023,Jack Lukosius,18,15/07/2023,Saints,Win 77-51,10,4,0
2023,Jack Lukosius,4,08/04/2023,Saints,Loss 60-113,11,0,1
2021,Jack Lukosius,8,08/05/2021,Saints,Loss 54-63,18,0,1
2023,Brayden Fiorini,18,15/07/2023,Saints,Win 77-51,6,0,0
2022,Brayden Fiorini,5,16/04/2022,Saints,Loss 61-87,18,0,0
2023,Charlie Ballard,18,15/07/2023,Saints,Win 77-51,9,0,0
2023,Charlie Ballard,4,08/04/2023,Saints,Loss 60-113,13,0,0
2022,Charlie Ballard,5,16/04/2022,Saints,Loss 61-87,9,0,0
2021,Charlie Ballard,8,08/05/2021,Saints,Loss 54-63,13,0,0
2023,Nick Holman,18,15/07/2023,Saints,Win 77-51,18,0,0
2023,Nick Holman,4,08/04/2023,Saints,Loss 60-113,14,1,1
2022,Nick Holman,5,16/04/2022,Saints,Loss 61-87,16,1,0
2021,Nick Holman,8,08/05/2021,Saints,Loss 54-63,14,1,0
2023,Levi Casboult,18,15/07/2023,Saints,Win 77-51,3,1,0
2023,Levi Casboult,4,08/04/2023,Saints,Loss 60-113,13,1,0
2022,Levi Casboult,5,16/04/2022,Saints,Loss 61-87,9,1,1
2022,Alex Davies,5,16/04/2022,Saints,Loss 61-87,5,0,0
2023,Sam Collins,18,15/07/2023,Saints,Win 77-51,12,0,0
2023,Sam Collins,4,08/04/2023,Saints,Loss 60-113,17,0,0
2022,Sam Collins,5,16/04/2022,Saints,Loss 61-87,14,0,0
2021,Sam Collins,8,08/05/2021,Saints,Loss 54-63,10,0,0
2023,Ned Moyle,4,08/04/2023,Saints,Loss 60-113,5,0,0
2023,Joel Jeffrey,4,08/04/2023,Saints,Loss 60-113,5,1,1
2023,Bailey Humphrey,18,15/07/2023,Saints,Win 77-51,12,1,0
2023,Bailey Humphrey,4,08/04/2023,Saints,Loss 60-113,11,0,2
2023,Mac Andrew,18,15/07/2023,Saints,Win 77-51,10,0,0
2023,Mac Andrew,4,08/04/2023,Saints,Loss 60-113,12,0,0
2023,Jack Mahony,8,07/05/2023,Saints,Loss 34-64,16,0,0
2021,Jack Mahony,11,29/05/2021,Saints,Loss 68-88,9,0,0
2023,Ben King,18,15/07/2023,Saints,Win 77-51,12,0,2
2023,Ben King,4,08/04/2023,Saints,Loss 60-113,6,1,1
2021,Ben King,8,08/05/2021,Saints,Loss 54-63,9,3,1
2023,Malcolm Rosas,4,08/04/2023,Saints,Loss 60-113,11,1,0
2022,Malcolm Rosas,5,16/04/2022,Saints,Loss 61-87,15,0,2
2023,Ben Long,18,15/07/2023,Saints,Win 77-51,12,0,0
2023,Ben Long,4,08/04/2023,Saints,Loss 60-113,9,0,0
2022,Sean Lemmens,5,16/04/2022,Saints,Loss 61-87,13,0,0
2021,Sean Lemmens,8,08/05/2021,Saints,Loss 54-63,19,0,0
2023,Hewago Oea,18,15/07/2023,Saints,Win 77-51,8,0,0
2023,Hewago Oea,4,08/04/2023,Saints,Loss 60-113,11,0,0
2022,Jy Farrar,5,16/04/2022,Saints,Loss 61-87,15,0,0
