Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,3,17,9,12.67,0.0,0.33,1.33,33,0,0,0,0
Alex Sexton,7,32,14,22.0,0.14,0.14,0.57,86,57,29,14,0
Bailey Humphrey,10,16,7,12.0,1.0,1.2,0.9,30,0,0,60,10
Ben Ainsworth,12,22,8,16.17,0.92,0.42,0.5,67,17,0,67,25
Ben King,12,11,3,8.0,3.0,1.08,1.25,0,0,0,92,92
Ben Long,6,14,3,9.33,1.83,0.83,0.67,0,0,0,83,67
Bodhi Uwland,10,20,6,12.8,0.0,0.1,0.4,40,10,0,0,0
Brandon Ellis,3,15,8,11.67,0.0,0.67,0.33,33,0,0,0,0
Brayden Fiorini,10,27,14,19.7,0.5,0.3,0.3,80,50,10,40,10
Charlie Ballard,12,19,9,12.0,0.0,0.0,0.67,8,0,0,0,0
Connor Budarick,3,21,7,15.33,0.0,0.0,0.67,67,33,0,0,0
Darcy Macpherson,2,2,1,1.5,0.0,0.0,0.0,0,0,0,0,0
David Swallow,11,19,2,9.55,0.55,0.0,0.27,18,0,0,27,18
Ethan Read ,4,5,4,4.5,0.75,0.25,0.5,0,0,0,50,25
Jack Lukosius,12,22,9,14.25,1.0,0.75,0.67,42,17,0,42,25
Jake Rogers,5,22,2,10.2,0.4,0.0,0.2,20,20,0,40,0
Jarrod Witts,9,19,6,13.44,0.33,0.22,2.22,33,0,0,33,0
Jed Walter,9,11,1,6.0,1.0,1.11,1.11,0,0,0,67,33
Joel Jeffrey,4,21,14,18.25,0.25,0.0,0.0,75,50,0,25,0
Levi Casboult,3,10,8,9.0,0.0,0.33,1.0,0,0,0,0,0
Lloyd Johnston,3,14,8,11.0,0.67,0.33,0.67,0,0,0,67,0
Mac Andrew,9,25,8,17.33,0.0,0.11,1.44,67,33,11,0,0
Malcolm Rosas,4,13,3,8.0,2.0,1.0,1.0,0,0,0,100,75
Matt Rowell,12,35,15,24.0,0.5,0.08,2.75,100,75,50,42,8
Ned Moyle,3,17,14,15.67,0.33,0.0,0.67,67,0,0,33,0
Nick Holman,11,13,6,8.82,0.55,0.73,0.09,0,0,0,36,18
Noah Anderson,12,42,18,28.83,0.75,0.42,1.33,100,92,67,58,17
Rory Atkins,3,20,8,12.33,0.0,0.33,0.0,33,33,0,0,0
Sam Clohesy,9,23,13,16.78,0.67,0.0,0.33,67,22,0,44,22
Sam Day,2,7,7,7.0,2.0,1.0,0.5,0,0,0,100,50
Sam Flanders,11,37,22,30.45,0.09,0.09,1.45,100,100,91,9,0
Sam Collins,12,16,9,12.5,0.0,0.0,0.83,17,0,0,0,0
Thomas Berry,12,22,6,12.25,0.25,0.42,1.42,33,17,0,25,0
Touk Miller,12,32,21,26.92,0.25,0.33,1.5,100,100,75,25,0
Wil Powell,8,28,13,18.88,0.0,0.12,1.0,75,50,12,0,0
Will Graham,6,17,9,12.83,0.17,0.0,1.67,17,0,0,17,0
