Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,12,18,11,14.4,1.2,0.6,1.0,40,0,0,100,20
Brandan Parfitt,8,20,13,17.4,0.2,0.2,0.2,80,40,0,20,0
Cameron Guthrie,4,27,9,16.75,0.0,0.0,1.0,75,25,25,0,0
Connor O'Sullivan,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
Gary Rohan,4,12,4,6.75,0.75,0.0,0.0,0,0,0,50,25
Gryan Miers,12,29,12,20.0,0.6,0.2,0.4,80,60,20,40,20
Jack Bowes,9,29,5,17.8,0.4,0.8,0.8,60,60,20,40,0
Jack Henry,12,13,7,10.2,0.0,0.0,0.4,0,0,0,0,0
Jake Kolodjashnij,11,17,14,15.6,0.2,0.2,0.4,80,0,0,20,0
Jed Bews,15,15,6,10.4,0.0,0.0,0.4,40,0,0,0,0
Jeremy Cameron,11,18,15,16.6,1.6,1.2,0.6,100,0,0,80,20
Jhye Clark,10,15,5,10.0,0.4,0.2,0.6,20,0,0,40,0
Mark Blicavs,11,22,9,13.6,0.2,0.4,0.6,20,20,0,20,0
Mark O'Connor,10,16,6,12.6,0.2,0.2,0.6,40,0,0,20,0
Max Holmes,12,32,21,29.0,0.6,0.6,0.2,100,100,80,60,0
Mitch Duncan,10,27,16,22.0,0.2,0.6,0.2,100,80,20,20,0
Mitchell Knevitt,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Oisin Mullin,6,15,8,11.6,0.0,0.0,0.8,20,0,0,0,0
Oliver Henry,12,10,2,6.8,1.2,0.2,0.6,0,0,0,60,40
Oliver Dempsey,12,27,10,17.8,1.0,0.2,1.0,40,40,40,60,20
Patrick Dangerfield,4,25,16,21.0,0.5,0.5,0.75,100,75,25,50,0
Rhys Stanley,7,13,3,8.4,0.0,0.2,1.4,0,0,0,0,0
Sam De Koning,11,17,5,13.2,0.0,0.0,1.0,60,0,0,0,0
Shannon Neale,4,12,7,9.5,2.0,0.5,0.25,0,0,0,100,75
Shaun Mannagh,2,13,5,9.0,0.5,1.0,0.0,0,0,0,50,0
Tanner Bruhn,10,26,9,17.2,0.6,0.6,1.4,60,40,20,60,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,11,21,18,19.6,0.0,0.0,0.6,100,60,0,0,0
Toby Conway,5,21,9,13.6,0.2,0.0,1.4,20,20,0,20,0
Tom Atkins,11,27,16,20.6,0.0,0.4,2.2,100,60,20,0,0
Tom Hawkins,10,12,7,10.0,1.0,0.6,0.4,0,0,0,60,40
Tyson Stengle,12,18,10,14.0,2.4,0.8,0.6,40,0,0,100,80
Zach Guthrie,12,24,15,20.0,0.6,0.0,0.2,100,40,0,60,0
Zach Tuohy,9,24,9,15.4,1.0,0.6,0.6,40,20,0,60,20
