Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,3,16,9,12.33,0.0,0.0,0.33,33,0,0,0,0
Braeden Campbell,9,17,1,10.67,0.0,0.33,0.44,33,0,0,0,0
Brodie Grundy,11,24,8,18.0,0.1,0.1,2.3,90,40,0,10,0
Caleb Mitchell,2,10,0,5.0,0.0,0.0,0.0,0,0,0,0,0
Chad Warner,11,28,19,24.4,1.8,0.7,0.9,100,90,50,90,50
Corey Warner,2,11,5,8.0,0.0,2.0,0.5,0,0,0,0,0
Dane Rampe,8,24,3,13.38,0.0,0.0,0.25,25,12,0,0,0
Errol Gulden,11,30,24,26.6,0.8,0.5,0.7,100,100,90,60,20
Harry Cunningham,10,18,0,12.2,0.1,0.0,0.3,50,0,0,10,0
Hayden McLean,11,18,7,11.7,1.1,0.8,0.7,20,0,0,80,30
Isaac Heeney,11,32,21,26.4,1.6,0.6,1.9,100,100,70,90,50
Jake Lloyd,11,32,13,21.1,0.1,0.1,0.9,90,60,30,10,0
James Jordon,11,19,12,16.2,0.5,0.3,0.3,70,0,0,50,0
James Rowbottom,11,24,9,17.1,0.4,0.1,1.1,80,20,0,30,10
Joel Amartey,11,10,3,6.9,1.9,0.9,1.2,0,0,0,100,70
Justin McInerney,11,26,16,20.3,0.1,0.3,1.3,100,60,10,10,0
Lewis Melican,11,14,6,9.0,0.0,0.0,0.6,0,0,0,0,0
Logan McDonald,11,15,5,11.0,1.8,1.4,0.5,20,0,0,90,50
Matt Roberts,10,27,4,17.1,0.1,0.1,0.3,70,30,10,10,0
Nick Blakey,11,30,10,20.8,0.2,0.2,0.6,90,60,30,20,0
Oliver Florent,11,28,15,21.3,0.2,0.2,0.6,100,60,30,20,0
Robbie Fox,9,16,3,10.0,0.33,0.22,0.89,11,0,0,33,0
Sam Wicks,9,16,2,9.56,0.89,0.33,0.56,11,0,0,67,22
Taylor Adams,7,20,11,16.29,0.43,0.43,0.71,71,14,0,43,0
Tom McCartin,8,15,5,11.12,0.0,0.0,0.75,12,0,0,0,0
Tom Papley,11,24,10,14.8,1.5,1.6,0.7,40,10,0,90,30
Will Hayward,11,18,8,12.5,2.0,0.7,1.1,40,0,0,80,70
