Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,6,15,7,9.4,0.0,0.4,1.2,20,0,0,0,0
Angus Sheldrick,2,3,2,2.5,0.0,0.0,0.0,0,0,0,0,0
Braeden Campbell,11,14,8,12.4,0.4,0.2,0.2,0,0,0,40,0
Callum Mills,9,31,1,18.0,0.2,0.0,0.4,60,60,20,20,0
Chad Warner,11,31,25,28.4,0.8,0.4,1.4,100,100,100,60,20
Corey Warner,2,8,1,4.5,0.5,0.0,0.0,0,0,0,50,0
Dane Rampe,4,25,15,19.0,0.0,0.0,0.25,100,25,25,0,0
Dylan Stephens,8,18,7,11.8,0.4,0.2,1.0,20,0,0,40,0
Errol Gulden,11,39,21,29.6,1.0,0.6,1.6,100,100,60,80,20
Harry Cunningham,11,20,11,15.0,0.0,0.2,0.4,40,20,0,0,0
Hayden McLean,9,19,8,12.6,1.4,0.4,0.6,20,0,0,100,40
Isaac Heeney,11,19,15,17.4,0.6,0.6,0.6,100,0,0,40,20
Jake Lloyd,11,35,19,25.4,0.2,0.0,0.2,100,80,40,20,0
James Rowbottom,11,23,15,18.2,0.2,0.2,1.2,100,20,0,20,0
Joel Amartey,4,16,4,9.0,1.5,1.5,1.0,25,0,0,50,50
Justin McInerney,10,23,8,16.6,0.8,0.2,0.6,80,40,0,60,20
Lachlan McAndrew,2,9,3,6.0,0.0,0.5,0.5,0,0,0,0,0
Lance Franklin,8,13,4,9.6,1.2,1.0,1.4,0,0,0,40,40
Lewis Melican,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
Logan McDonald,9,12,3,8.2,1.2,0.4,0.6,0,0,0,80,20
Luke Parker,11,34,21,28.6,0.4,0.0,2.2,100,100,80,40,0
Marc Sheather,3,5,2,3.67,0.33,0.0,0.33,0,0,0,33,0
Matt Roberts,5,14,3,6.4,0.0,0.2,0.4,0,0,0,0,0
Nick Blakey,11,26,12,19.6,0.0,0.0,1.0,80,40,20,0,0
Oliver Florent,11,29,10,19.0,0.0,0.0,0.6,80,40,20,0,0
Peter Ladhams,9,24,6,14.4,0.6,0.2,0.8,40,20,0,40,20
Robbie Fox,7,28,15,21.6,0.2,0.0,1.4,100,60,20,20,0
Ryan Clarke,6,14,7,10.6,0.4,0.4,0.2,0,0,0,40,0
Sam Wicks,1,16,16,16.0,2.0,1.0,0.0,100,0,0,100,100
Tom Hickey,2,15,14,14.5,0.0,0.0,0.0,50,0,0,0,0
Tom McCartin,6,14,5,10.8,0.0,0.0,0.2,0,0,0,0,0
Tom Papley,11,17,10,12.6,1.0,1.0,1.0,20,0,0,80,20
Will Gould,4,9,3,6.5,0.0,0.0,0.5,0,0,0,0,0
Will Hayward,11,20,8,13.8,1.2,0.8,0.6,40,20,0,80,20
