Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,7,16,7,11.2,0.0,0.4,1.4,40,0,0,0,0
Angus Sheldrick,3,19,2,8.0,0.0,0.0,0.33,33,0,0,0,0
Braeden Campbell,12,23,8,14.2,0.6,0.4,0.2,20,20,0,60,0
Callum Mills,9,31,1,18.0,0.2,0.0,0.4,60,60,20,20,0
Chad Warner,12,31,24,27.4,0.6,0.4,1.6,100,100,80,40,20
Corey Warner,2,8,1,4.5,0.5,0.0,0.0,0,0,0,50,0
Dane Rampe,5,25,15,19.2,0.0,0.0,0.2,100,40,20,0,0
Dylan Stephens,8,18,7,11.8,0.4,0.2,1.0,20,0,0,40,0
Errol Gulden,12,39,16,27.4,1.0,1.0,2.2,100,80,40,80,20
Harry Cunningham,12,20,11,15.8,0.0,0.2,0.2,60,20,0,0,0
Hayden McLean,10,19,10,13.0,1.2,0.6,0.6,20,0,0,80,40
Isaac Heeney,12,19,15,16.8,0.6,0.4,0.6,100,0,0,40,20
Jake Lloyd,12,35,19,24.2,0.4,0.0,0.0,100,60,20,40,0
James Rowbottom,12,24,15,19.6,0.2,0.2,1.0,100,40,0,20,0
Joel Amartey,5,16,3,7.8,1.2,1.4,1.0,20,0,0,40,40
Justin McInerney,11,23,15,19.6,0.8,0.4,1.0,100,60,0,60,20
Lachlan McAndrew,2,9,3,6.0,0.0,0.5,0.5,0,0,0,0,0
Lance Franklin,9,13,4,8.8,1.0,0.6,0.6,0,0,0,40,40
Lewis Melican,2,15,10,12.5,0.0,0.0,0.0,50,0,0,0,0
Logan McDonald,9,12,3,8.2,1.2,0.4,0.6,0,0,0,80,20
Luke Parker,11,34,21,28.6,0.4,0.0,2.2,100,100,80,40,0
Marc Sheather,3,5,2,3.67,0.33,0.0,0.33,0,0,0,33,0
Matt Roberts,5,14,3,6.4,0.0,0.2,0.4,0,0,0,0,0
Nick Blakey,12,26,14,20.0,0.0,0.0,1.8,80,40,20,0,0
Oliver Florent,12,34,15,23.8,0.0,0.0,0.4,100,60,40,0,0
Peter Ladhams,9,24,6,14.4,0.6,0.2,0.8,40,20,0,40,20
Robbie Fox,8,28,15,21.6,0.2,0.0,1.0,100,60,20,20,0
Ryan Clarke,7,14,7,10.6,0.4,0.2,0.4,0,0,0,40,0
Sam Wicks,2,16,7,11.5,1.5,1.0,0.0,50,0,0,100,50
Tom Hickey,3,15,13,14.0,0.0,0.0,0.0,33,0,0,0,0
Tom McCartin,6,14,5,10.8,0.0,0.0,0.2,0,0,0,0,0
Tom Papley,12,17,10,13.6,1.2,0.6,0.8,40,0,0,80,40
Will Gould,4,9,3,6.5,0.0,0.0,0.5,0,0,0,0,0
Will Hayward,12,20,8,12.6,0.6,0.8,0.6,20,20,0,60,0
